15	15
8 45	2 47	14 50	12 50	11 47	13 42	4 48	7 49	5 53	1 44	0 52	6 42	10 51	9 58	3 47
8 54	2 51	1 40	0 53	13 54	10 51	3 50	14 57	6 50	11 52	9 39	12 49	4 56	7 48	5 53
0 54	1 53	5 49	3 45	13 52	9 48	2 45	11 49	14 44	12 57	4 53	6 57	8 48	10 44	7 54
10 48	3 52	5 49	9 48	7 51	0 50	4 51	6 54	2 55	13 53	1 47	12 49	8 55	11 44	14 47
7 51	10 43	11 48	4 53	1 55	8 55	14 51	3 41	0 45	13 47	12 58	6 53	2 55	9 49	5 57
0 45	12 57	7 44	2 45	11 48	3 45	1 49	4 43	10 60	6 48	9 53	8 48	14 49	5 49	13 46
12 48	8 48	0 53	14 42	7 53	5 52	1 52	9 48	2 54	10 44	11 44	13 46	3 49	4 39	6 51
14 48	1 56	7 53	3 52	2 47	9 59	10 52	5 42	4 56	13 51	11 45	6 55	8 43	12 51	0 54
5 57	9 50	2 47	1 47	3 54	4 44	7 53	8 50	13 55	6 51	12 58	11 50	0 53	10 55	14 49
13 55	8 50	4 56	12 58	3 42	2 45	10 52	0 57	14 53	5 49	6 51	1 50	11 49	9 51	7 50
3 50	1 57	4 45	9 55	5 60	6 55	10 48	14 47	11 53	2 50	13 45	7 45	8 48	12 44	0 45
5 49	6 48	11 55	12 53	4 51	14 50	1 44	3 54	0 47	7 47	13 52	9 52	10 55	2 50	8 43
1 48	2 49	4 40	11 57	9 57	8 44	3 52	10 57	7 57	6 54	12 47	0 46	13 49	5 46	14 47
7 51	11 49	4 50	8 48	5 52	1 56	14 55	12 46	10 46	13 47	9 44	0 53	3 49	6 55	2 54
13 52	1 47	2 48	9 53	5 55	0 49	11 53	3 45	12 52	6 47	8 48	4 43	7 52	10 51	14 43
