40	100
43 80	65 41	68 25	6 22	48 16	94 83	89 90	27 67	71 48	96 96	19 84	60 88	88 82	21 35	31 44	2 59	86 96	55 33	15 45	77 62	98 5	63 98	84 40	36 26	1 17	54 58	59 92	70 13	95 63	10 77	16 86	53 65	12 92	25 65	22 7	52 91	66 11	17 19	24 3	93 57	44 22	35 84	33 8	37 1	69 72	90 78	20 23	3 83	99 64	34 61	83 2	41 1	47 17	32 80	26 58	8 78	56 20	57 28	39 26	4 99	87 12	45 54	46 33	42 40	29 5	49 76	13 85	40 57	92 82	38 91	79 35	58 23	11 8	73 46	75 88	85 23	5 57	0 90	76 95	64 31	81 85	74 43	14 46	72 90	62 49	97 13	30 38	82 46	51 82	7 3	9 60	78 2	28 49	50 32	23 80	91 79	80 98	67 24	61 53	18 57
83 11	37 51	48 3	8 46	7 62	25 68	15 26	99 77	3 78	92 50	16 95	21 82	50 18	82 56	6 62	91 69	41 79	54 57	87 31	64 42	65 77	81 36	73 55	22 21	38 9	1 64	52 40	23 75	9 8	69 63	71 84	0 89	29 32	46 47	27 68	26 35	13 19	30 58	98 85	67 77	44 46	56 80	95 55	49 26	42 38	63 81	97 57	89 56	58 52	35 52	36 23	17 60	85 52	59 16	79 37	57 70	61 28	90 7	28 23	93 90	5 32	11 85	39 77	74 59	32 3	62 63	76 61	47 13	2 64	51 31	45 66	20 74	80 44	34 28	19 10	78 78	68 84	55 10	60 43	12 96	14 92	88 62	4 24	33 81	43 20	75 6	94 42	31 51	77 15	66 11	18 43	10 36	72 22	53 67	96 95	84 6	40 6	86 8	70 75	24 48
4 8	49 5	71 50	11 7	52 13	39 62	69 81	95 39	43 42	25 91	0 34	47 93	91 35	33 39	18 31	55 32	79 36	32 73	38 92	37 2	72 8	76 54	57 28	9 66	63 75	29 41	74 81	56 13	21 67	90 92	28 41	61 53	84 77	2 59	23 91	48 79	7 63	62 40	86 76	99 78	83 75	65 97	6 85	66 73	8 33	3 85	80 36	26 71	59 2	82 59	27 73	78 88	67 62	75 24	24 81	70 88	73 13	35 44	46 82	97 3	36 80	17 96	77 91	30 48	34 31	58 63	96 12	93 46	15 51	87 39	60 7	14 59	89 63	54 9	92 50	50 5	5 24	10 77	20 27	31 44	16 53	98 95	13 36	88 83	94 57	64 71	41 45	51 97	45 38	85 50	44 61	53 5	40 71	19 50	1 80	68 18	81 89	42 66	22 65	12 49
17 59	76 95	44 17	4 34	56 61	85 75	40 57	5 73	27 35	35 62	0 32	12 12	49 77	9 61	1 1	34 91	83 71	68 20	80 93	60 28	61 76	96 29	99 13	67 4	10 19	33 84	84 16	64 52	19 37	13 63	69 90	11 73	36 83	66 93	21 98	58 12	31 72	98 29	30 42	53 13	50 48	88 1	90 6	22 69	70 32	97 49	6 89	47 54	93 89	92 39	62 63	59 80	39 46	43 95	86 43	48 14	72 9	71 35	37 52	45 34	87 70	32 40	20 52	57 20	38 96	81 84	55 92	3 80	78 93	79 81	25 87	65 39	26 7	29 41	24 44	15 74	42 10	77 10	89 68	23 53	52 14	2 98	7 75	41 61	94 15	14 36	73 73	75 4	91 65	51 72	95 72	46 24	8 13	16 30	18 49	54 50	74 15	28 64	63 96	82 75
5 59	29 69	10 79	85 58	79 32	88 43	47 95	86 78	36 73	49 61	30 67	39 72	4 20	92 95	97 58	43 56	65 3	37 12	59 91	66 37	12 12	60 26	14 46	19 18	67 60	87 69	53 48	45 19	94 62	17 81	16 69	81 56	62 60	83 47	75 61	63 9	41 18	44 88	80 61	69 47	64 31	71 15	77 43	22 94	57 2	6 34	48 14	70 12	15 26	28 44	11 20	18 22	34 37	91 92	40 40	1 11	31 89	50 40	7 11	3 4	74 82	84 11	68 45	82 49	61 59	20 1	42 24	8 34	72 27	93 45	52 23	90 5	58 88	35 63	46 29	23 91	89 20	25 14	78 48	56 52	33 51	0 75	27 74	98 74	55 7	24 74	51 82	38 19	73 6	95 79	96 33	9 13	13 91	2 95	26 62	21 89	54 83	76 15	32 56	99 2
78 23	69 44	81 14	12 4	11 96	7 35	41 34	88 5	73 20	32 29	74 98	54 11	86 12	42 94	57 88	53 84	67 5	22 9	44 39	33 42	37 2	38 46	96 69	99 55	79 62	40 73	35 16	98 25	5 38	50 69	29 62	28 76	9 90	60 83	21 86	1 81	97 1	25 64	8 20	47 52	23 59	4 32	63 44	80 91	36 62	39 9	18 33	56 84	30 19	83 41	71 25	24 31	51 82	62 16	92 85	15 67	58 93	10 3	70 69	52 80	91 19	77 60	17 26	45 80	46 95	16 33	13 11	87 24	68 92	19 47	3 38	20 67	65 15	95 28	72 59	14 59	64 86	85 99	82 50	48 43	59 86	76 75	61 42	55 25	26 84	84 29	66 33	43 51	90 2	94 81	75 25	0 47	6 26	2 38	31 99	89 28	49 93	27 6	34 15	93 54
20 46	43 93	81 33	57 25	8 21	86 89	97 41	46 46	65 51	79 12	60 34	88 19	9 61	55 36	62 65	36 96	96 19	12 63	33 68	52 98	4 62	16 86	80 19	10 92	34 55	69 28	72 60	85 57	87 40	2 68	74 69	3 60	35 69	67 64	37 40	6 99	21 86	93 30	11 32	89 6	54 9	59 64	95 76	63 28	29 95	48 6	38 10	70 63	25 14	18 56	71 91	28 58	39 8	98 40	1 57	77 47	7 95	73 48	26 90	23 67	51 32	40 36	17 33	56 82	22 6	19 70	14 48	41 79	76 57	47 22	15 48	91 33	84 3	94 27	61 80	99 64	5 46	42 40	24 85	82 95	49 18	31 49	44 17	50 23	92 44	78 87	27 18	53 18	0 88	58 64	30 21	13 1	90 54	45 11	64 5	75 49	68 6	83 37	66 66	32 42
77 17	32 1	22 28	21 6	41 79	61 77	1 91	20 44	49 80	16 11	37 88	56 97	0 85	39 23	99 24	46 4	38 22	57 7	58 82	76 67	28 54	31 59	45 40	67 39	83 38	43 3	84 18	75 83	80 93	9 54	87 72	4 52	91 35	74 8	12 64	26 50	11 52	64 9	66 3	3 65	50 30	68 68	42 18	7 43	63 47	79 82	30 27	14 40	86 15	96 95	65 19	35 17	69 68	24 69	55 87	94 55	10 61	23 95	93 69	29 68	98 82	2 33	18 83	92 96	27 48	15 59	95 42	34 96	17 88	47 92	52 75	33 52	78 82	5 40	48 53	82 4	36 18	53 12	54 45	51 14	59 85	88 92	6 8	13 19	81 52	25 45	89 79	72 90	40 13	62 7	73 40	44 84	97 91	70 15	71 18	8 99	19 89	60 68	85 62	90 68
54 58	97 46	48 41	10 3	37 36	55 80	27 4	1 71	52 72	79 41	75 2	81 15	67 57	16 68	90 8	87 23	3 10	59 7	28 97	30 77	86 22	53 54	57 87	41 33	7 27	76 3	8 79	93 40	40 53	20 66	39 56	12 79	14 49	4 40	24 32	31 31	25 78	88 88	63 3	60 48	68 84	23 78	65 17	32 61	62 67	56 54	95 80	38 77	43 97	94 96	83 93	21 85	46 75	50 27	80 1	69 37	73 55	92 58	85 8	51 72	45 31	35 70	58 22	9 33	19 55	49 24	13 43	61 31	17 90	0 37	26 36	2 72	33 23	44 11	66 61	89 75	29 14	99 42	77 48	91 73	96 69	64 37	84 56	36 58	5 98	34 50	82 25	72 79	22 17	15 78	71 44	11 45	98 77	42 74	70 8	6 64	74 94	78 92	47 12	18 18
5 83	29 90	56 24	30 14	26 74	6 20	68 5	45 35	65 33	9 74	85 1	75 66	57 36	83 38	40 80	16 72	25 95	54 2	50 24	35 21	78 26	60 7	44 43	52 62	80 51	69 52	27 76	2 26	91 23	17 64	18 87	86 45	90 5	8 98	67 27	14 25	61 75	31 24	37 39	87 32	4 82	99 44	34 94	72 19	51 1	42 72	36 55	62 80	1 91	48 15	21 3	7 39	97 93	13 42	74 8	23 44	11 61	10 48	58 28	93 8	47 8	89 86	22 7	38 69	95 68	49 36	76 20	81 29	39 2	33 22	64 96	3 73	12 35	20 8	79 49	66 49	59 52	98 84	71 92	77 74	32 35	28 22	41 30	63 31	0 91	43 3	70 58	19 92	46 56	88 9	73 95	55 73	15 36	82 93	96 66	84 99	94 75	24 18	92 21	53 69
9 81	52 10	82 91	34 45	97 68	36 97	53 51	0 44	65 73	7 25	25 80	69 54	4 88	84 17	80 42	95 84	55 59	93 26	67 97	79 58	39 36	22 62	43 77	72 44	44 47	41 50	58 75	86 81	45 7	8 49	56 74	74 18	10 87	38 73	18 47	19 51	32 85	31 83	98 6	48 78	35 7	42 17	6 79	60 65	91 89	17 11	62 75	73 42	27 31	90 67	75 29	11 7	83 72	92 30	68 25	96 54	16 88	94 37	71 13	14 44	20 65	77 73	51 81	76 97	66 99	88 52	54 30	5 51	50 71	1 26	12 95	57 72	40 70	33 84	87 11	64 28	28 85	63 38	61 63	23 71	78 32	47 22	26 54	99 48	21 27	85 81	29 52	24 49	15 17	30 88	46 49	3 45	49 60	37 22	89 92	81 23	2 52	13 39	59 82	70 65
