20	70
67 46	5 86	40 59	9 94	45 88	38 87	34 72	61 26	29 99	54 42	4 67	0 69	43 80	69 14	7 6	30 56	15 4	1 58	11 20	19 84	27 67	52 3	33 5	58 93	42 90	68 90	50 4	44 68	31 59	16 24	28 76	63 5	59 86	2 68	64 15	66 35	10 69	46 33	49 42	25 33	21 42	36 89	3 75	65 4	60 81	24 39	12 77	32 73	14 82	8 62	26 36	35 60	55 9	53 18	20 10	39 30	18 10	47 17	56 4	17 41	48 17	41 35	22 55	23 49	62 94	13 51	37 16	57 63	6 7	51 86
4 38	20 73	33 9	34 22	54 52	58 91	55 76	24 6	7 37	27 16	12 41	47 33	66 51	31 11	51 80	18 15	63 15	56 81	68 46	57 10	26 74	48 51	44 4	52 61	32 97	50 61	37 16	10 27	0 34	62 5	8 69	36 68	43 19	9 23	25 87	13 7	14 25	23 33	39 69	59 86	60 5	17 21	35 62	49 58	67 57	1 5	53 12	45 29	29 46	3 96	41 47	28 13	42 27	6 47	11 23	64 43	16 44	65 82	38 19	15 79	5 31	46 55	22 32	21 15	2 59	69 20	40 41	61 68	19 79	30 97
19 28	68 69	55 32	69 80	25 86	47 61	51 28	6 22	42 80	13 9	2 67	39 83	45 58	54 80	15 75	27 70	66 10	48 30	67 15	16 46	65 10	58 93	7 81	17 94	64 28	52 54	60 93	61 78	30 94	57 52	36 37	44 54	50 95	8 1	56 39	0 66	43 43	18 79	41 53	32 86	9 36	26 91	1 22	37 41	63 36	40 64	28 85	4 20	29 13	11 22	35 50	59 9	5 66	20 21	31 25	49 10	14 20	24 7	10 93	21 96	33 16	34 52	53 95	12 6	38 69	62 1	23 86	22 10	46 32	3 11
36 11	69 19	52 61	16 28	34 68	7 58	6 20	45 56	10 16	46 1	53 42	26 62	29 73	31 46	21 57	28 95	32 63	61 10	42 51	56 4	8 4	35 99	1 51	67 16	18 69	0 46	44 58	17 68	3 94	55 63	60 42	41 9	25 58	49 81	43 94	40 31	24 10	62 75	37 93	12 35	58 30	64 66	65 47	14 66	33 91	47 51	11 78	38 70	57 72	15 41	4 5	68 49	2 72	27 62	9 85	63 17	19 35	59 91	66 89	54 47	23 59	13 96	48 21	30 17	5 38	50 20	39 95	51 58	20 19	22 79
63 79	29 75	3 97	64 48	53 45	50 47	37 85	23 23	9 76	12 50	62 10	6 46	69 21	7 51	46 16	5 23	16 22	26 75	20 32	15 78	54 26	47 40	34 86	33 59	49 22	59 63	43 62	19 46	25 22	10 25	13 24	39 60	52 89	24 56	40 61	36 56	4 77	56 32	41 19	44 27	42 94	38 34	58 48	31 4	11 30	55 8	48 63	51 82	14 72	35 96	8 88	60 4	45 33	32 98	66 36	27 19	30 24	1 20	0 36	28 64	17 61	57 46	65 54	61 83	68 42	18 69	22 50	67 88	21 15	2 54
65 99	3 84	34 14	20 87	45 58	25 43	60 4	6 14	54 58	35 1	69 96	28 49	64 15	43 5	38 85	44 25	40 4	63 62	51 23	42 92	59 89	11 50	66 72	18 19	5 69	50 89	19 24	9 28	14 27	22 68	55 61	46 34	12 82	41 80	10 28	53 41	32 44	23 52	52 62	2 32	37 34	30 13	57 71	24 81	68 83	36 34	31 73	58 16	48 27	1 12	61 56	8 63	21 65	39 76	15 86	17 13	26 59	27 6	7 57	49 38	4 39	56 21	67 41	33 56	47 10	62 78	13 16	0 99	29 53	16 28
25 50	58 81	11 25	51 80	0 25	27 93	29 15	30 47	22 85	41 27	6 4	10 91	17 18	38 38	67 60	8 23	37 80	21 64	32 50	33 40	63 29	42 59	55 78	3 55	62 97	19 49	65 15	7 6	36 51	56 93	16 76	35 29	61 59	34 40	9 77	44 2	48 68	26 71	69 56	46 66	53 27	13 42	20 87	52 46	64 50	24 18	45 74	39 6	43 79	28 25	60 40	40 73	49 81	59 29	68 85	57 51	12 37	31 18	50 97	2 97	1 78	23 46	15 28	14 98	47 92	5 4	54 37	18 44	4 82	66 35
0 40	61 17	15 61	68 76	3 88	52 67	40 20	13 92	4 24	46 39	12 53	41 10	67 69	26 17	50 79	22 91	5 94	24 20	19 72	21 52	39 14	33 38	6 7	11 83	59 74	14 93	16 66	18 28	45 91	9 98	63 40	8 86	42 19	60 14	64 79	38 18	43 80	37 93	48 89	25 36	54 61	20 31	17 34	49 65	29 47	2 69	69 18	1 1	56 32	32 14	55 62	30 25	23 36	10 36	7 22	44 82	34 41	66 30	62 81	27 96	35 6	51 19	36 11	57 23	65 42	47 54	53 52	31 43	58 82	28 36
5 61	35 34	60 12	66 26	42 61	53 18	26 83	16 92	49 18	6 21	37 83	11 39	69 34	55 69	3 38	54 18	17 55	19 61	34 12	41 66	39 9	52 38	9 28	25 26	58 57	57 92	65 4	32 4	13 23	46 10	4 26	7 79	36 37	1 99	61 69	12 60	56 84	0 33	48 40	38 34	30 64	63 29	51 11	18 52	14 16	22 73	31 79	67 50	68 79	20 50	40 56	2 77	27 91	50 12	23 48	10 29	43 27	59 69	47 16	44 37	21 29	24 73	64 12	62 22	15 19	33 76	8 42	29 70	28 6	45 93
23 2	11 13	37 95	62 25	48 39	53 90	67 74	29 99	54 2	0 37	64 60	63 15	2 26	50 90	19 84	5 6	68 6	60 42	56 61	52 6	10 10	43 2	47 78	40 27	36 22	69 24	57 84	6 16	12 33	39 48	14 6	1 83	17 61	30 22	44 79	38 18	32 30	26 1	35 77	45 33	15 83	55 46	3 95	33 11	49 57	65 67	51 82	9 74	34 93	20 81	58 26	42 27	41 42	18 70	28 9	22 41	13 35	25 87	61 63	8 71	4 46	46 12	31 76	16 59	66 20	27 96	24 70	21 98	7 24	59 72
56 29	53 41	15 31	10 73	2 49	35 29	6 35	14 13	3 55	43 88	23 63	16 45	13 58	46 36	37 15	42 27	50 22	69 70	40 25	62 83	11 91	45 35	5 25	29 4	54 45	34 1	7 90	47 91	30 52	65 74	27 56	0 25	58 93	26 28	63 12	64 45	68 60	61 64	52 99	41 29	51 47	22 13	39 7	44 10	67 45	19 50	1 3	12 94	9 75	59 31	48 1	32 70	8 64	21 76	25 98	18 78	66 82	60 59	36 7	28 22	17 47	20 8	4 48	57 38	24 5	38 56	31 6	33 68	49 27	55 27
