20	10
2 53	6 53	3 97	0 70	8 94	4 77	1 40	7 95	9 85	5 17
3 81	2 86	9 5	4 86	5 85	7 23	6 74	1 5	8 81	0 46
9 63	2 32	1 80	7 75	8 68	4 39	0 89	3 90	6 81	5 53
8 30	0 75	6 4	5 95	1 76	4 53	7 64	3 30	2 61	9 95
3 5	6 33	8 19	4 73	1 5	5 65	7 8	2 98	0 14	9 90
2 22	4 49	8 59	9 34	1 18	3 44	5 60	0 67	7 62	6 81
9 58	6 95	5 43	7 21	3 75	0 40	1 29	2 94	4 51	8 38
9 32	1 3	8 26	0 52	7 9	3 31	2 83	4 68	5 99	6 82
3 77	4 92	7 51	1 43	0 23	5 74	6 50	8 77	2 36	9 11
2 1	6 48	8 51	5 41	0 4	1 92	7 90	3 94	9 17	4 33
1 79	6 47	5 92	8 47	3 70	0 13	9 58	7 6	2 71	4 10
3 59	5 38	4 19	8 51	2 77	6 98	1 21	7 37	0 64	9 94
6 37	2 51	7 12	1 21	5 77	0 1	9 88	8 39	4 82	3 44
0 32	8 30	3 2	9 91	5 25	6 87	1 17	7 70	4 16	2 97
6 72	4 39	8 1	5 34	7 8	9 31	1 33	0 27	3 60	2 18
8 37	7 53	6 81	9 21	2 66	1 87	5 45	4 5	0 4	3 98
8 18	9 12	0 43	6 46	2 29	5 74	7 62	3 92	4 37	1 31
0 92	4 53	8 35	6 78	7 50	1 97	5 33	2 71	3 25	9 42
7 25	9 64	8 35	4 48	6 98	0 23	3 36	2 95	1 91	5 83
4 91	8 50	0 85	2 36	5 16	9 85	3 70	1 25	7 81	6 12
