50	10
5 89	0 125	6 183	8 96	9 84	1 176	7 8	3 84	4 139	2 8
8 62	3 124	1 16	7 134	0 147	6 118	2 48	4 193	9 23	5 187
8 36	4 165	2 148	6 189	1 170	5 41	0 121	3 123	7 3	9 151
8 3	6 137	7 89	3 122	2 16	4 107	0 31	9 138	5 110	1 143
7 30	1 4	5 178	9 68	4 195	6 109	3 10	8 196	0 22	2 187
8 182	5 142	3 182	7 64	2 164	4 83	0 65	9 183	6 86	1 51
8 57	5 158	3 7	9 172	7 8	1 5	6 176	0 136	2 23	4 84
1 157	7 108	2 21	3 106	0 101	4 180	6 136	5 91	9 175	8 109
3 148	2 128	5 21	1 22	6 165	4 22	0 142	9 179	8 83	7 115
6 152	5 54	3 84	7 72	0 168	4 51	9 71	1 117	2 194	8 138
4 189	5 41	6 90	9 109	0 136	8 83	7 185	3 107	1 165	2 185
5 13	0 185	2 190	3 172	6 196	8 2	4 106	7 118	9 183	1 27
4 22	0 187	6 101	7 146	9 52	8 144	1 187	5 146	2 115	3 37
7 141	0 154	6 141	2 199	3 37	4 77	1 132	8 61	9 60	5 142
0 180	1 90	6 63	4 65	9 136	3 60	7 75	2 30	5 47	8 26
5 31	7 144	8 96	2 75	4 61	0 114	9 94	3 116	1 56	6 150
7 73	4 87	5 198	2 176	6 45	0 165	1 41	8 105	3 159	9 94
9 31	7 127	3 193	0 64	6 172	2 191	5 147	8 93	1 91	4 159
7 157	3 160	6 85	2 23	4 176	9 7	1 27	0 147	8 154	5 175
2 80	9 33	6 27	4 93	3 174	1 170	7 199	8 167	0 185	5 68
5 191	9 15	8 151	6 147	0 3	2 71	4 74	1 89	7 158	3 144
1 46	7 168	8 18	6 137	4 73	2 78	3 36	9 163	0 50	5 57
5 68	0 180	8 182	1 118	7 73	3 2	9 118	4 171	2 146	6 186
3 132	1 119	4 131	0 147	9 9	8 19	6 161	2 1	7 43	5 42
8 150	9 158	6 96	0 149	4 173	1 93	2 182	7 43	3 25	5 192
0 126	3 175	5 92	2 151	9 68	8 152	1 92	7 25	4 39	6 187
6 128	5 104	3 25	9 52	1 22	0 113	4 114	8 51	2 76	7 58
0 57	5 63	1 77	8 131	3 70	2 161	4 116	6 172	9 40	7 198
2 6	8 24	9 35	7 69	5 81	4 173	3 2	1 177	6 13	0 123
2 129	5 28	8 23	6 36	7 47	1 146	9 177	3 138	0 69	4 53
0 120	9 150	3 191	2 179	7 43	5 90	6 63	1 137	8 141	4 55
6 97	5 58	1 122	9 59	0 66	4 66	3 173	8 56	7 115	2 5
4 39	2 23	3 1	7 111	8 74	9 91	6 39	1 135	5 12	0 181
6 16	1 112	0 121	3 113	9 154	5 124	8 190	7 171	4 50	2 98
3 70	8 46	1 29	0 188	5 114	4 186	9 45	2 33	7 124	6 161
8 199	2 8	4 118	5 18	1 199	3 135	9 165	0 45	6 34	7 174
5 125	8 37	6 76	2 56	3 139	4 14	0 9	9 158	7 73	1 173
8 63	6 22	1 176	0 114	4 157	2 86	9 156	3 18	7 30	5 118
4 105	7 77	6 91	1 133	2 152	5 89	0 4	8 102	9 8	3 114
8 99	5 77	1 20	9 20	3 198	2 61	4 66	7 82	6 155	0 6
8 99	7 84	5 120	1 114	4 110	6 72	0 7	9 176	3 160	2 52
1 190	9 133	4 169	8 1	5 35	3 157	0 37	7 143	6 147	2 75
0 140	9 98	8 121	4 49	5 190	1 123	7 135	6 78	3 156	2 10
9 164	1 130	0 164	7 1	6 132	4 140	8 192	2 184	3 24	5 199
4 72	2 195	1 65	7 8	5 80	8 161	3 195	6 85	0 77	9 178
0 68	5 12	7 109	8 31	9 39	4 41	6 189	2 3	1 32	3 108
5 185	2 40	3 55	8 164	6 111	4 82	0 6	9 185	1 141	7 65
0 99	8 111	1 184	4 79	3 71	6 35	9 156	5 60	7 47	2 117
5 136	3 157	1 140	2 36	9 77	8 78	7 151	0 79	6 148	4 46
7 27	5 192	8 69	6 187	9 20	3 152	2 185	4 123	1 52	0 40
