20	5
2 71	1 78	4 77	3 39	0 32
2 30	0 88	1 89	4 24	3 57
3 15	2 5	1 76	4 21	0 20
1 68	4 39	0 74	2 71	3 43
0 69	1 73	4 36	2 91	3 53
2 94	4 50	0 71	3 79	1 87
2 27	3 61	0 94	4 17	1 7
2 10	1 16	0 96	4 48	3 12
1 97	2 41	0 84	4 79	3 98
1 81	2 56	0 23	3 49	4 24
3 24	1 11	2 97	0 37	4 14
1 72	2 34	4 41	0 76	3 16
0 38	2 78	4 68	3 81	1 82
0 55	3 61	2 71	4 58	1 78
0 17	3 64	1 25	4 42	2 20
2 86	1 6	4 36	0 60	3 78
1 46	0 62	4 88	2 15	3 99
2 57	0 39	4 81	1 43	3 59
2 99	3 22	0 10	4 99	1 26
3 4	1 16	2 66	4 67	0 72
