80	5
1 108	4 6	0 127	2 199	3 22
1 169	4 180	2 146	0 184	3 169
3 123	2 181	4 131	0 158	1 143
2 96	3 4	0 1	1 185	4 108
1 62	2 30	3 57	0 22	4 200
0 111	2 14	1 22	3 8	4 109
4 135	2 71	3 127	1 54	0 159
1 53	4 110	3 42	0 9	2 40
3 114	1 128	2 86	4 128	0 61
1 76	2 165	3 42	4 5	0 140
2 187	0 20	3 10	1 6	4 63
4 32	0 60	3 151	2 17	1 62
2 174	3 162	1 1	0 191	4 175
2 58	0 188	3 25	4 114	1 139
2 126	4 148	0 172	1 50	3 200
1 143	2 87	3 100	4 181	0 172
2 150	0 106	3 52	1 120	4 140
4 107	1 109	2 93	3 115	0 163
0 174	3 91	2 64	4 146	1 12
3 142	2 154	0 125	1 170	4 6
0 30	4 176	3 78	2 98	1 23
3 194	4 102	1 161	0 76	2 194
3 116	2 61	0 150	4 77	1 145
0 18	4 1	2 174	3 72	1 186
4 154	3 152	2 45	1 118	0 185
0 111	3 49	2 145	1 120	4 53
2 137	3 175	1 79	4 10	0 81
2 53	4 171	1 51	3 82	0 190
0 132	2 187	3 109	4 125	1 80
2 132	1 79	4 82	0 21	3 84
4 128	1 131	2 108	0 84	3 114
2 22	1 1	0 97	4 196	3 141
2 41	1 21	3 61	4 157	0 111
3 184	0 23	2 157	1 7	4 84
4 178	1 94	2 1	3 159	0 62
2 120	1 67	4 51	3 110	0 32
2 148	1 122	0 149	4 71	3 54
1 71	2 31	4 65	0 131	3 38
3 171	4 122	1 65	2 3	0 99
4 33	0 123	1 99	3 52	2 186
0 115	1 138	3 136	2 103	4 93
1 176	2 82	3 3	4 112	0 9
1 25	3 104	2 121	4 16	0 74
2 160	0 164	3 112	1 54	4 130
2 85	1 45	4 2	0 85	3 184
2 98	0 35	3 110	1 13	4 90
1 35	2 3	0 119	3 102	4 6
1 162	3 22	4 87	0 33	2 10
2 166	0 6	3 55	1 16	4 191
1 100	3 73	0 40	2 140	4 165
0 16	2 175	4 25	1 194	3 68
0 102	3 182	1 2	2 140	4 191
1 156	3 42	4 151	0 8	2 1
4 189	0 43	2 99	1 16	3 106
1 15	4 151	3 156	0 189	2 81
1 107	3 38	2 108	0 74	4 88
4 110	3 12	2 146	0 154	1 23
0 91	3 139	2 151	1 64	4 107
2 196	1 190	4 149	0 175	3 121
0 6	4 40	3 167	1 27	2 76
1 14	3 37	2 168	0 184	4 97
4 44	0 124	2 90	3 81	1 4
4 185	0 30	2 52	3 46	1 130
4 25	0 98	3 184	1 116	2 59
1 61	0 66	4 88	2 4	3 57
0 173	1 138	3 62	2 139	4 105
1 105	4 115	3 47	2 132	0 182
1 28	4 68	0 151	3 53	2 196
3 35	0 102	2 10	4 118	1 97
1 20	3 21	0 111	2 186	4 179
3 152	0 101	4 25	2 109	1 42
3 133	0 149	2 24	4 194	1 80
1 95	3 176	0 74	2 169	4 12
4 145	0 45	1 52	2 12	3 131
2 197	1 21	3 180	0 189	4 32
0 176	3 137	1 8	2 101	4 156
4 140	2 200	0 91	3 184	1 86
1 55	3 70	2 58	0 116	4 85
4 157	3 193	1 17	2 5	0 17
4 171	3 125	1 92	0 78	2 69
