30	15
7 190	4 142	6 89	9 148	14 159	8 40	10 4	5 155	0 50	3 172	2 15	11 10	13 3	12 171	1 194
14 17	13 141	8 16	0 152	9 169	11 84	7 13	10 50	4 69	6 159	3 51	12 9	5 182	1 167	2 149
1 115	4 83	9 41	5 200	10 6	12 84	0 94	3 130	11 148	6 84	13 67	14 35	2 178	7 68	8 2
1 25	8 130	3 150	2 98	10 70	4 71	14 40	6 2	12 49	13 175	0 130	9 113	5 190	7 124	11 44
7 101	1 169	12 14	2 191	13 117	4 150	10 174	3 172	0 89	11 115	5 93	6 198	14 170	9 1	8 71
5 191	7 176	6 109	14 78	10 119	0 78	1 46	8 71	11 21	4 162	12 168	9 174	3 58	2 199	13 112
1 18	10 94	8 115	0 145	14 113	12 119	5 111	9 101	13 98	11 134	7 67	6 82	4 38	3 150	2 145
6 80	14 78	9 176	2 14	5 82	10 166	1 194	3 106	7 23	8 94	4 87	11 153	13 108	0 47	12 97
2 22	8 66	0 200	5 122	6 9	7 70	10 108	12 3	3 135	9 101	14 133	1 186	11 159	4 85	13 132
11 32	5 147	1 167	6 173	10 185	8 81	2 37	7 153	3 26	9 163	4 147	0 78	14 108	13 11	12 124
10 137	5 152	12 153	6 140	0 115	4 166	1 54	8 144	3 199	14 136	7 180	13 162	11 112	9 147	2 173
6 67	3 190	2 78	12 141	10 184	4 107	9 57	13 70	7 22	8 95	14 77	1 121	0 162	5 46	11 48
8 73	0 71	9 171	5 148	2 147	4 193	11 56	10 18	7 33	3 61	12 163	13 102	14 21	6 132	1 178
12 94	2 9	5 192	14 175	7 118	11 152	13 49	4 31	9 180	6 87	0 130	3 171	1 6	8 126	10 174
7 22	5 152	3 47	4 162	13 89	6 168	2 178	8 115	10 8	9 197	0 66	1 48	11 145	12 166	14 1
11 170	3 109	10 153	12 135	6 112	5 84	7 27	1 29	2 11	14 138	4 77	9 99	13 18	0 48	8 8
8 11	3 168	5 39	12 25	1 53	0 132	10 128	11 183	6 140	14 191	2 13	13 144	9 18	7 197	4 153
11 18	4 97	6 41	14 144	7 156	10 114	5 183	3 2	9 83	13 29	2 146	0 130	8 42	1 199	12 185
7 58	5 70	13 109	8 44	11 195	3 60	10 87	6 71	2 146	12 49	4 40	14 181	0 35	9 89	1 7
6 114	8 107	10 139	14 22	4 118	7 117	1 48	9 102	12 31	2 86	3 98	13 116	5 69	0 74	11 165
6 27	5 170	2 158	3 18	7 156	11 110	4 115	9 94	13 197	8 180	1 151	12 120	10 14	14 92	0 42
8 96	2 111	13 130	11 186	7 85	9 107	0 44	4 166	5 57	6 105	3 165	10 77	1 58	14 137	12 11
7 105	11 164	9 84	13 17	10 27	5 144	8 92	12 99	3 64	6 118	14 25	1 173	0 61	2 145	4 52
10 96	8 146	0 171	14 17	4 38	1 72	9 150	11 34	5 169	3 121	7 191	12 132	2 56	6 3	13 4
6 162	4 17	11 95	3 99	1 15	5 62	12 170	13 99	2 126	7 151	9 135	14 74	8 34	10 162	0 102
1 198	6 65	3 106	13 57	9 147	2 152	7 199	10 143	14 61	0 16	8 90	12 186	11 190	4 14	5 63
6 179	4 63	7 187	9 96	12 179	3 37	10 80	0 47	14 50	5 51	1 50	13 82	2 142	11 24	8 48
1 81	10 109	11 182	0 185	2 53	14 126	5 88	7 9	8 136	12 51	4 10	9 84	6 113	13 172	3 6
14 44	1 129	11 72	3 139	13 114	8 84	12 63	4 59	9 155	10 182	6 46	5 36	2 66	0 71	7 98
4 91	14 90	9 135	8 152	13 139	11 147	5 103	10 122	6 18	12 41	7 20	1 196	3 28	0 178	2 151
