80	70
26 56	1 77	16 57	45 45	23 16	30 83	62 5	0 34	50 20	10 86	57 5	69 10	60 7	37 81	55 59	32 68	18 83	17 18	39 32	31 26	41 78	34 19	20 93	58 44	53 72	43 30	19 92	42 66	21 64	8 55	33 70	61 75	9 5	65 8	38 64	5 37	7 77	35 5	59 60	66 29	4 85	68 16	6 20	29 67	36 47	11 34	67 84	64 52	52 34	15 54	49 70	14 91	13 67	46 1	63 87	2 80	12 45	27 8	56 58	25 95	48 48	51 20	22 73	3 44	44 61	28 57	24 78	54 20	47 70	40 2
36 23	27 12	40 66	63 53	55 13	49 6	12 46	46 84	53 36	68 18	5 61	65 42	20 84	39 52	56 32	31 1	25 94	15 99	43 25	47 4	42 27	6 20	67 31	4 87	1 64	50 85	26 74	2 12	34 90	28 77	8 71	19 70	11 57	17 39	14 7	57 74	29 51	9 17	41 65	33 29	51 84	10 23	62 39	64 62	38 61	52 71	58 10	59 47	60 82	0 33	48 7	7 15	21 77	16 10	54 69	32 92	13 48	24 34	18 6	35 43	3 58	45 43	69 66	22 99	61 69	44 29	23 62	66 63	30 98	37 53
32 89	45 12	36 12	59 77	7 55	6 66	17 37	3 13	66 95	47 7	23 79	27 68	33 69	63 75	51 60	35 57	49 32	26 65	69 89	4 53	14 83	25 48	53 4	54 57	13 18	34 59	29 72	19 91	37 27	22 1	61 85	20 9	1 56	16 65	58 15	41 61	11 41	56 34	9 94	2 81	8 86	60 40	5 95	42 90	68 39	52 87	39 63	65 46	67 14	24 86	62 73	30 20	0 91	18 41	38 92	12 92	46 2	40 85	55 31	15 33	31 83	28 84	10 81	48 52	57 16	21 86	43 57	50 65	64 99	44 5
62 23	13 31	39 55	47 41	38 93	55 95	40 11	20 83	2 66	12 15	57 58	54 40	9 48	22 77	23 56	25 12	66 84	51 19	31 82	45 36	34 60	41 98	52 87	48 65	18 91	26 10	28 10	6 13	69 55	43 10	36 36	7 93	46 65	3 87	11 96	37 83	15 23	61 81	56 81	33 59	58 87	30 85	32 1	14 46	1 97	17 57	19 53	27 32	35 22	16 9	21 64	49 54	59 69	68 37	5 78	44 53	0 4	8 53	53 81	60 23	50 52	4 32	65 4	64 77	67 44	42 60	10 27	24 84	63 61	29 54
14 43	9 13	58 50	10 89	39 40	61 96	13 85	1 91	25 42	56 62	46 34	36 99	59 93	24 50	30 69	4 14	32 8	2 47	20 7	8 49	41 13	38 65	43 98	42 58	3 64	11 53	44 85	45 19	55 16	69 90	54 23	50 83	52 17	28 11	49 29	35 78	27 33	60 70	62 28	31 16	17 44	64 52	6 45	40 21	63 59	22 51	0 89	57 88	12 60	37 2	21 19	66 27	29 17	51 26	48 85	68 77	5 23	33 39	23 39	67 80	47 78	15 14	7 94	18 13	53 30	16 3	34 29	19 60	65 24	26 43
50 59	26 41	66 35	51 6	55 11	16 4	62 89	36 27	13 13	21 26	44 62	15 26	57 26	14 18	59 20	46 1	38 41	11 9	23 36	18 3	67 4	28 35	65 5	19 48	29 50	64 46	4 3	33 11	25 41	49 97	53 4	37 60	52 73	56 93	5 5	27 8	41 17	69 21	9 83	43 74	60 27	68 43	12 91	48 33	0 93	10 72	63 99	32 76	6 72	20 84	34 15	35 45	61 75	47 44	54 48	2 85	24 52	22 77	39 1	17 68	3 56	45 86	1 95	8 73	40 22	30 84	7 50	31 66	42 71	58 93
51 51	36 8	0 28	59 7	43 68	9 12	14 5	29 18	65 17	58 16	44 20	10 73	37 63	39 71	5 54	13 89	11 32	32 17	55 35	18 23	35 96	1 61	63 39	2 43	25 57	56 86	17 62	54 10	15 53	30 8	24 92	40 25	53 83	61 68	19 88	4 94	27 44	8 48	26 7	28 72	7 29	68 97	67 38	31 94	49 59	12 99	69 38	41 35	42 64	57 21	33 41	46 18	38 62	47 18	66 61	6 57	50 59	64 64	45 21	60 84	48 65	22 82	34 30	16 77	21 75	20 9	62 39	52 43	3 7	23 17
5 28	47 38	46 76	15 35	43 3	29 90	59 60	26 71	36 67	34 72	52 49	1 13	0 68	41 96	39 84	63 65	60 99	67 41	2 31	50 68	23 27	33 32	27 63	40 93	28 72	20 42	55 84	42 60	66 86	24 32	45 26	16 14	18 99	11 92	4 64	54 31	9 22	17 50	64 67	25 58	65 63	10 78	22 88	49 95	19 30	51 60	35 23	6 72	68 9	44 79	53 90	38 57	14 71	13 91	3 16	61 52	21 64	69 53	58 42	8 18	37 31	12 7	57 95	31 18	30 23	32 23	7 64	56 98	48 28	62 65
68 42	21 79	44 76	50 83	45 37	49 48	60 2	1 66	19 2	59 36	27 65	37 62	3 44	54 71	22 88	36 14	47 41	35 51	53 25	8 4	61 55	43 11	20 20	24 3	26 69	51 89	9 6	25 11	58 58	13 65	2 33	42 89	41 85	18 19	40 83	52 2	15 37	34 1	62 61	6 96	4 83	69 38	39 18	56 85	67 45	7 69	63 49	33 24	28 52	5 67	48 52	11 65	14 72	55 13	66 18	38 34	0 78	12 88	23 59	57 7	65 31	10 71	46 78	30 23	29 69	17 55	31 22	32 19	16 97	64 88
17 54	32 69	24 99	16 66	30 82	15 57	53 52	40 2	63 52	44 93	19 51	67 52	47 34	42 50	54 66	65 87	51 86	31 44	43 66	41 29	11 55	10 48	22 85	27 9	8 93	50 69	56 6	33 40	48 60	29 73	26 98	46 13	3 92	35 77	7 11	25 97	58 65	13 42	1 94	49 93	2 45	68 70	45 9	6 58	9 98	28 44	5 26	36 33	18 45	57 1	62 64	60 3	21 84	4 2	64 44	59 22	39 84	38 56	12 74	14 70	66 52	37 3	69 33	23 43	52 63	34 13	0 76	61 87	55 57	20 6
57 91	62 96	47 79	27 73	5 93	46 62	14 31	65 6	20 24	52 96	59 64	22 70	45 28	6 72	69 19	66 82	63 79	37 36	50 11	19 57	51 65	44 28	28 13	48 22	43 52	29 9	9 39	21 99	40 18	41 74	32 74	56 77	3 30	54 39	16 87	31 3	67 24	7 29	53 99	26 43	17 21	12 70	35 7	58 55	60 12	0 42	36 44	2 47	4 63	23 43	33 74	61 80	42 17	38 4	10 14	13 80	1 91	24 84	34 82	30 45	64 89	68 63	55 36	18 26	25 14	49 45	11 35	8 25	39 1	15 90
19 97	29 11	45 72	27 35	25 62	39 47	50 50	43 6	36 31	64 92	20 55	65 59	35 23	53 51	51 39	47 24	33 81	34 72	28 29	26 84	22 65	2 5	41 30	68 27	59 22	6 41	60 99	69 75	30 18	63 82	7 93	23 10	57 75	17 98	61 64	48 19	0 53	46 96	15 33	52 2	66 77	37 28	42 21	12 40	21 29	31 4	32 61	5 63	56 12	3 12	40 90	10 5	54 78	8 18	24 76	1 8	18 48	44 5	62 56	49 30	11 67	9 45	14 21	16 97	4 72	55 97	38 7	58 67	13 79	67 85
42 44	32 81	61 60	38 54	29 74	63 86	64 99	58 8	37 77	59 86	36 67	3 34	7 55	28 16	23 83	34 61	33 11	11 66	46 45	65 91	62 81	51 92	50 93	68 17	20 34	67 26	17 4	44 45	39 71	22 44	53 20	16 24	9 8	15 91	5 43	14 4	25 62	24 49	31 53	47 65	60 20	26 1	8 51	69 8	45 16	13 27	55 68	49 90	1 62	35 21	6 88	19 52	41 93	56 67	0 63	21 54	27 99	18 92	54 22	66 57	48 19	57 58	12 47	52 93	4 6	40 23	10 35	2 44	43 47	30 25
