40	20
14 136	19 199	13 90	0 90	4 184	3 28	17 62	10 125	15 101	8 37	7 146	12 197	9 23	18 48	16 183	5 112	11 153	2 96	1 63	6 104
14 97	4 185	7 183	6 101	16 178	8 88	17 36	5 73	9 177	12 44	0 170	19 46	13 186	2 28	18 15	15 152	3 138	1 58	10 152	11 107
17 91	10 40	15 64	11 153	4 7	19 59	1 157	0 102	5 5	3 133	16 189	14 168	9 107	6 2	7 189	2 199	8 150	12 33	13 86	18 48
8 35	17 48	14 55	4 1	15 16	5 134	3 144	1 16	19 184	2 156	6 118	7 105	13 172	16 21	11 39	12 184	10 140	18 10	0 98	9 71
9 80	1 35	6 81	11 157	18 50	5 115	2 189	7 6	19 31	4 190	0 176	10 200	13 190	3 79	12 157	8 36	16 130	15 94	14 97	17 52
13 105	17 197	7 83	8 100	15 103	0 17	19 73	3 148	6 70	16 126	11 62	2 128	1 138	4 156	18 70	10 136	14 14	9 142	5 14	12 196
3 42	9 129	8 144	11 110	18 39	13 131	12 81	19 189	4 158	10 181	17 109	14 97	0 190	1 45	2 177	5 123	6 144	7 14	15 17	16 192
9 154	3 136	18 31	10 151	5 19	17 106	11 179	6 100	2 135	4 62	8 102	13 79	16 63	15 149	12 100	19 125	7 165	14 50	1 160	0 124
5 102	6 85	8 31	14 157	17 180	11 15	3 124	19 177	13 77	7 18	2 183	9 143	16 53	15 20	1 160	0 77	12 125	4 146	18 136	10 199
19 173	3 149	13 182	17 50	8 50	0 35	9 118	6 194	12 172	2 66	10 17	1 116	14 119	18 25	4 158	11 72	15 154	5 107	7 96	16 165
11 11	3 106	12 154	17 21	7 128	5 172	6 119	13 183	8 124	14 35	15 93	0 197	10 135	16 79	9 119	1 190	18 151	2 55	19 125	4 182
6 51	11 79	5 110	7 92	15 152	8 92	13 140	17 79	3 45	2 61	14 10	19 96	10 88	9 193	12 175	18 153	16 195	0 58	1 40	4 45
17 95	16 96	7 191	0 116	13 90	14 121	2 56	8 138	1 132	4 178	3 199	10 53	11 190	15 127	9 178	5 45	12 23	6 194	18 153	19 177
13 47	0 112	18 94	19 144	7 195	3 120	12 119	4 162	9 5	14 36	10 129	2 51	16 199	5 87	15 195	17 197	6 135	1 36	11 146	8 61
12 122	13 143	4 75	18 75	1 16	5 26	7 79	17 31	8 186	0 63	6 54	3 25	19 140	9 62	14 149	11 24	2 31	16 162	15 4	10 130
3 27	18 94	19 55	10 171	16 182	8 50	7 200	11 81	5 113	13 106	0 161	12 100	17 164	14 177	1 157	6 172	9 142	15 161	4 179	2 85
2 15	8 132	14 158	15 49	5 77	9 26	0 78	10 78	3 155	6 19	16 157	18 167	19 171	11 38	1 120	12 15	4 193	7 194	17 119	13 26
2 127	17 174	15 36	7 71	5 85	16 168	18 192	0 155	10 121	14 123	12 13	3 16	11 151	1 189	13 85	19 158	9 6	4 71	8 6	6 173
13 6	8 121	9 96	19 7	18 91	2 103	6 62	7 103	15 56	10 195	17 80	11 62	16 45	3 156	4 136	12 101	1 114	14 158	5 11	0 141
9 76	5 108	13 153	3 171	16 151	0 82	17 194	11 45	8 34	18 167	4 14	1 81	7 76	14 152	6 24	15 129	19 162	2 11	12 173	10 153
16 129	13 8	10 161	8 50	1 31	15 172	9 64	7 158	2 104	3 130	0 104	4 98	12 111	5 4	19 59	18 13	14 188	11 17	17 92	6 142
6 135	3 178	16 184	12 160	10 185	5 135	1 199	11 4	19 15	14 20	15 44	4 181	2 158	7 58	0 26	17 148	8 172	13 147	18 140	9 183
16 62	4 80	5 13	7 195	10 112	1 9	8 58	12 144	3 132	13 61	18 180	14 153	15 95	17 151	2 81	0 94	6 84	11 9	19 87	9 7
17 13	16 199	4 93	18 14	14 25	9 159	15 49	5 113	10 17	8 36	2 27	11 62	12 108	7 62	19 34	3 27	0 35	6 70	1 131	13 8
7 19	9 134	15 160	5 189	3 56	12 156	19 185	17 129	14 31	4 169	11 22	2 182	1 90	16 121	6 51	13 196	18 188	10 188	8 14	0 21
7 89	1 75	14 103	18 80	5 178	2 147	4 187	0 189	17 50	12 66	9 157	13 46	3 164	19 6	8 65	10 119	16 46	6 97	15 162	11 163
2 61	11 119	3 51	7 123	0 197	14 39	16 65	6 195	4 11	19 143	12 91	13 149	9 17	5 161	17 165	1 171	18 11	10 159	15 50	8 63
6 26	0 179	10 90	12 158	13 194	18 6	14 73	4 46	11 173	8 22	5 82	9 81	1 131	15 129	2 97	3 130	16 192	17 121	7 148	19 27
13 60	9 29	4 171	18 131	12 81	2 124	1 125	3 40	11 93	19 157	7 170	16 13	0 13	14 62	17 29	10 125	15 90	5 199	8 35	6 175
11 136	10 123	3 91	4 126	13 18	9 179	19 61	1 154	15 99	8 40	5 16	0 183	2 186	17 128	12 14	7 150	18 30	6 127	14 180	16 128
8 148	4 29	12 1	18 141	0 49	7 122	13 176	2 60	10 164	1 159	17 165	9 162	3 63	6 117	19 78	16 98	5 130	14 13	11 122	15 115
8 100	1 155	12 95	0 158	10 137	5 112	4 169	2 25	15 47	3 96	19 184	6 57	17 25	14 165	16 72	13 45	18 84	7 86	9 21	11 2
6 38	10 36	12 98	9 109	3 118	8 183	0 91	5 25	19 102	11 68	2 156	13 101	17 139	7 156	15 168	18 147	16 104	1 142	14 48	4 142
5 112	8 181	7 172	11 173	9 84	19 93	14 90	18 17	10 175	17 13	3 18	13 174	16 35	12 17	4 70	2 83	6 76	0 114	1 176	15 196
0 82	11 26	15 57	19 83	10 99	14 90	9 72	6 89	5 48	13 67	4 38	2 135	3 15	18 15	12 96	16 18	17 83	1 48	8 31	7 106
11 90	12 58	10 115	17 35	3 118	4 63	9 156	18 17	7 48	0 62	2 33	19 190	15 144	13 110	1 170	16 146	8 100	6 62	5 93	14 107
9 57	11 6	1 161	18 157	4 140	5 58	15 28	7 13	17 14	13 8	19 68	3 166	2 93	10 142	8 177	16 157	14 145	6 182	0 41	12 176
19 47	16 35	5 73	17 1	14 153	6 101	8 58	10 130	13 21	12 60	3 132	0 108	15 175	18 150	4 68	2 163	11 117	1 4	7 150	9 134
10 178	13 108	9 149	0 38	3 65	5 200	8 116	17 161	1 142	4 143	7 161	11 103	2 8	16 116	19 103	18 3	12 72	14 174	15 177	6 186
14 98	2 132	15 107	12 196	3 193	1 147	19 51	9 130	13 200	8 164	16 9	7 15	10 29	6 175	11 81	4 136	0 73	5 107	18 84	17 194
