40	5
1 144	3 107	2 1	4 51	0 130
2 101	4 29	1 187	3 118	0 75
3 88	2 52	0 43	4 175	1 8
4 199	2 20	1 3	3 68	0 148
0 103	1 68	2 193	3 134	4 15
0 65	4 141	1 45	2 119	3 82
4 96	1 128	3 185	2 141	0 42
2 151	0 37	1 87	3 46	4 185
4 85	0 39	2 200	1 117	3 122
0 190	1 41	2 150	3 186	4 3
1 85	4 50	0 29	3 58	2 100
2 43	3 116	1 32	0 170	4 8
4 38	1 146	0 73	3 183	2 195
1 182	3 59	4 109	0 98	2 57
0 10	4 176	2 134	1 93	3 186
4 18	3 111	0 30	1 96	2 153
0 198	2 154	1 163	4 67	3 67
0 78	1 147	3 165	2 74	4 49
0 37	4 32	2 12	3 175	1 82
4 78	1 196	2 114	3 82	0 33
0 168	4 93	3 151	2 181	1 32
1 172	2 84	4 103	3 145	0 178
3 119	2 97	0 140	4 78	1 60
1 31	0 31	4 48	3 89	2 52
4 186	0 57	2 107	1 143	3 101
0 132	1 115	4 155	3 178	2 44
1 194	3 177	0 180	4 157	2 164
1 187	4 5	2 88	0 96	3 83
1 189	3 101	0 92	2 90	4 89
4 115	0 155	1 70	3 32	2 73
0 65	4 2	2 164	3 87	1 181
1 39	4 45	0 117	2 20	3 190
0 41	3 193	2 112	1 149	4 78
1 129	3 39	0 112	2 38	4 200
3 41	2 185	1 94	4 194	0 153
2 200	1 50	4 186	3 115	0 192
1 166	2 171	4 124	3 111	0 174
1 86	3 115	0 162	2 32	4 118
2 6	4 48	1 27	0 127	3 192
1 46	4 65	2 28	3 170	0 98
