70	20
6 117	16 8	0 167	7 28	5 125	14 77	13 88	11 118	10 80	2 189	17 99	12 170	15 199	18 149	8 128	1 50	4 23	3 26	19 23	9 181
13 55	19 66	3 82	15 90	8 138	16 8	7 166	0 63	12 164	11 77	6 109	2 11	4 186	5 125	14 10	17 187	9 118	1 142	10 10	18 195
10 5	5 128	1 168	7 59	3 100	12 183	19 125	13 128	4 113	0 130	15 167	8 57	11 189	17 196	2 127	6 96	14 139	18 179	16 16	9 200
8 141	13 121	0 189	17 195	10 59	16 2	19 118	9 24	18 15	6 68	1 87	4 126	14 22	5 191	3 109	12 188	15 71	2 152	11 172	7 113
0 112	17 165	9 119	6 196	11 137	13 159	16 11	7 56	14 144	10 94	1 33	4 193	12 53	3 43	18 40	19 50	8 19	2 114	5 198	15 135
14 113	0 19	10 26	7 145	8 39	5 50	15 104	3 39	17 130	18 110	1 161	13 9	2 129	4 134	16 51	6 77	19 139	12 4	11 5	9 125
17 65	7 3	8 76	14 54	11 129	3 62	1 59	0 131	9 96	10 65	12 92	18 58	2 127	16 54	4 134	6 34	5 121	13 128	15 92	19 90
17 94	5 150	3 18	6 105	0 151	4 109	13 151	15 149	19 75	2 150	9 115	16 198	18 174	1 171	14 161	11 159	12 78	10 116	8 104	7 93
18 27	9 190	19 137	8 29	12 79	7 61	10 117	3 58	2 60	1 136	0 15	4 42	14 44	15 158	6 178	11 144	5 88	17 178	13 130	16 166
7 80	14 141	8 2	9 50	2 161	11 53	1 143	13 154	3 162	12 172	10 133	5 42	19 10	4 111	15 2	6 60	16 3	17 28	0 193	18 178
2 84	6 155	19 52	17 174	10 40	9 140	18 149	7 64	11 71	16 35	5 114	8 91	14 175	13 104	1 40	15 129	4 169	0 112	3 134	12 198
13 103	18 151	12 197	14 147	6 82	15 53	0 104	11 117	4 65	10 113	16 118	17 196	7 142	9 120	3 40	5 193	2 14	8 85	19 79	1 95
7 65	19 85	14 82	5 130	15 14	0 196	9 54	4 17	13 150	18 148	12 126	11 45	16 34	1 57	6 86	8 77	17 3	10 184	3 191	2 133
15 129	14 23	5 146	4 1	6 114	1 79	0 93	10 38	19 196	13 46	18 192	17 40	8 48	9 175	11 153	7 64	3 102	2 184	16 189	12 25
12 67	4 134	2 37	5 22	14 136	10 84	8 26	17 73	18 52	16 100	0 64	6 140	13 123	9 119	7 19	19 174	11 85	1 188	3 88	15 149
19 30	15 65	12 120	13 193	1 67	5 8	7 158	3 84	14 143	2 197	18 171	9 129	0 87	6 39	17 194	10 67	11 140	4 29	8 43	16 60
1 76	17 130	19 97	18 133	7 108	3 181	10 53	0 125	9 37	11 188	13 61	16 180	4 65	12 114	15 135	14 164	8 36	6 198	2 146	5 125
12 47	4 71	8 59	1 28	18 66	9 102	7 17	11 124	10 17	14 36	3 165	17 154	15 13	19 22	0 8	13 147	16 136	2 182	6 159	5 24
1 190	6 99	19 9	11 120	16 108	13 5	0 108	7 7	8 138	17 85	12 96	15 151	10 39	5 108	14 28	2 44	4 123	18 183	3 136	9 27
16 148	8 36	1 181	12 132	4 110	9 110	3 164	2 118	6 136	7 106	0 82	19 120	18 105	14 157	11 188	10 1	13 128	15 191	17 129	5 170
2 160	19 19	9 196	11 168	4 94	15 149	1 117	0 180	14 40	13 22	3 168	12 159	7 144	8 22	10 131	18 172	16 174	5 94	17 69	6 171
10 171	6 73	8 92	7 20	19 105	3 129	18 44	4 111	13 172	5 47	0 2	15 57	1 156	14 164	16 151	17 103	11 74	2 1	9 79	12 96
7 118	1 42	4 4	18 190	3 85	14 104	15 179	19 12	5 127	16 120	12 69	17 174	13 65	11 123	0 134	9 60	8 1	2 88	6 112	10 200
18 121	3 170	12 104	11 99	10 98	0 1	8 73	9 46	4 139	1 71	5 9	13 59	6 138	16 47	14 158	2 122	15 131	17 142	19 196	7 32
1 149	4 180	0 13	5 165	17 8	12 97	18 132	15 33	13 158	7 101	19 110	11 58	16 85	9 36	10 54	2 20	6 140	14 132	8 172	3 140
0 176	17 118	9 95	4 60	7 170	19 155	16 117	8 15	18 55	3 162	15 159	10 162	1 23	6 181	5 199	11 99	14 142	2 11	13 71	12 196
12 135	0 155	17 198	13 108	7 119	1 42	16 137	3 101	15 189	4 197	5 18	10 155	9 74	2 190	14 8	19 194	8 130	18 102	11 133	6 51
0 162	2 111	13 105	3 64	5 14	14 176	6 175	19 170	8 183	15 11	16 41	7 183	1 187	18 56	4 179	9 21	10 60	12 63	17 5	11 127
3 167	14 59	16 169	15 20	11 57	19 69	2 171	18 184	12 141	7 192	6 78	4 3	9 154	17 146	13 149	1 126	10 31	5 13	0 171	8 172
14 39	17 89	7 117	0 80	18 56	8 21	3 186	10 172	15 43	16 68	6 17	12 1	1 45	13 154	2 148	11 133	5 132	4 186	9 184	19 166
12 114	3 128	10 86	16 95	11 32	9 59	6 3	19 124	1 109	15 125	13 97	18 125	4 175	2 92	14 46	7 136	8 33	17 22	5 7	0 39
12 24	1 173	9 71	19 157	15 9	14 48	8 86	7 162	4 14	5 56	0 69	2 103	11 41	13 95	10 171	6 171	18 97	16 187	17 111	3 118
18 26	5 45	13 137	4 41	8 130	2 61	11 172	10 171	12 184	3 11	7 61	17 198	16 17	19 112	14 130	1 163	0 144	9 168	6 151	15 71
11 28	9 75	18 29	17 85	4 200	3 84	2 103	5 86	19 87	10 198	13 52	16 79	12 50	15 198	8 119	0 158	1 27	6 168	14 84	7 62
6 104	13 96	7 53	10 146	17 166	3 159	8 193	4 169	19 101	0 113	9 122	12 39	18 147	15 87	1 176	11 198	2 93	16 91	14 197	5 91
