40	20
11 95	0 68	4 30	3 13	6 84	1 83	9 44	7 76	15 38	2 73	13 43	12 88	5 89	16 8	18 77	10 4	14 12	8 42	17 39	19 21
1 6	12 71	3 12	5 61	7 39	0 86	13 19	9 89	15 69	6 90	14 40	10 58	8 23	2 70	16 56	18 16	17 72	11 83	19 67	4 87
12 96	6 36	7 7	5 30	2 22	9 33	19 12	3 31	18 99	16 64	13 7	8 19	14 21	0 18	11 53	10 55	1 57	17 98	15 67	4 49
8 62	5 50	6 8	19 54	15 17	16 24	2 22	13 68	18 82	0 15	12 14	11 60	9 94	4 19	14 90	7 53	3 9	17 94	1 12	10 78
3 48	11 35	18 14	12 11	19 4	5 5	10 21	17 29	4 23	6 47	15 19	1 96	9 34	8 76	13 59	2 44	7 59	0 69	14 92	16 55
2 39	12 71	17 68	4 1	18 51	8 7	13 44	5 45	14 99	6 23	16 53	1 96	9 21	19 63	15 87	3 86	10 21	11 5	0 74	7 40
0 95	2 19	1 77	7 19	15 14	4 71	10 79	11 15	3 90	19 94	5 59	6 96	13 64	14 7	8 16	9 15	17 48	12 52	18 70	16 57
12 99	10 28	9 48	6 93	5 61	14 36	0 70	3 71	8 52	17 96	16 6	11 86	15 20	19 13	1 26	7 77	2 87	18 89	4 35	13 76
9 77	7 37	13 84	6 67	4 83	1 69	15 26	8 19	19 17	11 81	14 66	10 68	18 99	2 44	0 78	16 16	17 47	12 38	3 16	5 90
3 35	8 23	17 64	15 65	5 36	18 11	7 30	4 18	16 57	2 95	6 51	11 28	13 82	19 55	12 41	9 84	10 82	0 34	14 87	1 89
1 50	8 75	14 99	0 56	9 70	18 29	10 25	19 81	6 76	5 89	13 63	15 31	17 29	4 47	2 38	7 59	12 44	16 74	11 69	3 83
11 12	16 58	6 22	19 60	9 15	5 67	17 53	14 89	18 8	13 28	4 59	8 21	10 92	15 43	2 83	7 58	3 46	1 45	12 87	0 22
4 4	6 46	12 56	16 66	3 97	11 96	13 48	8 89	1 53	17 90	15 84	2 40	14 90	19 63	9 5	5 70	7 19	10 64	18 26	0 68
14 65	11 54	15 85	12 8	10 4	0 1	4 44	7 28	13 27	16 59	9 18	18 69	2 77	17 4	1 90	5 75	8 58	3 34	19 4	6 11
18 86	11 94	14 82	4 57	1 57	8 38	16 98	13 76	3 85	17 15	15 32	6 46	19 33	5 14	9 57	0 77	7 53	2 44	12 84	10 78
1 16	6 48	13 88	17 87	4 84	5 39	8 57	2 83	0 48	10 94	14 36	9 98	18 51	12 87	7 58	16 41	11 57	3 13	19 26	15 63
8 15	5 27	15 85	18 51	6 20	3 60	19 70	9 74	13 84	10 33	16 98	14 18	7 63	2 62	4 93	17 13	11 90	0 65	12 94	1 6
10 20	17 87	11 19	0 7	19 88	2 60	5 26	7 52	18 63	15 46	13 42	3 56	12 93	9 57	4 26	8 63	14 69	6 69	1 1	16 46
0 66	18 20	6 88	12 9	4 44	5 79	3 22	16 63	19 28	1 79	9 89	8 46	14 62	13 99	17 26	15 98	10 16	11 85	7 77	2 68
7 75	1 19	0 81	10 35	18 38	9 36	8 56	19 90	15 86	17 78	4 49	6 93	12 60	13 81	2 94	5 57	11 89	3 98	14 21	16 14
6 63	1 63	11 54	19 71	17 21	14 41	10 7	0 36	13 36	2 96	18 8	8 34	5 91	12 3	16 78	15 91	4 97	7 57	9 59	3 98
12 33	16 70	15 32	19 30	3 61	9 72	0 74	4 56	8 61	10 19	17 69	18 14	5 32	14 82	7 63	13 18	1 86	6 70	11 74	2 39
