20	15
5 195	13 43	8 163	11 199	3 149	2 81	1 107	0 194	7 102	4 119	9 105	12 146	6 176	10 41	14 17
3 16	14 143	12 57	1 62	10 143	7 109	11 185	6 16	0 46	13 81	5 140	8 188	2 11	9 146	4 193
9 15	11 34	4 84	6 171	10 152	7 101	3 196	13 195	0 89	2 184	5 59	14 9	12 126	1 187	8 156
12 44	6 94	13 195	5 74	11 60	3 27	14 81	0 100	4 66	7 147	8 78	10 159	2 178	9 58	1 40
0 128	9 24	2 108	12 122	4 73	8 10	5 53	1 200	6 3	3 194	11 157	13 38	14 166	10 154	7 57
6 147	8 10	11 98	10 153	13 5	3 194	1 146	0 59	9 96	14 181	7 39	4 89	12 57	5 93	2 197
12 131	9 191	6 190	14 25	1 9	0 83	8 124	13 77	4 45	11 140	5 113	2 71	3 99	7 19	10 119
10 101	11 48	1 40	2 36	14 106	9 76	7 28	12 24	13 109	0 137	6 190	5 13	3 95	8 197	4 65
10 181	12 74	13 159	2 99	4 71	9 37	11 176	3 95	7 139	1 57	6 134	8 108	5 31	14 96	0 95
10 105	8 90	13 7	0 28	2 86	11 143	6 188	7 174	5 86	12 120	1 106	3 118	9 102	14 48	4 78
6 39	12 138	3 86	7 6	2 140	10 110	1 62	5 32	11 162	13 128	8 148	14 87	4 146	0 137	9 33
6 102	14 88	7 166	1 41	11 11	2 20	10 47	0 102	13 176	5 5	3 64	9 185	12 62	8 155	4 155
6 179	2 135	0 111	7 171	8 2	3 138	14 90	13 8	12 74	1 143	10 192	4 45	5 150	9 45	11 6
13 27	6 175	9 70	10 54	3 90	7 195	0 128	4 145	8 145	12 26	1 125	14 4	11 174	2 164	5 90
2 49	0 96	8 58	3 49	9 172	1 22	7 109	14 164	11 178	4 166	10 135	5 195	12 193	13 85	6 11
13 47	14 146	8 106	1 150	11 96	10 190	0 148	5 22	6 143	9 49	2 191	3 38	12 160	4 2	7 119
5 152	12 170	7 38	1 10	0 24	3 114	6 182	14 43	8 125	10 83	9 48	13 59	11 120	4 74	2 200
2 156	3 4	5 123	7 153	0 82	11 85	14 135	10 89	8 43	9 64	13 127	1 57	12 174	4 154	6 29
3 114	7 94	5 176	6 49	1 1	2 115	10 68	12 180	9 135	4 61	13 84	14 15	11 191	0 177	8 41
4 138	6 83	5 168	13 178	14 8	0 81	8 195	7 145	3 88	2 138	1 136	11 82	9 186	12 75	10 190
