15	20
4 8	15 2	14 60	3 70	9 1	19 8	10 14	16 18	0 8	17 72	2 99	13 79	6 11	18 65	1 19	11 60	7 74	12 59	5 10	8 48
1 66	15 46	2 94	19 64	17 54	18 20	3 29	12 71	8 3	5 80	6 74	10 34	11 32	4 12	0 54	14 61	13 87	9 79	7 88	16 31
17 70	11 2	10 74	16 64	18 13	13 63	6 30	7 12	12 99	1 25	15 86	19 71	9 55	0 21	4 11	8 70	5 51	3 89	14 34	2 56
2 85	15 7	9 79	17 14	11 58	18 35	16 21	6 33	19 30	8 39	10 15	12 41	1 76	13 18	7 54	14 55	5 66	0 79	3 41	4 54
16 62	3 38	19 64	9 32	6 91	8 23	5 64	1 84	13 35	0 83	11 60	4 16	17 19	10 58	12 15	2 19	7 51	15 33	18 57	14 88
6 65	7 34	18 20	14 91	17 90	4 22	2 79	11 30	0 64	1 28	3 61	10 61	19 40	13 37	9 46	12 57	5 91	15 43	8 42	16 89
2 32	5 12	14 23	7 97	11 74	18 31	13 5	3 82	10 65	19 60	1 33	0 74	17 24	6 61	8 16	4 5	15 39	9 91	12 17	16 46
2 62	13 42	10 39	16 35	3 3	8 45	9 33	11 46	17 71	15 9	6 16	4 8	1 16	0 16	14 46	18 37	7 70	19 73	12 61	5 8
11 9	8 94	16 14	0 2	5 29	3 82	15 87	18 16	2 16	7 1	10 54	13 93	6 16	9 58	4 15	1 86	17 96	12 26	19 75	14 93
3 58	15 67	7 78	18 80	10 80	12 59	5 94	0 5	4 6	8 90	13 75	1 7	16 37	17 39	9 38	11 16	14 47	19 5	6 16	2 86
18 62	12 14	5 41	19 18	10 12	15 59	4 29	11 29	1 7	17 41	0 46	8 98	2 98	3 57	13 86	14 34	6 22	9 91	16 46	7 54
19 74	6 21	2 10	15 6	10 40	1 61	14 47	11 59	17 93	16 74	9 53	0 56	13 67	3 93	7 85	12 60	5 62	18 37	8 26	4 45
3 35	2 4	1 49	5 73	18 37	4 51	17 22	0 39	15 75	8 59	7 95	16 91	9 62	6 63	12 10	10 92	11 86	19 58	14 98	13 57
12 36	8 13	3 45	9 77	6 73	5 81	0 54	13 84	15 18	7 41	1 45	18 7	14 90	19 47	4 64	16 47	10 83	17 91	2 29	11 37
1 21	15 28	16 53	4 8	12 32	18 62	10 51	13 38	3 59	19 86	5 15	0 13	6 1	7 24	11 2	17 37	14 17	9 93	2 41	8 38
