80	15
5 78	9 48	13 5	8 85	3 107	10 49	11 14	12 169	14 2	4 89	2 77	7 188	6 199	1 71	0 15
7 9	10 99	0 74	4 133	13 89	14 93	3 20	8 147	1 189	2 143	12 184	5 196	11 192	6 24	9 30
5 116	1 73	3 200	11 88	8 142	2 52	9 13	13 78	4 136	0 101	12 178	14 53	10 129	7 197	6 39
11 197	1 107	8 115	4 89	2 62	5 32	6 199	3 155	13 54	10 129	14 195	9 182	7 122	12 157	0 170
0 10	9 80	8 28	13 153	5 194	4 116	3 199	11 91	7 195	6 35	1 164	14 142	10 163	12 186	2 87
7 8	13 48	9 165	14 14	4 123	3 173	0 74	8 57	5 54	10 71	2 72	1 165	11 120	12 166	6 17
6 101	7 108	0 140	11 59	8 195	14 11	3 38	10 154	12 50	1 181	2 148	4 155	5 143	13 134	9 153
2 74	1 179	13 158	12 11	0 61	5 142	11 131	10 50	6 135	14 98	3 25	7 16	9 2	8 115	4 36
9 119	8 145	14 137	4 117	6 31	11 183	2 147	13 15	1 50	10 122	0 78	5 20	7 146	12 123	3 152
1 32	8 17	14 121	12 32	11 26	13 91	3 174	9 142	2 64	5 126	0 79	4 4	7 98	10 75	6 198
6 20	10 27	0 23	5 172	11 182	14 45	13 35	2 181	7 142	9 40	3 163	1 136	12 50	8 90	4 86
14 121	13 173	12 2	4 165	10 186	7 4	1 127	11 96	5 133	0 199	8 200	3 12	2 40	6 85	9 55
1 56	6 196	4 191	8 84	0 93	11 64	10 25	14 80	3 83	12 116	2 188	7 93	13 65	5 138	9 159
6 85	11 44	5 131	4 181	14 69	12 82	0 177	7 164	10 36	1 136	9 137	3 136	13 198	2 87	8 52
4 190	9 65	6 13	2 161	3 153	8 88	7 73	11 107	14 98	1 8	12 111	5 25	0 171	13 16	10 169
13 122	14 10	8 187	10 176	4 35	12 86	0 129	3 64	7 54	5 160	9 72	6 100	1 71	11 86	2 15
14 19	0 187	11 103	13 14	4 144	8 124	3 40	6 44	1 32	7 166	9 24	5 199	10 109	2 135	12 171
5 103	6 52	11 118	0 94	12 113	14 129	4 72	3 189	10 36	13 2	8 155	2 1	7 46	1 45	9 35
3 73	0 162	2 71	11 9	14 11	6 86	13 114	7 6	4 157	10 105	9 36	1 71	12 182	5 121	8 21
9 33	0 146	14 96	2 168	6 64	11 168	13 175	5 150	3 61	10 188	12 12	1 15	7 126	4 96	8 61
2 195	8 13	9 67	10 30	12 21	5 147	1 54	4 167	13 131	14 48	7 176	6 118	3 119	11 131	0 12
7 20	1 37	5 36	10 133	6 199	3 104	4 180	13 86	2 121	12 122	14 169	9 190	0 73	11 154	8 135
5 54	6 80	8 41	10 10	13 81	9 31	2 135	11 22	0 48	1 58	4 72	12 85	14 183	7 115	3 41
12 56	13 109	14 147	8 182	6 125	5 71	4 81	3 8	10 158	9 182	11 144	0 97	7 2	1 42	2 16
10 28	14 145	12 93	3 15	13 86	8 45	7 13	9 78	0 138	4 3	6 144	11 132	2 34	5 31	1 61
10 155	1 170	3 64	11 149	6 16	0 122	14 187	5 71	9 62	8 3	13 16	12 54	7 195	4 193	2 3
13 59	7 28	0 26	12 9	3 78	14 113	1 98	4 187	8 107	11 133	6 71	10 92	9 90	5 13	2 74
12 85	9 133	11 104	3 50	13 44	2 82	0 22	7 87	8 198	6 183	10 30	5 157	4 65	1 156	14 155
0 21	11 154	6 130	1 168	3 62	12 108	13 152	14 47	5 24	9 125	4 167	10 90	2 7	7 10	8 133
5 42	3 50	4 159	14 196	2 135	7 146	10 21	8 73	9 97	13 144	6 49	0 66	1 134	11 103	12 182
4 38	7 59	0 183	9 193	5 99	1 56	6 68	3 59	2 102	14 197	8 56	12 114	11 99	10 30	13 53
2 159	0 117	1 192	8 191	6 58	11 146	5 172	10 116	4 143	9 168	14 29	3 55	12 12	7 35	13 108
13 105	5 58	7 129	6 101	12 167	2 1	10 197	4 143	14 169	9 25	11 53	8 90	3 198	0 43	1 143
1 132	13 12	5 33	8 199	0 191	12 10	6 44	2 172	14 74	4 179	3 164	9 141	11 47	7 53	10 162
9 59	6 79	1 3	11 135	12 170	5 130	2 69	0 101	13 140	8 107	14 180	7 168	3 113	10 47	4 183
6 118	9 1	7 169	14 58	2 120	8 163	0 153	3 167	12 98	4 175	5 49	10 78	1 189	13 45	11 35
2 193	0 140	1 61	10 35	11 110	6 139	4 89	8 128	5 23	13 139	7 183	3 10	14 111	12 15	9 193
1 109	12 9	14 105	5 54	4 20	10 145	0 121	13 182	8 98	9 188	7 100	6 76	3 37	2 38	11 188
6 66	13 103	10 110	12 1	3 38	0 111	2 7	4 163	9 154	1 131	5 189	7 49	11 192	14 128	8 80
0 135	13 24	11 170	5 32	12 45	3 127	2 124	14 104	6 173	1 45	9 109	4 75	8 96	10 123	7 83
12 195	8 85	9 172	4 77	1 60	10 89	14 89	6 83	5 58	7 92	11 66	2 10	0 15	13 183	3 7
2 138	12 63	8 168	3 53	0 171	7 180	5 144	1 158	6 33	13 128	9 87	4 86	10 37	11 74	14 144
0 189	5 39	11 54	13 194	1 168	4 199	7 38	10 160	12 195	3 190	14 123	6 72	9 165	2 26	8 150
4 93	13 34	14 18	12 133	8 152	11 126	9 122	10 40	5 195	2 89	1 141	3 8	6 71	7 76	0 192
9 21	2 114	12 86	4 31	14 146	11 137	5 63	3 1	8 44	0 132	7 23	13 115	6 29	10 165	1 1
2 74	4 157	0 188	8 200	1 24	14 87	6 129	10 127	5 161	3 31	11 73	7 71	13 140	9 23	12 149
10 59	13 110	5 47	1 117	4 38	8 186	9 135	2 60	6 40	12 40	7 17	3 195	11 118	0 105	14 29
14 180	3 50	11 149	7 46	0 22	8 55	4 40	6 81	9 86	5 156	12 189	10 188	13 90	2 123	1 76
2 31	10 131	11 74	5 28	1 4	8 107	0 191	6 140	4 105	9 73	14 74	7 184	3 165	12 27	13 103
7 153	8 84	3 89	5 148	14 175	9 190	2 87	12 198	1 28	4 152	10 161	11 80	13 62	6 142	0 164
6 125	13 20	5 114	9 84	14 118	2 83	3 61	11 128	8 8	1 138	10 112	4 111	7 164	0 34	12 44
1 7	6 150	14 78	8 173	5 101	9 108	12 75	2 65	3 28	0 139	4 13	11 143	10 173	7 154	13 200
13 8	3 74	8 92	7 143	11 146	10 124	0 104	1 133	9 151	4 26	14 170	5 99	6 13	2 79	12 116
13 114	6 48	12 88	1 36	3 153	7 86	10 23	2 180	4 56	5 73	11 29	9 143	8 186	0 145	14 2
6 166	14 50	9 74	12 39	10 163	7 147	3 63	2 8	11 192	8 35	0 14	5 118	4 64	13 163	1 145
14 87	1 24	6 103	4 151	9 144	3 66	12 86	2 148	13 14	0 137	7 200	11 107	8 9	5 152	10 149
1 128	12 127	3 156	9 47	13 63	5 181	0 130	14 120	2 68	11 47	8 155	7 111	6 53	10 181	4 52
5 87	6 150	7 147	12 135	14 160	2 110	0 139	13 131	11 104	8 124	3 135	1 36	10 173	4 3	9 148
12 200	13 195	14 50	4 93	9 15	7 154	0 40	11 17	10 26	1 106	5 26	2 186	8 180	3 136	6 164
0 2	4 88	14 134	2 134	9 179	13 105	7 137	6 170	1 79	12 191	3 85	10 128	11 25	5 137	8 123
1 106	5 143	13 21	12 111	0 137	10 42	6 127	14 56	7 168	11 191	4 113	3 187	8 157	2 40	9 170
1 157	4 99	0 106	6 151	8 110	2 33	9 103	12 35	3 45	11 196	5 128	10 154	7 94	13 38	14 148
5 105	3 72	11 104	12 172	14 54	4 2	0 149	13 49	8 84	1 15	2 113	10 106	9 155	7 71	6 150
3 187	14 84	12 89	6 93	9 144	5 197	2 167	10 178	13 77	7 102	11 165	8 41	0 65	1 132	4 24
11 132	13 41	2 26	1 141	9 53	7 42	14 54	6 115	4 59	8 124	0 184	3 142	5 159	12 100	10 69
0 110	7 126	2 150	14 104	5 16	11 109	12 120	9 83	10 112	13 190	4 132	1 93	6 81	8 148	3 179
12 11	11 16	1 11	5 184	10 200	6 176	14 5	8 64	4 161	3 130	13 42	2 81	0 25	9 124	7 104
14 182	12 130	8 22	2 99	0 129	6 120	7 140	3 45	11 15	1 31	9 58	13 66	10 170	4 23	5 28
0 157	10 184	1 36	12 26	11 40	13 95	14 18	2 14	7 21	5 63	6 40	9 130	8 21	4 105	3 175
1 31	7 129	9 24	6 5	12 116	3 112	8 64	0 97	2 99	5 39	11 150	14 183	10 129	4 107	13 23
10 170	3 68	4 186	5 133	11 196	7 41	0 102	8 13	1 94	6 176	9 86	12 82	2 166	14 152	13 3
3 172	5 149	14 174	2 114	9 30	0 67	6 23	11 170	7 181	13 91	12 20	4 47	8 177	1 44	10 25
9 138	8 77	0 194	4 139	3 21	14 131	12 55	1 57	5 117	11 124	2 15	6 132	7 99	10 195	13 126
6 40	7 75	10 143	9 125	11 111	1 94	2 133	14 180	4 23	13 170	0 99	12 93	8 185	3 114	5 112
7 190	0 197	10 171	14 191	13 198	9 72	5 66	8 102	3 53	11 14	12 134	6 178	1 63	4 118	2 81
9 194	5 69	12 57	11 142	14 30	7 19	3 61	0 107	13 75	4 57	10 83	2 13	8 169	6 10	1 191
6 90	9 139	5 1	12 38	8 57	14 118	2 53	1 51	13 95	7 43	10 126	11 141	3 144	4 34	0 80
13 94	6 140	10 64	14 35	1 107	2 110	8 189	0 170	4 16	12 128	7 180	5 189	11 147	3 118	9 193
6 136	12 16	13 105	9 163	2 180	5 177	0 63	10 15	14 178	11 22	4 33	7 98	1 147	8 105	3 10
4 90	5 54	1 64	6 133	2 30	8 192	14 161	11 146	12 145	13 32	3 97	10 195	7 4	9 107	0 28
