15	15
6 39	1 2	13 34	0 14	2 74	9 163	7 174	8 73	11 35	4 87	14 114	3 34	5 170	10 41	12 114
11 139	4 30	3 28	5 142	8 188	14 93	7 56	6 34	12 123	13 141	9 13	1 88	0 123	10 12	2 182
12 158	3 34	4 47	11 24	1 123	2 47	6 73	10 127	0 150	13 15	7 43	14 22	8 162	5 100	9 3
14 75	5 150	2 14	11 153	0 74	12 141	6 132	7 14	8 141	4 120	10 96	13 192	9 107	1 97	3 30
14 155	13 98	11 170	7 149	3 181	1 36	8 78	10 85	4 103	6 188	9 100	12 162	5 98	2 190	0 65
0 130	2 63	8 123	12 181	14 140	9 91	4 134	11 75	1 159	7 77	3 173	6 109	13 1	5 146	10 18
1 29	4 194	2 81	11 97	3 84	8 114	6 175	10 116	9 101	7 199	13 70	12 158	5 165	14 153	0 22
3 32	8 59	14 89	2 77	4 66	11 167	13 145	1 8	12 180	0 188	7 52	10 15	6 45	9 97	5 33
6 138	12 45	0 89	14 160	9 170	4 29	5 183	11 59	8 26	7 147	3 126	10 160	13 105	1 159	2 49
10 185	3 10	2 197	6 181	11 50	8 97	7 154	14 50	9 126	13 1	0 26	5 89	1 35	4 27	12 152
10 21	5 1	13 153	3 176	11 183	8 26	0 146	4 19	1 169	9 15	6 37	7 12	2 21	12 26	14 101
8 161	1 86	3 10	7 12	6 57	10 83	2 166	9 43	11 54	5 124	4 174	12 63	0 44	13 191	14 112
6 158	13 64	3 47	5 128	4 89	11 45	0 34	14 48	7 104	9 184	10 22	1 87	2 137	12 180	8 19
6 128	2 178	13 22	10 3	9 187	8 131	11 9	7 93	4 143	0 93	14 122	1 83	5 94	3 174	12 62
6 155	10 133	3 28	11 89	2 4	8 143	7 193	4 34	9 82	0 6	14 174	12 3	5 122	13 31	1 166
