60	100
6 14	41 84	91 75	57 12	98 26	10 67	45 52	50 72	24 18	13 4	19 54	25 74	47 27	12 99	8 12	77 16	95 64	73 25	44 20	28 10	48 3	92 40	17 54	93 95	54 36	55 99	86 17	14 93	69 71	97 19	36 19	74 26	49 67	26 53	42 82	7 31	43 50	40 74	88 69	89 20	2 10	22 3	51 73	66 60	3 84	85 22	35 67	83 11	16 31	30 9	31 37	4 30	9 54	87 45	23 82	81 9	59 58	65 57	56 12	94 49	21 36	37 77	20 16	62 27	11 47	84 87	99 39	67 34	72 33	32 54	80 62	96 44	0 45	63 6	82 53	1 32	75 75	61 68	18 32	5 91	64 63	68 89	60 35	58 76	71 20	78 61	76 74	70 12	34 13	15 44	53 91	79 15	90 54	29 93	46 71	39 97	38 88	33 35	27 10	52 26
0 96	9 23	29 48	21 94	28 43	53 90	58 89	78 77	50 88	44 10	52 32	10 64	94 88	26 61	36 75	12 42	75 27	41 9	98 49	5 7	47 75	27 3	51 55	55 32	71 43	61 59	37 9	68 64	77 67	3 96	70 10	90 67	83 80	95 9	64 10	82 43	96 90	67 13	38 25	93 22	16 4	80 5	2 60	46 82	45 27	25 57	8 66	15 14	60 66	48 87	81 51	54 92	43 99	74 32	66 72	18 81	86 1	69 40	6 29	99 32	32 23	59 97	33 82	92 73	23 36	30 21	4 30	40 37	20 41	79 98	31 40	11 79	65 54	89 99	88 46	62 52	39 4	35 78	19 71	85 4	63 57	57 82	1 14	49 99	84 19	73 79	14 56	22 22	56 47	34 69	76 63	42 91	17 77	72 80	7 12	97 31	91 81	87 36	24 44	13 93
21 34	23 78	42 39	36 21	4 76	30 20	84 95	27 91	53 84	2 41	16 63	64 44	46 34	76 66	78 55	79 76	92 25	40 3	15 77	61 10	45 72	77 65	32 58	22 19	44 72	58 79	70 2	85 72	35 32	62 60	67 25	98 13	13 67	97 61	99 86	80 10	75 50	11 42	51 48	7 61	48 16	31 10	50 70	90 8	83 89	25 58	59 86	72 10	54 38	87 58	63 68	74 85	18 73	6 74	55 49	10 68	39 43	66 71	52 60	1 67	71 13	12 91	8 7	38 72	95 89	93 99	60 9	82 69	0 40	68 63	88 11	94 98	65 20	73 21	20 60	17 68	49 3	29 53	91 10	86 27	14 47	9 19	37 62	41 5	34 94	26 31	47 1	19 22	69 8	56 36	96 86	33 51	28 6	43 64	5 58	81 17	3 61	24 81	89 21	57 50
87 69	53 16	26 36	23 33	56 25	51 40	49 76	98 34	55 48	82 51	89 82	37 61	71 6	54 95	10 20	5 25	46 14	99 86	72 68	28 79	17 90	2 67	88 65	60 11	33 62	81 67	90 77	39 10	96 8	8 6	14 64	38 49	80 15	57 43	27 66	21 66	94 43	76 88	12 15	75 94	73 34	30 58	41 9	77 12	62 65	78 24	6 87	65 17	93 97	42 81	58 64	67 36	97 42	20 22	25 35	36 69	92 93	50 84	59 18	70 57	68 41	47 5	74 10	95 21	16 35	13 7	48 91	9 44	3 33	1 57	40 46	29 84	52 12	69 51	4 66	18 70	86 27	32 59	31 50	83 81	7 82	22 27	15 49	61 38	0 24	44 72	24 92	19 1	91 41	79 60	85 58	34 37	84 30	43 31	45 88	66 81	64 20	35 45	63 4	11 22
42 1	15 13	83 43	0 37	38 1	90 19	22 46	67 3	10 4	45 73	28 80	24 40	26 25	7 87	17 33	48 65	81 94	1 88	32 27	89 66	86 36	4 29	40 81	49 40	68 62	33 26	35 17	69 43	37 88	63 78	54 51	56 62	11 17	75 42	21 31	51 6	66 9	78 96	70 21	62 36	20 13	18 31	73 2	60 1	25 67	59 88	85 24	71 10	93 58	88 20	91 63	58 18	77 69	76 58	50 8	53 55	9 99	30 1	82 43	84 72	23 83	87 49	65 86	27 87	61 79	13 28	8 46	64 83	5 50	95 62	36 63	94 20	46 16	6 77	80 90	97 63	16 56	74 95	57 61	47 97	3 73	96 37	29 4	34 29	52 50	79 9	44 64	39 37	72 77	43 11	41 10	99 70	31 72	12 54	55 50	14 62	2 60	19 48	98 86	92 4
97 28	64 55	15 43	8 31	20 39	81 40	91 38	1 83	52 37	94 3	23 35	86 36	44 90	92 24	73 9	67 18	99 83	84 75	83 5	58 88	61 33	45 57	49 69	68 56	48 60	18 94	65 98	3 3	28 54	30 75	41 72	55 40	24 43	2 82	42 48	39 4	32 74	98 62	72 31	96 57	31 12	34 35	19 72	60 22	88 63	14 46	76 21	54 71	16 92	85 56	62 41	13 53	4 98	22 64	87 11	33 49	29 13	26 23	35 5	50 57	9 67	70 33	7 50	63 22	95 6	80 63	56 46	79 27	10 81	89 32	27 42	93 59	17 94	82 57	25 19	57 95	51 11	47 89	71 89	74 17	40 62	90 42	78 92	36 19	5 66	0 54	38 58	12 81	46 97	75 75	66 83	69 66	37 91	59 32	53 35	21 50	77 36	11 39	43 23	6 94
1 90	87 98	78 38	57 63	63 73	61 12	16 45	20 41	27 42	13 68	23 92	92 9	73 34	69 33	21 17	50 40	32 98	26 26	74 20	33 18	70 22	2 70	5 35	52 50	22 45	54 75	94 44	59 12	60 14	64 1	86 51	10 2	35 81	51 3	99 66	48 14	15 40	89 96	7 38	66 44	93 4	65 24	71 89	68 1	53 27	77 80	98 95	19 35	88 7	41 26	76 28	91 32	11 77	45 66	46 63	80 74	55 83	79 21	36 79	47 86	97 31	83 34	58 2	42 17	3 65	29 72	62 3	17 29	82 97	28 40	34 6	14 81	40 22	49 94	9 37	4 98	6 55	81 22	30 46	18 40	56 29	24 22	96 46	31 45	85 21	39 40	75 95	12 46	84 7	25 95	95 19	37 45	8 66	67 21	44 8	0 46	43 15	38 90	90 40	72 6
97 21	63 50	14 30	23 93	93 59	30 39	32 96	66 89	90 63	84 46	16 83	81 56	24 26	43 34	4 32	98 77	79 10	40 56	55 89	10 87	49 21	18 75	58 60	92 12	38 39	50 5	15 49	46 28	11 82	17 52	71 28	56 90	64 89	33 11	8 72	13 4	88 57	48 76	54 9	42 86	72 47	29 73	95 79	9 76	20 96	65 92	27 72	31 77	76 86	78 64	99 43	77 76	70 17	22 57	80 94	3 22	96 79	91 94	51 3	87 56	2 15	94 54	7 85	86 83	60 64	37 39	44 95	35 88	89 11	52 98	41 53	21 96	75 73	53 85	36 99	69 50	25 13	59 66	19 49	62 88	28 41	73 81	57 59	68 13	39 43	6 82	45 73	12 24	85 62	82 2	61 41	1 57	26 89	47 93	67 18	5 56	34 75	83 80	0 16	74 37
77 83	73 96	26 56	95 68	62 16	67 31	65 83	76 49	74 36	81 99	31 78	21 53	34 28	40 30	18 49	93 81	45 82	78 81	79 80	38 38	0 97	2 14	89 33	53 36	35 9	52 3	94 32	30 19	98 76	55 14	20 75	44 54	91 75	4 5	16 56	10 27	56 92	88 51	82 15	43 38	28 5	12 67	68 21	48 12	92 13	60 9	7 82	32 48	29 88	27 23	17 60	61 38	36 17	72 22	80 50	69 17	15 86	19 40	5 10	57 3	66 61	59 30	11 72	83 1	41 9	58 8	71 19	1 79	97 67	86 24	49 76	75 48	46 19	96 98	99 50	22 77	24 97	47 64	85 96	9 80	3 55	37 38	63 58	25 4	70 17	84 75	90 18	8 33	50 90	33 97	42 28	64 61	6 37	54 88	39 54	87 9	23 50	14 12	13 89	51 87
96 4	16 65	56 99	40 50	75 75	59 51	6 50	17 84	28 79	44 25	19 24	41 30	12 3	55 58	91 75	32 77	21 47	93 56	5 13	30 5	29 32	34 82	58 98	23 54	57 80	9 89	15 46	60 15	48 96	35 73	89 33	37 51	64 92	82 76	53 3	52 34	73 88	70 37	63 88	81 13	65 16	1 73	39 94	61 34	42 1	7 23	74 34	90 89	80 13	36 82	86 74	71 92	25 51	45 72	10 79	2 51	97 46	85 74	38 79	20 55	88 64	50 17	62 22	8 2	83 97	78 61	54 52	99 76	24 56	31 90	0 64	98 99	79 24	72 76	11 20	84 43	3 32	92 33	18 89	66 12	27 33	22 17	67 38	68 30	46 5	95 94	77 88	51 50	69 34	14 15	26 77	13 21	47 15	94 42	33 80	87 22	43 43	49 24	4 78	76 10
66 95	86 8	61 55	77 3	3 1	21 15	50 23	56 36	98 73	36 57	5 79	55 74	92 32	7 29	1 87	8 91	18 31	85 18	67 83	4 23	90 24	95 50	10 40	14 47	79 14	39 46	27 13	83 88	91 68	46 67	47 99	62 76	13 82	53 30	2 56	68 54	0 17	94 64	40 12	41 22	72 64	43 54	17 49	26 68	99 14	35 21	75 64	16 26	73 50	19 40	49 44	28 14	32 75	52 67	54 87	84 79	34 20	42 54	15 91	33 2	74 79	24 81	89 62	87 64	22 2	23 42	59 72	31 56	70 30	45 15	38 23	48 52	30 77	93 17	60 10	11 81	97 60	58 48	29 42	71 79	76 57	65 34	69 53	51 17	57 56	64 60	82 28	44 11	78 38	6 35	20 90	80 56	63 36	25 19	9 78	37 48	81 49	12 29	96 73	88 89
