90	15
13 36	9 193	11 6	0 75	10 159	12 183	2 184	4 127	5 49	7 128	3 155	8 102	14 164	6 113	1 125
0 155	11 28	9 148	3 61	14 136	8 66	12 51	13 133	4 27	7 52	5 157	2 108	10 199	1 83	6 193
5 159	0 63	13 168	1 66	4 64	6 28	12 115	9 103	7 199	10 60	3 105	2 45	11 126	14 77	8 11
5 17	0 117	12 177	8 65	4 80	10 19	2 150	1 131	7 116	11 21	3 152	13 93	9 65	6 137	14 112
13 173	14 174	4 91	7 37	10 124	12 172	9 1	0 116	5 38	8 151	3 95	11 5	6 92	2 89	1 167
6 82	1 70	0 106	3 165	12 75	9 104	11 51	5 51	2 110	14 92	13 49	10 38	7 90	8 61	4 193
6 156	12 178	10 77	11 80	9 84	3 199	0 28	5 10	13 81	4 198	1 16	8 91	7 59	14 155	2 137
1 134	4 159	11 119	14 131	6 172	5 200	9 142	0 54	12 36	7 185	10 173	8 131	13 65	2 149	3 64
2 65	8 89	1 86	12 128	0 194	10 198	13 190	5 24	7 131	9 24	4 117	14 158	11 15	6 183	3 84
10 112	1 136	14 18	7 6	4 3	9 27	0 83	6 71	2 65	8 18	3 66	11 69	13 134	12 164	5 186
13 147	4 147	0 96	7 20	14 177	1 174	12 179	2 33	9 174	5 167	3 127	6 167	11 66	10 13	8 142
0 156	9 26	1 45	7 64	2 194	4 127	8 160	11 112	12 177	13 153	10 70	3 28	14 149	6 98	5 14
14 17	4 174	6 6	2 126	11 169	8 19	1 134	13 134	5 133	7 19	10 96	3 150	12 190	0 52	9 95
10 82	14 199	2 199	0 173	13 68	3 184	5 57	1 137	9 65	6 147	4 185	7 73	8 156	12 98	11 166
0 169	11 109	10 24	6 98	9 142	8 118	13 184	5 141	12 127	14 96	4 116	3 200	2 133	1 142	7 151
3 38	10 119	4 173	1 71	9 110	2 25	11 197	5 128	12 64	14 121	7 8	6 79	0 10	8 84	13 177
11 125	6 21	3 129	5 198	13 129	0 81	8 1	14 185	2 131	10 37	9 57	4 182	1 40	12 149	7 193
4 39	1 14	8 145	13 126	6 17	12 28	3 195	5 128	2 196	9 93	0 67	7 52	11 123	14 183	10 174
11 21	6 10	9 82	3 97	14 79	4 62	2 37	5 106	7 134	8 89	13 75	12 19	10 78	1 123	0 21
12 150	8 72	3 6	0 33	6 15	13 197	9 198	14 90	4 155	7 158	5 200	2 95	10 152	11 156	1 115
14 64	13 111	2 136	6 91	8 101	9 36	0 8	1 103	3 54	7 5	12 124	10 71	4 25	5 9	11 31
9 33	5 29	13 60	12 96	2 25	4 95	14 168	0 47	3 27	7 42	11 179	10 74	6 185	8 6	1 144
4 86	3 67	6 196	7 108	12 58	10 71	9 86	0 1	14 70	13 63	1 97	5 114	11 24	2 179	8 2
2 6	7 186	10 119	6 87	12 98	5 27	3 13	14 34	4 24	9 108	1 20	8 117	11 66	0 179	13 2
1 27	4 109	0 198	11 124	14 123	9 182	6 178	2 131	3 56	8 189	13 41	5 35	10 113	12 60	7 4
3 131	14 182	10 135	12 184	0 119	13 9	1 178	11 144	4 151	9 109	8 172	2 76	7 48	6 168	5 125
13 187	3 35	10 158	1 105	9 174	8 98	4 149	2 141	6 168	14 198	0 89	7 123	11 5	5 139	12 73
9 177	13 109	0 39	11 181	8 157	14 10	4 70	12 96	1 71	5 35	10 10	3 56	2 178	7 172	6 122
2 39	4 53	11 75	9 150	5 16	1 88	0 134	14 5	6 64	8 81	10 89	12 167	7 138	13 100	3 171
13 169	2 52	7 43	0 73	10 79	3 96	9 22	6 167	1 46	12 117	11 170	4 8	8 168	14 96	5 22
13 76	4 187	11 113	6 89	14 122	5 33	1 132	8 196	3 190	10 66	7 14	2 119	0 51	12 182	9 96
5 84	3 190	0 184	11 177	8 16	14 21	1 40	13 27	7 25	6 81	2 25	4 11	9 1	12 107	10 122
1 113	4 194	10 178	6 60	5 74	7 60	14 20	3 73	9 9	2 105	13 3	8 199	12 158	0 37	11 68
0 80	3 187	9 165	6 199	7 67	12 75	11 97	1 185	2 32	8 156	5 32	13 123	4 139	14 85	10 186
