60	20
11 89	14 186	10 132	13 43	7 15	17 146	15 90	16 55	1 99	5 199	9 55	3 119	12 48	0 96	19 200	8 177	18 26	6 85	2 173	4 182
19 142	14 44	10 10	4 18	5 194	0 5	18 193	16 117	7 17	12 190	15 150	6 74	2 106	1 109	8 180	17 41	3 128	13 123	9 44	11 48
4 83	5 92	11 148	16 181	12 15	10 195	19 97	9 135	7 125	13 93	17 47	8 63	1 135	2 143	15 123	18 109	3 152	6 56	14 161	0 29
2 135	1 154	13 19	9 60	5 128	11 136	4 57	8 6	12 143	7 20	3 30	18 80	14 120	0 67	17 161	16 125	19 162	6 138	15 161	10 33
8 141	0 189	9 173	18 100	16 117	2 173	3 196	6 179	15 8	12 168	10 24	5 76	7 169	19 35	1 182	17 79	4 129	14 30	11 154	13 80
1 168	19 107	7 155	4 34	0 21	13 170	2 16	9 138	14 189	16 125	10 28	12 123	5 71	3 165	18 131	17 100	6 170	15 179	11 152	8 36
19 22	4 91	14 197	12 57	1 86	9 126	13 43	7 35	6 30	11 66	10 115	17 157	16 54	18 56	8 20	15 99	5 27	3 78	2 12	0 152
3 83	19 117	4 12	5 19	11 64	12 7	0 26	14 94	16 28	1 41	6 155	9 120	17 60	8 102	18 160	7 187	13 177	2 76	10 193	15 91
8 138	4 65	1 65	9 104	12 25	5 190	19 47	11 169	6 148	13 61	10 4	16 116	3 83	14 120	17 79	0 27	7 114	2 158	15 10	18 185
8 192	0 177	16 147	15 194	7 200	9 31	2 138	11 123	1 123	6 133	10 90	14 74	5 197	18 12	13 2	17 161	3 187	4 171	12 163	19 91
9 12	13 21	3 161	14 181	12 46	19 159	7 64	1 14	6 11	0 142	2 187	15 32	10 148	18 77	17 147	4 139	5 194	8 155	16 38	11 147
6 30	16 40	10 141	3 166	12 121	18 88	13 87	11 84	15 80	5 20	0 192	1 50	9 106	7 175	4 15	2 25	14 85	8 40	19 145	17 52
8 1	17 40	16 48	9 115	3 9	2 130	11 179	13 169	7 113	6 166	19 33	1 154	5 40	15 157	0 159	4 186	14 174	10 159	12 13	18 174
6 37	2 189	16 109	13 139	4 191	8 127	0 168	15 188	11 59	12 39	14 2	5 54	7 62	9 198	18 3	1 135	3 192	19 50	17 74	10 12
19 25	7 160	10 118	14 143	3 196	17 118	1 24	9 22	8 154	15 43	16 162	18 73	13 159	5 170	2 178	6 151	0 188	12 51	11 66	4 12
14 119	12 99	15 42	11 30	0 47	5 181	13 146	18 145	7 152	9 163	19 184	1 100	8 118	16 143	10 74	6 143	4 22	17 193	3 110	2 10
10 155	7 43	5 15	6 46	19 121	3 23	11 198	4 91	13 131	18 178	0 128	8 68	17 195	12 42	14 140	15 31	1 87	2 140	9 141	16 110
9 103	17 152	14 166	19 21	13 88	5 74	8 160	15 84	18 168	12 151	6 7	10 19	7 199	2 194	0 170	16 35	1 165	3 93	4 122	11 163
18 95	1 114	11 45	10 82	19 160	4 153	6 5	12 165	3 181	9 191	8 1	7 152	13 127	0 175	2 183	14 149	5 120	16 33	17 154	15 85
0 166	14 189	15 130	18 25	6 51	9 186	2 57	17 55	3 102	5 37	7 17	8 11	4 168	1 76	12 164	19 7	10 40	11 146	16 30	13 168
9 93	4 51	2 28	0 58	16 90	1 196	3 126	13 14	17 112	5 127	10 126	18 74	19 156	15 85	14 54	7 118	12 33	6 53	11 112	8 21
