20	5
2 54	4 14	3 54	1 78	0 96
4 84	3 33	2 52	0 15	1 27
4 61	3 38	1 14	0 61	2 55
1 34	4 19	2 97	0 54	3 10
0 72	4 55	3 86	1 51	2 14
4 90	2 55	3 80	0 90	1 22
4 56	0 36	2 65	3 31	1 74
4 38	0 55	3 81	2 48	1 84
4 49	0 80	3 37	1 23	2 83
4 56	1 54	2 51	3 73	0 59
3 85	4 40	2 77	0 33	1 77
0 26	4 40	2 78	3 42	1 20
2 24	1 52	3 59	0 22	4 72
2 67	0 3	4 43	1 99	3 78
0 70	4 4	3 93	1 31	2 14
1 26	2 62	3 26	0 17	4 58
3 95	4 49	0 60	2 44	1 26
4 80	1 3	0 25	3 71	2 8
3 87	4 4	0 48	1 54	2 55
2 50	1 76	4 31	0 98	3 19
