60	10
7 33	3 41	1 15	5 33	6 75	8 46	9 3	0 36	2 46	4 79
3 15	2 22	8 97	4 52	5 62	0 20	9 34	7 27	1 95	6 37
6 3	2 45	1 46	3 94	5 22	7 32	4 13	9 40	0 29	8 43
6 50	0 62	9 15	7 86	1 12	2 41	3 96	4 94	5 82	8 37
7 62	5 86	9 55	2 29	0 53	1 63	4 79	3 68	6 84	8 53
2 79	5 10	6 42	1 58	7 98	8 54	9 66	4 13	0 12	3 56
1 75	5 10	9 64	3 63	4 93	6 18	7 9	8 71	0 63	2 6
5 77	8 63	0 47	4 31	3 14	6 1	1 97	9 40	7 85	2 95
4 78	9 64	2 52	3 53	6 22	1 37	0 5	8 76	5 94	7 99
6 63	4 36	5 85	9 87	7 91	0 47	3 12	2 38	1 62	8 78
7 78	8 25	0 58	2 41	9 53	6 4	4 16	3 18	5 25	1 45
6 15	2 4	4 76	8 5	1 13	3 93	9 47	7 64	5 1	0 74
6 80	0 70	4 56	7 13	8 4	3 25	1 51	5 10	9 97	2 85
4 90	5 77	1 47	6 73	8 49	9 31	3 73	0 35	7 22	2 31
9 69	1 89	4 63	3 85	8 1	2 33	6 47	5 20	7 88	0 60
7 13	3 45	1 45	4 50	8 56	0 47	2 78	9 9	5 86	6 4
2 12	0 52	7 34	4 33	3 55	1 21	5 65	9 25	8 15	6 58
9 86	8 83	3 62	5 38	4 85	2 31	1 87	7 42	0 42	6 5
8 27	5 27	0 59	9 84	1 43	2 43	7 55	6 67	3 98	4 6
7 72	8 2	0 40	3 9	2 4	1 96	9 88	4 14	6 28	5 59
7 82	0 2	8 12	1 74	6 32	5 36	2 81	4 19	9 61	3 90
0 65	7 96	2 88	5 83	8 24	9 80	1 79	6 41	3 85	4 13
1 34	6 55	2 43	9 10	7 22	4 34	5 94	8 34	0 13	3 29
6 25	9 96	3 99	2 70	8 16	5 13	1 77	7 57	0 6	4 86
3 85	1 29	7 50	6 47	2 3	0 80	5 72	9 64	8 75	4 78
8 98	5 17	3 69	1 14	9 91	2 96	4 32	0 42	6 70	7 67
9 72	6 2	7 94	8 11	5 36	0 84	2 56	4 12	1 60	3 50
2 31	8 80	5 9	7 3	0 96	3 53	9 97	1 52	6 95	4 17
9 49	0 3	1 80	3 89	6 85	4 45	5 98	2 10	8 18	7 63
5 82	2 5	3 49	4 92	1 81	6 33	7 34	8 4	9 31	0 93
9 74	4 42	0 33	2 86	8 91	1 64	7 51	6 85	3 91	5 3
8 44	7 1	9 7	4 68	0 84	1 91	5 55	3 83	6 20	2 33
2 46	7 4	8 80	9 72	6 57	5 37	0 28	3 48	1 22	4 9
5 32	4 98	7 40	3 17	2 38	9 86	8 9	6 7	1 36	0 38
3 23	1 74	9 61	7 41	2 58	0 22	8 71	4 56	5 64	6 6
9 11	1 49	4 46	2 93	6 38	8 79	7 37	5 84	3 22	0 45
9 97	0 84	1 85	6 53	2 25	5 89	7 89	8 97	4 26	3 58
4 35	5 51	1 70	3 32	7 30	0 62	2 21	9 63	8 7	6 6
9 53	0 36	7 78	8 19	2 68	3 13	1 48	6 59	4 58	5 95
0 73	5 45	2 95	4 13	1 62	9 75	3 14	6 8	8 30	7 89
0 66	8 88	4 67	9 82	1 72	3 66	7 8	6 36	2 58	5 98
2 47	8 8	7 96	5 37	3 77	9 30	1 20	4 58	0 22	6 19
1 59	9 76	6 96	5 61	7 1	3 88	4 17	8 61	0 15	2 27
2 30	1 89	4 10	5 65	0 69	9 55	8 50	3 56	7 82	6 91
2 78	4 40	0 30	1 45	5 29	6 23	9 37	8 73	3 23	7 71
0 5	1 1	7 27	5 43	4 84	2 28	6 51	8 32	9 37	3 74
3 62	7 98	2 73	1 65	0 2	8 89	5 9	4 4	6 80	9 57
8 77	4 53	1 61	6 92	0 83	9 53	7 61	3 97	2 90	5 25
1 50	6 47	3 5	0 68	2 55	8 96	4 11	9 59	7 2	5 65
3 20	5 13	9 57	7 53	4 10	2 32	1 33	0 35	8 93	6 16
7 81	0 75	8 67	1 18	9 95	2 74	4 43	6 19	5 42	3 25
8 93	7 2	6 61	3 42	1 90	5 6	0 34	2 47	9 1	4 92
0 49	3 93	6 69	2 97	4 32	5 3	1 32	9 14	8 86	7 73
8 5	3 38	9 92	6 8	0 80	2 65	5 51	1 33	4 45	7 96
5 97	9 14	0 61	4 78	8 61	1 39	7 55	6 26	3 45	2 78
8 55	0 91	2 21	7 27	5 20	3 52	6 16	1 54	4 11	9 55
7 71	6 71	0 39	9 54	4 87	1 52	5 33	2 73	8 35	3 95
1 17	9 23	5 82	4 81	7 36	8 72	3 36	6 66	2 87	0 8
8 57	7 19	4 20	0 7	6 8	2 84	5 92	9 38	3 84	1 83
6 40	0 9	1 6	2 21	5 92	9 19	4 17	7 39	8 41	3 29
