60	10
9 49	5 46	2 54	1 47	3 62	4 48	6 51	7 46	0 48	8 47
4 56	1 58	3 43	8 52	9 54	0 48	7 45	5 58	6 56	2 48
1 47	7 50	2 48	8 52	6 50	9 49	3 43	0 51	5 47	4 51
8 42	1 45	3 56	4 42	2 48	5 56	0 50	6 53	7 38	9 54
1 59	7 50	3 53	6 45	4 51	5 49	8 55	0 58	2 47	9 47
9 45	6 47	0 47	8 37	7 49	2 43	3 46	5 53	1 55	4 49
5 54	0 46	4 52	1 54	3 49	7 49	9 43	8 51	6 51	2 46
4 53	3 52	0 51	2 50	5 46	1 50	6 48	9 47	7 54	8 48
3 41	5 45	2 52	4 47	8 44	6 56	7 41	0 55	1 52	9 52
7 45	9 51	3 63	6 52	4 49	8 46	1 55	0 42	5 51	2 51
5 48	0 47	3 52	9 48	6 45	2 48	7 53	4 50	1 49	8 51
8 48	7 55	9 47	0 53	4 49	1 48	5 45	6 53	2 44	3 46
2 56	1 49	3 53	0 47	6 48	4 53	9 52	8 51	7 46	5 52
6 53	2 51	7 58	3 53	1 44	9 52	8 54	4 53	5 48	0 52
1 53	6 47	7 57	0 48	4 50	2 52	9 44	3 55	5 57	8 60
5 47	3 46	9 48	7 51	2 50	4 47	1 56	0 49	6 54	8 45
7 37	3 50	9 50	6 52	5 49	4 47	0 55	1 47	8 58	2 48
7 52	6 56	9 45	0 53	5 49	3 47	8 44	4 47	2 53	1 53
7 54	0 60	8 55	2 49	3 53	6 45	9 51	4 43	1 56	5 50
1 45	3 52	4 52	0 48	8 49	2 51	6 45	9 47	7 48	5 54
9 57	4 51	6 51	2 43	8 50	0 58	3 61	7 45	5 50	1 47
8 55	3 51	9 48	0 52	5 50	2 47	4 50	6 53	1 54	7 51
7 47	0 55	6 45	2 53	8 45	5 57	9 57	1 42	4 49	3 48
8 56	5 48	2 61	0 52	1 48	9 41	7 46	4 45	3 49	6 48
4 48	9 46	1 52	3 55	6 49	0 52	2 48	7 48	5 58	8 52
0 50	1 48	5 50	7 44	4 48	9 52	2 43	8 52	6 57	3 48
3 54	9 50	6 47	4 52	2 55	5 39	7 53	1 45	8 48	0 43
2 50	7 55	1 47	4 55	6 48	0 44	3 56	8 53	5 47	9 57
9 44	3 51	2 48	8 48	1 53	7 51	0 41	4 49	5 56	6 47
2 48	9 51	8 46	3 53	4 51	5 47	1 45	0 48	6 50	7 46
4 49	5 51	9 49	8 49	0 51	3 47	7 45	6 54	1 55	2 51
0 50	4 54	2 47	3 43	8 59	6 56	1 49	9 51	7 55	5 47
6 56	2 51	8 49	4 56	3 54	1 59	5 49	0 46	9 46	7 46
2 53	8 45	6 46	9 48	3 49	5 49	4 43	1 58	0 43	7 51
8 48	1 44	7 49	3 52	4 54	9 50	0 46	5 49	6 57	2 47
6 44	9 53	3 59	4 47	8 57	7 51	2 45	1 52	0 49	5 52
1 52	6 55	9 51	8 48	2 53	7 45	3 43	4 42	0 41	5 57
0 51	3 52	8 53	6 56	9 53	1 48	7 49	5 52	2 42	4 52
7 51	3 52	9 54	5 48	1 48	2 47	6 47	8 53	0 55	4 49
5 45	4 41	8 57	0 55	1 44	9 51	6 55	3 51	7 46	2 50
6 45	8 48	5 60	2 47	3 52	0 48	9 53	7 53	4 45	1 47
6 60	0 52	2 52	7 54	9 45	5 53	3 49	8 54	1 50	4 50
3 46	4 50	9 54	5 48	1 60	2 59	6 52	8 41	7 49	0 58
6 42	3 55	4 53	5 48	0 53	7 47	1 44	2 48	9 50	8 54
5 51	6 52	2 51	8 53	7 50	0 58	4 55	9 52	3 57	1 50
1 54	6 47	0 44	2 48	7 49	3 46	8 56	5 49	4 53	9 52
6 44	7 54	5 53	0 47	1 49	4 53	2 56	3 46	8 51	9 47
7 48	3 54	2 43	8 49	6 46	9 51	1 45	0 53	4 46	5 45
3 53	6 48	1 54	0 56	9 59	5 49	2 48	7 39	4 54	8 49
1 54	9 55	2 50	6 50	3 38	0 46	4 49	8 51	5 55	7 51
7 52	4 54	5 53	2 42	3 48	9 50	8 52	1 49	0 50	6 54
4 49	6 53	5 52	8 55	2 52	3 62	1 44	0 47	7 58	9 48
7 49	5 50	6 48	1 54	4 49	0 63	2 42	8 44	9 57	3 46
0 49	7 52	6 52	9 51	4 52	8 45	1 48	2 52	5 55	3 45
1 46	9 48	8 42	4 55	5 42	2 50	6 42	3 44	0 51	7 52
3 53	9 51	2 53	7 53	1 49	0 45	8 46	5 56	4 44	6 58
5 48	1 53	2 43	7 54	4 45	9 44	0 50	6 48	8 46	3 55
4 45	2 54	3 40	9 56	0 56	6 56	1 45	7 50	8 50	5 46
0 53	5 47	6 56	3 50	2 48	4 50	7 49	9 40	8 53	1 46
7 50	3 53	4 49	0 59	2 54	1 44	9 57	8 52	6 45	5 46
