70	5
2 124	1 132	4 57	3 34	0 52
1 161	3 39	2 17	0 143	4 65
1 132	4 107	2 65	0 84	3 59
2 64	4 172	1 110	0 96	3 33
0 81	4 89	1 61	2 44	3 199
3 196	4 8	0 35	1 128	2 37
1 95	0 173	4 143	3 29	2 81
0 14	4 117	3 195	2 199	1 42
1 113	4 195	0 61	2 4	3 92
3 138	0 148	2 19	1 67	4 133
3 78	4 145	0 55	2 163	1 159
4 58	0 90	1 84	2 165	3 72
4 92	3 13	2 187	0 128	1 166
4 179	0 60	1 42	2 90	3 132
0 200	4 83	1 193	2 107	3 104
4 140	0 143	1 126	2 132	3 96
1 200	4 136	2 191	0 195	3 65
2 60	4 114	3 61	1 172	0 164
2 25	1 190	0 91	4 95	3 28
3 80	1 150	4 108	0 27	2 109
3 55	0 49	2 161	1 23	4 39
1 184	2 192	4 121	3 73	0 111
0 64	2 3	3 48	1 52	4 78
1 61	2 69	4 167	0 116	3 132
2 6	1 147	0 102	3 39	4 41
3 50	1 53	4 111	0 56	2 12
1 165	0 54	2 34	3 115	4 115
0 195	2 10	3 46	4 193	1 26
0 2	2 177	3 115	1 72	4 99
2 120	1 185	3 94	4 87	0 42
1 102	0 103	4 28	2 51	3 127
2 120	0 185	1 187	4 138	3 107
0 154	3 185	1 167	2 104	4 199
0 84	4 81	3 15	1 59	2 98
3 60	0 57	4 188	1 186	2 35
2 30	1 34	0 138	3 36	4 34
0 111	4 168	1 133	3 30	2 193
3 177	4 182	1 18	2 9	0 143
2 95	0 148	3 143	4 51	1 23
4 80	0 195	1 18	2 55	3 48
0 91	2 109	1 79	4 91	3 181
0 176	2 176	3 36	1 2	4 1
1 12	3 82	4 181	0 82	2 111
4 3	1 107	3 173	0 108	2 16
3 172	4 35	2 72	0 154	1 105
4 108	3 193	0 4	1 119	2 112
2 69	0 200	3 96	4 20	1 130
1 115	4 192	0 55	2 87	3 138
2 112	3 25	0 6	1 88	4 39
4 186	1 70	0 184	3 81	2 132
0 21	4 149	2 138	1 131	3 61
1 179	0 123	4 36	2 47	3 189
3 129	4 85	2 64	1 172	0 86
3 190	4 137	0 127	1 34	2 110
4 23	0 20	3 74	2 16	1 155
1 197	0 85	3 170	4 157	2 53
4 200	2 92	1 158	0 114	3 19
1 15	4 110	3 11	2 65	0 17
1 85	0 43	4 142	2 153	3 189
4 65	3 62	2 24	1 142	0 165
4 37	2 156	0 16	1 113	3 53
2 62	4 4	3 181	1 15	0 27
0 66	2 97	4 181	3 194	1 198
3 93	0 113	4 197	1 152	2 105
1 150	0 175	3 182	4 21	2 178
4 73	0 41	3 196	2 107	1 126
1 29	0 102	4 103	3 172	2 111
2 96	4 172	3 21	0 31	1 5
0 69	3 77	4 185	2 78	1 182
2 86	3 69	1 125	0 51	4 187
