15	70
5 58	65 57	1 57	11 62	38 52	61 45	30 45	43 48	10 47	7 56	19 46	16 54	8 49	67 42	25 44	35 54	50 50	55 60	63 52	59 47	62 47	32 58	27 45	13 46	36 52	40 49	18 48	3 51	56 46	37 51	47 53	28 47	6 54	20 46	14 53	52 51	48 51	66 53	39 53	17 49	24 45	64 58	69 42	46 56	26 56	4 54	21 45	12 48	54 46	33 46	53 46	0 48	31 56	15 54	29 54	34 56	49 56	51 49	23 53	2 52	9 45	44 54	57 42	68 43	60 56	45 58	41 47	58 49	42 49	22 54
26 50	67 51	54 44	52 52	9 47	16 59	22 54	68 51	25 47	6 48	53 56	3 51	33 58	40 51	4 38	59 50	21 48	37 46	5 45	58 49	51 43	11 49	43 51	19 60	49 50	69 47	0 47	14 48	38 50	2 50	63 45	57 53	34 46	17 49	50 49	35 43	62 50	56 55	39 51	47 46	41 50	24 43	27 49	66 47	31 44	15 55	55 57	45 45	65 43	29 42	12 44	18 47	13 50	44 55	30 56	32 49	7 44	1 50	10 45	60 49	36 49	23 43	8 57	20 45	28 57	42 45	48 55	61 46	46 47	64 57
49 44	47 53	52 49	13 54	35 47	6 58	29 44	21 52	24 48	36 46	1 53	58 48	57 51	54 54	28 46	40 51	5 53	16 62	22 49	25 43	56 57	17 44	26 44	20 49	53 51	33 45	19 58	39 41	9 47	51 44	0 45	60 50	38 45	69 51	45 52	44 51	50 52	12 48	14 42	68 47	7 48	10 48	66 49	34 51	37 51	67 48	23 55	30 65	55 48	27 48	18 52	11 53	32 49	3 54	4 50	46 48	62 51	61 51	2 55	43 50	8 44	42 53	15 60	63 52	65 50	48 49	41 55	31 46	64 48	59 55
37 56	49 53	46 49	1 53	6 57	55 56	26 49	4 48	39 45	24 47	41 55	33 54	22 47	29 51	44 45	42 47	61 50	27 43	52 56	21 63	58 51	40 57	63 47	30 48	17 52	20 56	8 44	66 47	15 41	51 50	25 57	38 51	50 50	2 52	65 54	18 50	53 52	36 54	32 44	23 50	57 53	34 51	7 54	13 51	69 42	47 55	60 44	67 51	59 49	16 56	14 45	62 44	3 51	48 44	0 52	10 39	68 57	19 56	31 51	35 56	43 45	12 53	64 50	28 48	45 54	5 44	56 48	11 49	54 54	9 60
30 50	0 53	3 52	63 46	61 52	4 50	57 52	18 46	36 46	64 52	11 50	59 43	20 52	13 50	26 53	56 52	23 51	17 51	10 50	1 49	31 51	12 51	46 46	21 55	62 56	39 57	28 47	19 48	5 53	22 48	53 51	6 51	14 41	54 47	66 47	9 52	55 31	16 60	68 52	8 46	25 50	51 55	7 55	34 49	58 42	50 41	35 51	49 47	24 40	41 48	27 56	52 47	48 46	29 46	38 46	42 50	69 51	32 64	44 48	40 56	65 54	45 54	33 66	15 55	67 56	2 55	37 47	60 48	47 56	43 47
7 45	19 45	24 52	40 52	47 57	66 53	59 56	32 50	5 55	21 59	30 50	6 56	52 49	58 54	61 59	44 46	50 47	13 49	1 51	31 65	43 56	15 47	23 48	35 48	28 57	41 46	46 49	26 60	33 49	9 47	57 46	16 44	4 52	12 55	17 42	36 47	34 54	65 52	18 52	45 50	20 54	22 52	10 53	29 55	64 46	42 58	51 41	11 54	62 45	49 49	60 52	55 49	8 52	14 47	68 48	25 51	63 48	2 49	37 46	3 42	27 57	54 54	48 53	38 45	0 50	53 53	39 43	67 47	69 56	56 45
3 49	8 51	65 55	62 51	54 50	39 49	36 42	28 53	59 44	11 54	1 41	58 55	61 49	67 53	45 49	37 55	4 47	51 44	42 61	50 47	64 59	26 57	47 42	6 56	35 49	21 57	44 48	38 53	34 40	20 43	14 47	49 48	15 46	16 49	60 50	43 53	25 52	18 52	22 55	41 51	66 44	48 50	17 39	55 47	56 44	68 51	13 51	29 48	9 54	12 56	0 41	32 46	40 42	53 50	23 53	10 43	24 54	19 56	33 49	52 58	27 47	30 50	63 45	57 52	7 43	46 57	2 53	69 48	31 54	5 53
39 51	22 50	6 57	69 52	58 43	13 55	48 52	57 51	1 44	21 53	10 51	34 48	23 42	11 49	2 44	51 44	19 55	9 52	38 44	28 43	30 54	61 45	44 58	37 45	49 48	50 50	17 52	46 47	8 47	53 45	7 50	43 57	68 44	29 55	26 51	52 55	59 47	15 54	42 50	5 51	64 45	31 49	25 40	0 52	56 47	27 48	32 47	60 60	33 47	66 55	63 49	62 44	67 54	65 60	18 44	16 46	54 55	40 44	41 46	24 54	36 49	55 49	14 52	4 47	35 50	47 46	3 52	45 53	12 53	20 49
54 49	23 52	25 54	46 48	12 39	32 50	16 55	48 53	58 57	5 58	17 46	44 50	8 41	19 53	67 52	4 46	3 50	65 55	21 50	56 55	36 44	60 49	69 53	37 48	1 53	14 47	66 55	0 56	57 52	33 49	41 48	7 52	38 52	55 48	27 44	34 47	28 59	43 47	52 42	61 52	11 59	51 57	13 54	20 51	35 49	6 47	2 44	64 52	15 46	22 53	50 50	39 57	31 50	30 46	47 54	59 54	63 46	45 49	62 52	42 50	9 44	10 50	53 57	49 45	26 57	24 53	40 40	29 54	18 50	68 54
69 45	46 53	53 50	50 43	29 52	21 60	54 58	11 52	10 50	26 52	65 54	12 40	22 54	9 55	67 41	36 45	18 43	62 52	14 47	15 46	2 62	24 45	39 43	40 53	1 52	35 48	4 51	7 48	48 54	5 48	8 47	63 51	31 52	27 57	32 39	3 55	37 52	30 56	68 51	42 46	28 44	6 55	49 59	33 44	64 51	61 48	17 43	19 54	13 47	57 45	43 52	66 56	58 49	51 48	59 43	41 49	56 47	16 51	52 48	23 57	55 52	45 53	20 45	47 44	25 45	34 52	38 59	0 48	44 56	60 57
56 50	0 57	6 56	15 44	5 48	22 54	21 55	4 54	23 55	26 51	52 43	53 49	45 49	49 48	3 53	63 45	39 48	25 42	48 42	17 55	64 41	2 52	69 56	28 50	1 46	40 52	61 45	24 42	14 49	68 52	54 56	9 47	27 45	65 59	67 49	20 55	16 48	57 52	12 50	59 50	50 56	66 56	60 50	43 55	42 54	11 53	47 47	55 46	36 57	8 41	30 53	46 53	51 45	29 52	41 42	34 39	35 59	33 53	37 56	58 57	31 45	38 61	7 60	13 44	44 53	62 58	18 52	19 42	10 48	32 45
6 45	64 54	8 46	12 51	7 51	25 51	63 53	37 52	38 45	55 54	2 40	18 44	22 56	27 56	68 44	33 64	43 49	13 53	47 55	65 47	20 46	32 53	3 52	51 42	19 54	58 50	9 44	5 43	54 50	30 43	28 45	57 43	69 53	14 56	23 50	15 53	52 46	17 44	21 41	36 54	40 38	44 48	35 44	60 54	1 49	10 51	29 49	61 50	26 53	49 45	39 49	42 48	62 50	41 51	0 54	4 45	16 57	50 46	53 47	56 50	46 50	48 57	59 49	24 46	31 48	66 56	11 50	67 46	45 57	34 47
7 40	64 46	66 57	5 64	24 49	21 57	1 49	2 58	61 49	6 60	44 52	25 49	51 55	34 46	3 43	32 46	43 57	36 54	49 57	27 52	38 50	56 43	40 47	54 51	67 43	42 49	45 52	19 51	35 38	17 51	48 50	11 47	69 60	14 58	16 57	18 59	22 53	20 54	60 48	8 53	47 48	12 37	63 50	26 46	30 57	41 54	65 49	28 41	31 52	4 54	58 50	52 54	15 53	68 46	62 53	50 47	13 54	37 56	10 43	57 47	59 42	53 47	0 48	46 43	39 43	23 53	55 55	9 60	29 59	33 47
20 51	56 49	45 54	44 46	31 52	51 46	14 47	25 46	2 44	5 53	29 49	19 45	21 41	60 52	59 47	17 46	49 50	13 48	48 42	0 53	32 47	43 47	67 51	37 49	65 48	62 44	35 51	3 48	47 45	40 49	50 55	69 45	38 51	53 56	52 56	18 59	23 59	8 59	55 46	63 55	41 53	12 53	10 55	26 44	64 49	9 53	28 61	6 57	66 51	16 51	34 50	7 54	33 55	58 49	30 47	36 50	39 39	57 44	15 48	1 54	27 47	46 56	22 50	61 43	54 52	11 55	24 52	68 50	42 53	4 41
