20	10
9 54	0 55	2 48	4 48	8 43	1 50	5 45	6 49	7 59	3 61
0 53	1 47	9 50	8 52	2 55	6 51	7 56	5 52	4 44	3 52
6 52	2 51	4 54	1 50	3 49	9 45	7 45	5 48	8 50	0 47
2 53	6 55	7 54	3 46	0 55	9 59	1 55	5 55	4 47	8 53
1 52	4 55	9 46	2 59	0 53	8 60	3 49	5 51	7 45	6 50
3 51	2 42	9 40	6 51	7 68	5 41	8 53	1 52	0 54	4 54
5 50	3 47	4 54	6 43	1 46	8 46	9 50	0 47	7 43	2 45
1 54	7 53	2 45	9 47	8 44	4 44	0 46	5 53	3 44	6 57
4 49	9 53	7 48	8 40	6 46	0 52	2 42	5 60	3 50	1 55
4 46	7 55	3 50	0 49	6 51	9 46	2 41	8 51	5 41	1 55
7 47	2 51	3 55	4 52	6 41	1 53	0 51	9 52	5 62	8 40
9 51	0 50	6 48	8 57	5 56	4 53	3 54	7 56	1 54	2 46
3 52	5 53	7 50	9 57	4 52	0 51	8 43	6 52	1 46	2 48
2 51	0 51	1 48	8 49	6 51	7 48	4 50	9 54	5 48	3 52
1 46	9 45	2 50	8 56	4 53	7 45	0 47	5 51	6 51	3 47
0 41	1 41	9 53	5 45	3 48	6 47	8 42	7 52	4 44	2 49
0 46	5 43	1 46	3 53	9 51	8 44	7 65	4 47	6 45	2 44
8 45	1 48	0 44	5 55	9 49	3 59	4 49	6 48	2 50	7 47
2 52	9 48	6 56	0 40	5 51	4 60	3 58	7 55	1 53	8 44
8 45	3 52	7 39	0 48	6 48	9 51	1 49	5 49	4 50	2 59
