30	5
3 171	4 42	2 13	1 155	0 57
4 134	3 199	0 31	1 128	2 23
0 191	3 111	1 7	4 148	2 72
3 43	0 98	4 23	2 176	1 109
0 31	1 4	3 8	4 162	2 192
1 51	4 30	0 120	2 74	3 181
2 167	0 156	3 168	4 26	1 33
2 82	1 183	4 97	3 57	0 47
1 186	3 63	4 24	0 159	2 51
0 184	1 196	4 109	3 50	2 26
2 40	3 176	0 153	1 95	4 118
4 196	0 39	3 66	1 190	2 51
1 82	2 69	3 92	0 19	4 128
2 108	0 44	1 84	4 171	3 68
1 8	4 2	0 37	2 139	3 3
0 122	4 108	3 128	1 88	2 176
3 13	2 65	1 22	4 110	0 168
1 188	3 122	4 66	2 36	0 103
2 160	3 54	0 33	4 123	1 25
3 5	0 72	1 13	2 200	4 148
1 180	2 188	3 167	4 27	0 3
2 62	0 9	3 36	1 184	4 157
0 171	4 175	3 76	1 89	2 105
3 14	0 153	1 77	4 26	2 54
2 76	4 98	1 169	0 111	3 199
1 44	3 195	0 72	4 131	2 13
0 159	4 119	2 196	3 79	1 13
0 117	4 193	3 29	2 182	1 43
2 193	3 173	1 146	0 197	4 88
4 65	3 51	2 200	0 40	1 157
