20	100
26 47	35 53	28 52	17 47	89 48	94 48	34 50	15 56	43 44	56 47	82 54	48 45	30 57	93 57	80 46	78 51	61 58	53 49	84 46	90 47	8 47	62 51	16 55	31 45	63 50	91 50	92 50	51 48	39 51	66 58	36 57	88 53	50 55	19 48	13 54	2 40	65 49	27 49	74 49	21 52	69 50	96 50	99 53	24 53	60 61	23 39	71 51	68 52	33 49	77 60	14 48	81 51	97 54	42 41	79 44	57 52	6 46	44 40	5 50	52 41	64 48	10 50	29 46	46 48	47 52	3 56	83 44	37 62	45 52	98 58	70 52	32 54	9 52	58 44	11 55	54 51	95 48	7 49	20 43	41 45	0 57	22 49	25 51	1 56	18 52	40 52	72 56	87 50	59 53	4 48	38 50	67 51	76 41	49 48	73 43	12 39	55 51	85 51	86 46	75 54
14 38	39 54	1 44	23 61	13 47	57 52	71 50	80 49	90 57	77 41	4 50	68 61	69 46	25 59	99 40	75 50	9 50	86 46	44 45	82 46	43 43	87 46	61 43	93 50	10 57	20 45	33 51	40 44	56 48	98 50	52 52	29 49	45 48	21 50	41 51	55 54	6 53	70 49	51 43	97 43	5 54	79 43	91 55	50 58	17 42	34 54	72 44	67 51	49 50	83 46	63 43	18 42	54 47	46 41	28 51	0 54	60 45	32 55	74 37	16 54	7 50	92 53	36 50	2 46	81 49	8 55	12 50	30 44	38 51	89 57	78 56	94 40	65 47	62 51	35 47	64 51	84 52	95 42	53 50	31 59	58 61	96 49	22 48	27 47	26 47	88 52	48 45	47 47	59 52	66 43	42 45	85 55	11 57	3 46	19 59	24 41	76 48	73 47	37 48	15 50
99 37	52 41	18 53	68 45	86 50	84 47	67 62	7 54	20 57	30 58	0 49	66 53	88 54	47 44	72 50	37 51	83 38	40 45	51 58	77 52	10 52	55 52	43 49	76 53	82 52	75 43	23 44	60 52	36 44	65 47	4 46	29 45	8 48	93 43	6 44	98 59	63 50	92 54	96 52	80 55	24 47	78 55	5 47	74 50	15 47	1 59	62 43	11 57	91 53	70 58	45 55	97 45	57 49	61 51	69 46	9 47	3 53	31 54	2 47	39 58	79 46	17 40	87 46	41 43	95 53	53 47	34 50	94 51	90 43	64 51	44 49	48 54	28 50	59 43	38 38	22 57	27 49	81 52	25 56	32 44	85 52	73 44	21 49	33 57	46 54	12 48	49 49	35 50	42 55	56 55	19 50	14 51	13 54	89 46	58 46	16 48	26 51	71 56	54 42	50 47
44 51	53 54	90 40	95 52	57 46	17 55	54 48	62 52	67 48	37 50	3 53	71 55	0 48	23 56	91 47	97 47	27 57	36 46	73 47	9 55	21 48	72 53	16 49	50 53	25 58	45 57	98 49	18 47	49 50	12 44	14 45	59 45	5 48	33 50	6 62	93 49	2 54	10 51	35 42	40 39	78 50	99 46	75 53	94 49	56 51	29 50	92 41	30 49	76 43	87 40	60 42	20 59	47 45	34 47	32 50	38 56	48 48	64 39	13 53	85 48	58 52	74 49	84 47	70 50	31 47	51 48	42 55	79 53	26 56	1 53	8 49	46 54	89 47	82 51	66 48	96 58	52 46	86 41	15 62	81 40	24 55	4 53	68 56	80 45	61 54	7 56	22 55	77 58	65 56	43 42	41 52	28 52	83 47	88 45	39 62	19 60	69 59	11 50	55 53	63 60
23 56	61 54	86 46	62 48	50 55	68 54	2 50	98 52	49 51	83 53	56 56	63 55	13 49	1 54	5 43	80 46	36 50	91 54	89 59	4 50	99 57	32 53	12 53	59 53	18 49	84 52	6 52	25 55	58 50	22 50	87 51	94 54	34 52	69 47	65 43	46 40	17 56	60 45	27 52	37 52	82 52	67 64	14 57	47 47	81 52	10 53	20 43	41 54	73 56	44 48	52 40	48 48	55 55	77 48	21 57	30 41	31 41	72 54	92 51	85 50	15 48	78 57	54 45	24 46	0 44	35 48	95 51	26 49	16 47	53 49	97 54	64 47	45 46	66 49	43 48	79 57	74 52	51 56	9 55	93 53	33 54	7 49	70 48	11 42	42 55	40 49	71 55	76 59	90 57	88 51	75 49	3 42	96 49	19 47	28 55	38 44	39 53	8 58	29 48	57 58
34 48	44 47	65 51	13 52	17 48	60 54	95 52	29 56	7 57	35 48	54 46	33 43	5 49	6 58	98 48	81 47	12 54	40 58	66 45	37 42	58 51	70 46	64 50	96 57	3 51	38 44	46 51	52 51	79 47	84 49	78 46	62 47	90 52	32 45	74 53	31 56	71 51	21 49	4 43	77 55	36 52	92 48	45 45	61 47	86 51	85 50	50 51	15 45	22 47	63 54	72 53	69 57	76 47	47 47	43 51	11 51	80 43	2 52	23 57	28 53	0 53	41 46	48 56	19 50	14 56	68 44	59 48	8 43	57 46	83 48	20 49	39 47	49 48	97 48	10 49	93 44	9 49	82 54	24 53	88 52	94 50	53 57	42 55	30 52	87 48	91 50	16 54	25 52	55 45	75 51	89 47	18 49	51 56	67 51	26 57	1 48	56 58	99 48	27 43	73 52
97 53	27 57	20 56	17 50	53 38	19 45	61 45	11 50	65 43	50 51	70 43	69 52	80 55	6 53	8 44	37 50	95 40	74 55	18 43	33 53	4 44	60 52	75 44	62 51	77 50	49 47	55 45	66 51	64 41	59 49	86 53	57 55	96 46	78 51	32 58	2 50	76 52	23 47	41 40	93 45	92 56	40 47	13 61	58 48	39 54	51 41	82 54	67 55	81 43	45 56	30 49	5 50	22 46	79 47	31 39	25 45	73 48	10 60	85 46	9 45	28 55	24 50	14 45	48 52	84 61	94 55	87 51	90 51	35 55	3 48	98 56	56 53	34 56	46 49	43 47	63 55	91 53	26 54	89 48	72 55	68 38	71 50	54 57	7 42	16 48	38 48	0 40	36 52	88 48	44 53	15 53	21 54	12 52	99 56	47 55	29 52	83 49	1 50	42 50	52 47
60 59	2 46	70 47	72 52	35 53	81 50	84 43	47 64	99 51	9 55	23 54	77 49	68 53	95 45	21 52	10 54	89 47	73 49	59 45	38 45	78 58	83 44	27 50	85 42	12 60	19 59	15 50	51 42	56 48	14 50	40 49	80 41	63 48	61 52	32 53	4 51	29 51	53 52	92 57	16 53	76 46	18 50	34 59	17 55	55 45	86 51	41 54	93 48	25 53	49 55	54 49	88 53	75 51	30 56	62 55	22 46	87 46	65 52	45 47	26 55	94 43	3 50	5 58	91 47	11 46	97 50	44 50	0 51	67 47	48 52	37 49	31 39	8 63	74 52	79 55	71 57	13 49	64 52	1 46	58 50	96 58	43 54	98 54	46 49	28 44	69 70	90 43	82 47	50 54	24 42	39 48	6 53	20 55	36 51	52 53	7 57	66 55	42 50	57 43	33 52
69 53	44 46	65 59	72 43	78 55	45 48	29 49	31 47	88 51	9 45	37 58	50 48	83 57	20 45	80 59	43 50	76 53	53 56	38 33	33 51	55 48	22 51	8 50	79 54	39 44	13 49	66 61	70 55	12 49	19 56	52 61	61 51	4 50	26 46	2 53	51 39	71 39	62 54	95 45	85 43	54 56	21 50	92 48	30 47	24 52	16 52	47 48	73 53	96 50	34 46	41 49	77 55	14 52	48 48	10 53	28 58	93 52	18 50	3 46	40 55	75 56	59 50	5 48	56 54	99 50	32 46	11 55	57 52	35 43	0 53	46 45	6 46	68 48	97 55	94 49	1 51	84 44	42 60	17 47	74 52	27 53	82 50	15 53	89 45	86 53	98 49	60 54	64 53	7 55	58 51	63 45	49 52	25 57	23 42	87 46	67 52	81 48	90 51	91 54	36 51
82 50	93 52	78 56	92 56	21 46	9 48	34 55	20 50	99 45	7 51	10 50	71 50	11 53	37 41	69 54	8 49	89 38	73 41	19 57	28 54	60 47	4 52	59 53	67 43	50 47	94 40	0 48	16 52	36 51	1 46	61 57	33 49	46 47	63 51	57 54	26 45	12 50	81 56	38 42	75 53	97 52	44 53	17 48	62 48	96 47	13 46	77 57	64 52	31 53	35 54	68 49	29 64	49 56	79 52	48 49	95 53	76 44	45 50	98 56	14 47	54 44	40 44	58 57	70 48	66 48	86 52	55 44	74 51	52 55	56 55	3 53	22 48	27 49	80 54	15 50	5 49	90 55	23 51	47 48	51 57	72 46	53 49	24 55	87 58	39 51	42 43	6 54	2 46	41 45	84 48	43 52	25 60	85 56	30 58	88 47	32 53	83 48	18 57	65 51	91 55
5 45	29 56	4 46	28 57	8 55	70 47	80 53	13 53	6 46	21 47	27 58	35 52	73 52	1 51	82 56	39 57	7 47	84 53	79 43	47 55	11 56	71 44	50 54	54 49	25 42	46 50	61 56	9 49	32 48	40 54	67 49	24 46	23 58	45 40	58 56	14 58	90 51	63 47	97 37	60 51	83 47	33 49	87 48	17 51	57 57	69 49	49 46	56 60	59 39	96 52	68 40	77 56	53 43	99 46	62 47	85 50	30 45	81 46	34 48	95 54	38 50	65 47	89 60	64 52	37 51	16 48	78 49	42 43	44 48	66 58	55 47	18 44	19 47	20 40	15 45	91 51	10 52	74 52	31 50	48 56	92 58	51 58	36 47	76 56	93 55	86 51	94 42	12 52	43 49	26 53	88 53	75 46	0 53	72 39	52 47	98 53	22 45	2 60	3 52	41 50
