40	15
6 1	7 25	14 53	8 95	2 91	5 7	0 31	12 34	10 22	4 54	11 65	3 54	13 43	9 6	1 10
7 94	6 11	9 2	3 91	12 3	1 91	13 72	10 13	11 49	5 70	0 71	14 53	2 10	8 45	4 89
4 80	13 22	9 71	12 83	3 77	2 8	6 60	14 86	11 40	10 25	1 22	7 96	8 44	5 68	0 99
13 82	6 78	2 60	4 76	7 63	3 29	1 90	11 53	0 93	10 92	8 69	5 84	9 46	14 45	12 65
3 33	13 77	8 6	14 75	10 12	7 46	1 88	4 97	0 87	12 55	2 3	5 46	9 5	11 30	6 71
3 40	4 37	13 32	2 82	8 66	1 31	5 84	11 9	14 87	6 14	10 21	7 55	9 4	0 47	12 93
1 15	7 53	14 79	8 35	0 8	4 7	2 31	10 36	13 74	5 55	3 96	9 94	11 25	12 3	6 4
1 60	5 99	14 77	13 64	8 95	7 25	12 28	0 14	3 85	4 33	2 72	9 27	11 36	6 45	10 7
3 72	5 59	8 84	6 24	7 11	12 64	4 8	10 93	14 92	1 79	11 54	2 79	0 20	13 66	9 30
6 97	2 34	4 79	13 87	14 71	0 81	1 37	5 69	3 87	9 72	11 23	10 72	12 94	7 83	8 32
9 81	10 83	8 29	4 25	1 30	12 5	6 95	2 50	5 85	13 82	0 82	7 72	11 67	14 61	3 59
12 29	5 1	2 68	11 31	10 24	4 76	9 60	6 1	0 20	1 11	8 91	7 89	13 37	3 34	14 72
8 77	11 73	12 94	0 84	5 91	9 74	2 16	7 99	6 78	14 34	10 6	3 22	1 45	4 82	13 64
5 86	10 24	14 88	11 50	7 71	0 33	12 89	2 96	4 82	9 10	1 50	8 27	13 2	6 26	3 5
9 92	3 51	6 69	4 31	12 49	13 74	10 10	0 37	5 31	7 29	2 64	8 62	14 28	11 68	1 75
14 53	4 55	11 74	9 39	7 3	1 5	10 30	5 72	8 43	6 97	0 45	13 96	12 33	2 26	3 30
13 52	7 57	4 3	12 11	6 89	5 64	14 5	1 28	2 24	9 60	3 37	10 85	11 42	0 6	8 53
13 33	5 78	7 32	4 53	0 60	11 38	14 4	3 20	10 34	9 60	1 51	12 46	8 26	2 17	6 69
12 61	14 95	9 6	1 32	0 24	11 25	13 10	7 84	4 45	10 75	2 30	5 71	6 64	8 31	3 66
0 17	4 60	7 27	6 44	2 53	3 70	13 88	1 61	10 78	14 88	8 59	12 61	9 87	5 1	11 39
11 12	5 41	2 53	13 61	4 36	8 3	7 66	0 68	9 50	1 5	12 29	6 78	3 43	14 93	10 17
7 10	14 16	8 95	3 95	6 96	11 94	4 44	13 33	9 10	12 86	1 32	2 71	5 90	0 92	10 82
5 25	10 3	4 87	12 88	8 9	6 22	1 60	9 39	13 58	7 48	14 74	0 76	3 60	2 55	11 78
3 41	7 42	6 1	1 75	11 33	5 79	9 55	13 47	8 22	4 45	12 34	2 65	10 46	14 88	0 28
8 10	10 40	1 27	5 48	6 17	14 91	13 7	3 53	11 83	4 6	2 23	0 6	12 98	7 44	9 1
7 75	2 98	0 90	3 10	12 11	5 61	8 89	6 51	11 50	4 37	10 2	1 1	13 82	14 53	9 31
8 49	13 19	14 39	5 20	7 59	9 15	12 45	2 44	1 37	10 87	11 45	0 10	6 84	4 38	3 98
11 57	3 61	13 7	4 54	14 14	12 78	7 53	2 34	10 27	6 18	9 5	1 98	5 18	0 71	8 48
13 87	12 42	8 47	11 4	7 1	14 93	1 76	4 38	5 15	10 13	6 19	2 81	3 87	9 75	0 68
12 54	10 21	14 94	2 56	6 19	7 39	9 92	8 68	1 34	0 45	4 95	3 17	5 50	13 77	11 40
3 72	6 22	7 72	11 83	12 26	10 62	1 64	4 47	14 2	2 54	8 88	0 71	5 68	13 87	9 7
5 76	1 80	10 76	11 88	7 23	2 46	14 48	13 60	6 77	9 60	8 57	3 75	12 94	0 38	4 35
5 84	1 75	0 33	7 97	9 17	2 79	3 90	10 93	14 45	13 98	8 77	12 71	4 68	11 39	6 23
7 28	11 62	2 33	1 90	6 63	9 48	4 94	5 53	3 61	14 73	13 3	12 89	0 36	10 82	8 99
5 72	8 98	3 32	11 75	12 29	2 25	9 96	4 88	6 79	0 21	13 80	1 21	14 66	7 63	10 13
5 83	0 72	11 6	2 51	14 69	9 62	10 14	8 60	4 52	6 84	12 54	13 38	3 79	1 50	7 22
0 85	5 16	9 65	3 25	6 37	12 58	7 27	4 82	1 36	13 38	14 71	8 88	2 88	10 54	11 59
3 5	11 50	4 17	1 63	8 96	0 7	10 23	6 1	13 97	9 60	12 73	7 43	5 98	14 7	2 22
13 39	5 61	6 1	0 70	7 40	1 82	9 3	2 72	10 31	14 8	11 94	8 1	12 23	4 33	3 5
5 7	4 11	11 59	3 33	1 42	14 10	10 37	6 76	7 37	9 51	2 31	13 64	8 73	12 77	0 52
