90	20
11 32	15 167	6 141	13 69	9 153	7 35	17 193	10 145	16 158	18 181	1 102	8 10	0 1	5 102	4 39	2 146	3 106	19 187	14 91	12 34
15 196	11 144	12 197	18 20	7 163	4 192	2 36	8 76	3 6	5 135	16 105	17 160	6 132	14 88	19 20	0 5	10 39	13 41	9 34	1 83
1 162	18 191	15 7	4 134	12 26	13 33	14 38	8 36	6 49	9 178	7 186	3 175	11 103	0 114	17 47	10 113	19 25	16 22	5 90	2 44
14 186	4 12	3 4	15 74	7 8	13 29	12 126	18 198	6 108	16 69	11 199	10 53	19 18	8 14	1 200	0 13	9 194	5 59	17 47	2 32
17 14	10 21	11 127	7 16	9 130	3 175	14 15	8 120	5 159	2 99	1 111	18 176	19 141	4 59	12 190	16 62	6 152	0 196	15 141	13 149
4 170	13 133	3 62	18 169	2 88	19 195	0 103	16 104	17 164	14 155	12 113	10 151	15 65	9 112	5 22	8 186	11 163	1 52	7 21	6 7
18 134	9 77	6 137	14 187	8 191	19 72	15 150	17 112	10 24	7 41	16 166	4 135	2 182	12 23	5 118	11 57	0 111	1 150	13 122	3 76
16 55	10 32	3 160	7 19	14 151	15 147	2 48	9 44	19 63	17 45	11 10	5 68	6 142	0 75	1 85	18 199	4 128	13 44	8 40	12 171
7 195	8 58	9 137	10 109	2 71	15 101	12 95	16 3	6 84	17 200	5 74	1 51	18 45	11 65	0 176	13 189	4 152	19 40	3 20	14 110
4 3	2 117	13 110	3 26	15 165	8 54	5 146	11 175	16 193	17 48	14 85	12 168	18 6	19 27	7 21	9 91	10 145	1 87	0 130	6 177
4 155	8 179	9 78	6 8	11 139	0 108	16 167	19 14	12 193	13 84	14 190	2 8	7 87	5 34	15 158	17 101	10 36	18 51	3 42	1 20
14 45	4 169	11 70	17 188	16 190	2 167	6 93	12 160	13 95	3 92	10 188	8 57	19 70	18 58	5 120	9 44	0 51	7 58	1 107	15 164
19 153	9 147	17 40	15 91	11 23	0 163	4 145	18 187	10 146	13 48	5 123	7 178	1 115	16 198	8 169	3 152	14 132	6 61	12 52	2 45
19 83	18 175	0 51	1 87	17 200	9 191	16 16	11 79	4 149	3 49	13 147	15 105	2 155	7 136	5 193	12 94	6 10	14 54	8 135	10 164
