80	70
67 60	65 66	21 76	29 17	52 85	69 57	43 6	62 1	7 79	25 40	1 34	57 10	64 61	16 33	35 44	26 52	56 74	0 99	10 42	39 36	22 73	44 4	11 19	2 37	24 53	17 29	36 32	66 48	20 97	41 82	9 15	38 80	37 52	48 95	13 86	28 74	5 68	34 79	61 13	32 11	54 51	40 42	31 81	30 93	68 67	23 25	63 97	46 2	33 8	47 79	19 16	50 23	27 70	55 14	53 64	8 94	58 98	18 7	42 23	6 83	49 5	59 85	51 70	15 34	14 71	12 40	4 32	45 36	60 47	3 4
22 71	43 95	40 4	58 16	53 64	23 58	28 37	13 88	19 26	62 66	2 32	24 3	67 53	55 95	3 32	51 94	54 13	4 68	37 88	25 88	34 37	29 9	44 21	45 60	38 24	41 5	68 22	46 76	8 77	12 9	20 48	59 77	9 56	27 88	66 95	0 96	48 23	6 27	5 62	36 4	17 11	32 38	10 78	60 70	30 54	49 78	50 31	64 66	61 81	15 10	21 6	26 32	69 71	18 49	39 74	42 21	65 35	47 12	33 43	11 5	57 70	1 13	14 65	63 11	52 27	16 5	31 42	56 41	7 93	35 20
69 6	48 73	14 40	39 45	43 50	44 84	7 40	16 58	35 86	49 39	8 91	54 48	51 15	50 64	68 18	6 16	32 69	5 5	45 89	66 75	64 29	41 42	58 68	24 11	17 8	13 69	18 59	23 85	60 52	27 41	37 62	63 62	2 71	26 74	15 48	53 96	40 19	62 42	65 1	42 18	67 48	56 81	31 54	55 78	28 58	21 76	29 11	59 23	9 77	46 80	19 6	34 76	4 4	52 76	22 30	38 84	1 34	3 83	36 81	10 15	20 65	0 1	11 33	61 23	25 49	30 45	57 44	47 34	33 24	12 67
57 35	68 34	20 9	2 47	48 29	16 68	39 68	44 67	54 24	10 53	1 82	62 2	11 22	5 52	58 8	4 57	52 90	29 61	25 30	36 63	14 89	66 63	18 83	46 44	49 86	30 58	12 14	24 88	53 74	60 1	27 89	22 56	42 6	65 79	64 63	8 41	23 99	67 82	59 4	7 71	9 1	37 93	28 67	33 77	56 58	69 54	45 42	51 28	0 85	3 38	47 6	31 54	19 95	43 72	17 61	32 73	6 30	35 35	63 93	38 51	61 33	26 89	40 45	50 98	34 1	13 88	41 72	15 63	55 42	21 51
16 66	47 58	44 6	9 31	59 82	29 88	58 48	38 37	61 2	60 24	7 78	40 85	23 99	2 81	36 88	63 31	51 71	45 1	5 69	69 40	20 68	12 86	19 37	48 62	35 19	57 78	42 17	17 99	56 25	68 36	64 1	39 3	6 97	3 6	1 27	18 70	11 33	15 17	41 17	52 65	8 94	33 61	4 98	37 43	34 51	0 82	49 14	32 57	26 78	50 29	30 88	53 41	31 46	14 94	43 85	67 27	13 54	46 51	27 96	28 98	66 95	10 50	25 92	22 22	62 18	54 3	55 93	24 69	65 82	21 3
5 49	52 29	2 23	47 23	31 99	49 32	59 1	20 37	38 75	39 83	68 88	66 36	30 70	37 13	26 75	21 72	43 47	6 16	53 59	15 42	8 56	34 85	29 38	42 30	17 16	0 60	1 98	7 87	36 8	41 19	54 76	25 32	62 47	27 30	4 98	65 42	44 23	28 14	57 79	60 29	18 29	51 79	69 65	14 43	40 78	13 91	10 13	64 52	56 51	50 41	22 55	16 27	9 73	45 56	46 69	67 91	55 76	3 15	35 73	61 70	11 26	32 18	19 2	33 50	12 97	48 37	58 37	24 87	63 8	23 12
40 90	41 31	33 47	57 1	58 22	25 50	62 33	53 18	52 81	64 74	3 48	35 91	67 12	21 90	5 19	17 56	20 48	6 91	29 61	38 27	15 1	60 97	16 55	46 35	22 8	0 34	44 82	69 55	36 79	45 69	50 40	14 74	66 81	13 80	59 35	30 32	54 31	55 48	47 77	49 5	61 46	12 73	34 84	31 32	51 53	68 27	42 70	27 67	19 65	2 92	9 80	56 42	1 77	8 91	48 50	63 61	18 98	37 39	39 65	26 10	4 27	24 70	65 50	10 74	32 57	23 47	11 40	7 93	43 74	28 84
1 82	0 22	24 87	10 90	32 13	39 86	42 88	63 86	8 87	25 72	22 97	18 61	14 42	38 5	13 59	57 43	54 77	5 8	46 88	43 76	58 99	30 69	64 93	55 51	60 41	2 81	26 44	12 33	45 46	61 28	29 14	34 14	17 98	66 14	53 48	27 79	51 53	68 29	41 88	59 96	35 74	7 63	48 5	33 99	67 29	37 74	56 66	19 77	65 74	36 42	44 81	9 90	62 97	69 82	11 16	21 1	40 85	4 75	23 46	49 14	6 72	31 25	16 39	52 36	50 96	47 25	28 20	15 15	3 33	20 66
38 32	40 68	30 88	50 97	42 39	47 47	52 16	62 29	35 87	43 78	58 17	57 25	49 25	45 60	66 81	22 52	17 52	18 79	64 14	54 62	41 48	33 10	0 80	14 81	24 57	11 68	37 69	28 77	46 7	21 10	56 70	60 11	25 73	34 57	7 56	31 16	20 37	12 46	69 26	10 54	16 7	15 95	63 51	1 56	61 87	32 14	5 86	53 15	68 6	4 14	26 91	19 75	55 38	67 65	23 64	36 28	6 83	8 37	9 84	3 97	65 86	2 90	13 62	44 85	51 79	39 29	29 61	48 54	27 2	59 17
62 3	50 13	24 83	51 80	61 34	57 51	10 63	49 57	66 24	25 92	23 43	13 72	41 19	18 41	39 94	3 59	52 20	22 28	1 53	56 98	6 91	37 75	46 26	69 76	59 5	33 97	32 48	17 84	7 22	43 37	36 9	47 52	28 36	38 26	29 31	34 4	65 90	48 13	12 9	44 52	11 40	64 49	31 29	5 76	21 44	55 90	63 19	8 96	45 11	20 10	4 33	27 58	14 40	40 75	26 5	42 23	15 30	19 54	30 68	16 23	58 49	53 5	67 68	0 44	68 66	2 68	9 22	35 28	60 70	54 99
67 49	42 6	69 43	60 93	40 91	38 16	51 96	68 11	15 31	0 2	30 4	62 38	8 86	6 33	27 91	16 50	50 34	9 55	54 46	49 14	21 1	35 3	63 67	10 67	33 86	48 32	28 66	4 69	41 47	64 60	24 38	45 94	26 86	65 48	39 15	53 67	19 91	20 89	32 16	56 8	17 81	3 69	25 37	36 3	14 3	58 74	11 2	31 20	55 11	44 94	1 66	5 35	46 60	66 86	47 72	43 63	59 90	18 91	7 5	37 53	12 85	52 76	61 72	13 50	2 1	57 33	22 28	34 84	29 9	23 68
30 24	10 35	6 88	40 78	26 75	8 72	29 69	2 43	63 60	50 61	57 23	49 95	14 4	41 57	64 6	60 79	16 9	13 97	12 12	1 92	34 56	35 96	44 73	66 17	17 36	51 88	15 1	52 72	5 21	3 62	65 48	36 13	0 25	68 83	37 8	19 73	42 53	9 81	25 5	24 32	31 75	61 19	22 32	38 10	62 21	28 39	11 12	27 69	23 76	59 30	46 69	69 73	33 47	55 75	47 22	53 95	4 89	67 65	56 37	58 47	18 18	20 63	21 57	39 72	43 95	7 17	48 79	45 17	32 96	54 10
66 91	60 90	7 7	36 95	69 55	67 99	18 92	11 82	35 56	33 20	42 52	23 64	10 95	16 54	24 79	61 59	68 23	38 27	41 80	37 10	51 27	64 72	45 23	53 98	62 16	20 97	6 90	52 39	58 88	56 30	44 27	59 53	26 17	46 76	2 82	25 20	9 43	49 72	40 53	14 70	48 35	17 2	5 86	4 94	1 11	13 78	57 49	12 96	27 41	34 67	39 1	43 16	63 88	50 45	15 83	8 92	32 85	19 86	28 96	30 20	29 24	22 5	65 42	55 11	47 12	3 16	54 57	31 72	21 71	0 71
39 1	66 39	21 8	35 90	36 65	27 45	58 31	11 81	55 95	13 13	57 39	16 56	9 49	15 20	48 82	63 22	44 56	34 71	59 3	60 31	23 56	10 37	6 45	43 9	17 49	0 89	4 31	25 25	24 61	20 37	61 44	2 37	64 56	18 78	67 36	8 65	50 94	30 12	38 47	19 62	41 86	22 69	7 20	12 41	26 80	29 56	14 51	46 33	65 18	40 34	3 64	42 5	69 66	37 68	51 63	54 75	56 36	32 29	28 84	33 66	31 67	45 13	62 21	68 74	1 34	5 4	53 40	52 3	49 6	47 92
