50	10
4 185	7 156	2 66	5 124	6 46	8 89	9 152	0 122	3 37	1 106
7 28	1 126	3 93	9 41	5 1	6 101	2 183	0 117	4 131	8 25
0 57	4 101	3 74	5 10	8 16	7 192	1 96	2 175	9 3	6 106
9 132	1 73	0 79	2 60	5 82	7 68	6 168	4 172	8 160	3 171
3 148	4 134	2 27	0 22	1 84	6 69	9 22	7 71	5 111	8 94
5 174	9 96	0 141	7 69	3 140	8 121	4 107	6 20	1 130	2 33
2 23	1 104	8 123	0 185	3 115	6 66	9 35	4 24	5 156	7 32
2 43	3 65	8 86	5 157	0 67	1 192	4 155	9 111	7 114	6 105
0 86	9 47	7 172	8 32	5 8	2 28	6 16	1 87	3 97	4 28
4 182	9 1	0 4	1 43	5 137	3 114	8 122	7 171	2 40	6 111
7 58	4 90	1 11	9 74	8 92	2 54	0 39	6 126	3 189	5 177
8 48	6 138	9 125	0 159	4 175	1 39	5 171	3 149	2 11	7 82
1 87	3 73	9 107	6 52	0 88	7 131	4 3	8 180	2 34	5 89
1 31	3 144	7 144	5 122	6 25	9 171	0 133	4 189	2 167	8 37
4 170	5 148	9 53	1 118	0 65	6 128	8 52	3 158	7 70	2 58
4 156	5 106	9 129	7 108	6 199	1 72	0 60	3 32	8 94	2 78
3 90	7 37	5 75	9 33	1 81	6 96	0 35	2 99	8 127	4 84
3 161	7 77	5 73	0 100	4 90	8 164	6 137	2 185	9 88	1 148
5 68	7 35	2 61	9 37	0 10	8 184	1 179	4 173	3 99	6 19
6 96	4 127	0 25	1 81	2 15	7 34	5 167	8 68	9 89	3 32
8 179	1 5	5 166	4 156	9 154	7 129	0 192	6 195	2 90	3 65
8 38	4 114	2 114	0 52	6 8	5 124	7 124	3 15	9 17	1 18
1 191	9 146	4 179	8 70	0 189	3 128	7 37	5 64	6 3	2 98
3 159	6 108	8 148	1 116	4 198	5 133	7 36	0 171	9 44	2 15
3 118	4 167	9 105	7 145	1 185	2 149	5 199	6 192	0 56	8 48
9 89	4 134	7 150	1 57	8 151	0 132	3 177	5 188	6 25	2 124
1 88	2 154	3 128	4 37	6 107	8 17	7 127	9 87	5 114	0 136
5 194	4 53	2 7	0 106	1 73	9 43	8 178	6 185	3 113	7 172
4 160	8 79	9 38	5 53	3 15	1 60	0 97	6 139	2 125	7 120
0 190	8 5	5 124	4 58	6 110	2 31	7 136	1 116	3 49	9 187
9 94	3 79	2 72	8 31	0 161	1 166	6 183	5 5	7 99	4 119
8 119	9 74	7 77	6 128	0 96	2 109	5 35	1 171	3 82	4 137
8 32	6 89	1 8	9 50	0 163	5 81	7 156	3 164	2 1	4 151
3 109	8 124	4 125	0 39	5 18	9 159	7 147	1 55	2 84	6 67
0 42	3 165	4 110	7 30	2 118	6 40	5 94	8 118	9 149	1 8
5 177	0 108	2 94	7 157	1 147	4 59	3 103	6 107	9 123	8 57
3 193	2 102	1 73	4 8	8 65	9 192	0 15	6 162	5 28	7 20
9 86	3 86	6 7	2 83	0 130	5 8	4 199	7 64	1 72	8 92
5 13	4 172	8 139	6 67	0 152	3 2	7 142	1 113	2 136	9 30
4 11	2 23	7 176	0 113	3 197	1 61	8 48	6 49	9 6	5 25
5 182	3 16	7 159	4 122	2 172	6 182	1 41	9 187	8 92	0 155
6 103	9 198	2 13	1 161	8 7	5 182	4 165	3 200	7 164	0 129
3 133	4 123	8 147	9 111	1 159	7 197	2 138	6 80	5 9	0 108
6 155	7 171	3 106	0 15	5 67	1 111	2 16	9 58	4 198	8 50
6 193	4 33	8 54	1 188	3 114	2 60	5 42	7 190	9 79	0 14
7 200	6 30	8 152	1 17	9 108	3 135	0 57	2 144	5 105	4 12
7 61	9 135	1 38	5 10	0 44	4 89	8 52	6 87	2 77	3 141
0 170	5 192	6 196	1 163	3 60	7 97	2 165	4 26	9 126	8 59
0 33	4 27	8 39	6 97	5 5	9 32	2 96	3 194	7 138	1 36
2 195	1 17	8 5	7 200	5 138	3 111	0 165	9 89	4 5	6 43
