15	10
4 34	2 55	6 47	5 53	0 50	8 40	9 45	3 60	1 47	7 47
6 47	3 53	5 58	2 52	4 52	9 52	8 41	7 57	0 49	1 51
0 49	5 49	8 47	7 48	4 46	9 48	3 53	2 49	1 62	6 48
4 44	3 50	1 48	5 52	2 55	8 41	6 48	9 46	7 52	0 48
7 48	3 43	5 42	0 53	8 48	9 47	2 46	1 47	6 39	4 45
9 48	8 49	3 47	4 47	7 49	5 53	2 51	1 49	6 49	0 54
9 62	5 47	7 42	2 41	8 41	4 53	6 63	1 51	0 63	3 44
8 56	5 51	7 45	1 46	4 46	3 45	2 50	0 48	9 51	6 56
3 59	2 58	7 49	8 44	0 54	4 52	5 47	1 52	9 51	6 46
8 51	5 47	3 45	6 55	2 49	4 43	9 52	7 46	1 52	0 57
7 35	4 42	1 42	6 54	3 46	9 50	5 43	0 49	8 53	2 47
4 46	5 47	9 51	8 42	1 52	7 49	3 49	6 50	2 45	0 48
7 50	6 55	9 55	4 47	3 55	8 52	5 50	0 50	2 47	1 45
0 59	9 46	2 52	5 44	3 53	1 50	7 51	8 55	6 51	4 46
5 46	9 48	6 48	3 47	7 47	2 55	8 48	4 46	1 57	0 53
