20	20
5 191	8 22	19 108	14 56	17 119	18 162	3 1	0 140	6 5	12 189	10 118	16 77	2 6	9 89	1 137	13 77	11 140	15 182	4 127	7 197
5 135	15 133	6 6	9 69	2 28	19 33	11 165	4 167	16 18	18 130	1 116	14 24	0 16	17 160	13 27	7 28	8 9	3 150	12 105	10 104
10 191	9 150	17 5	7 8	4 115	5 86	0 64	11 111	3 161	15 96	18 89	14 40	1 180	2 166	12 174	8 6	13 29	16 7	19 66	6 179
15 122	12 131	18 12	2 45	4 168	8 135	3 185	19 45	16 11	10 68	14 34	13 33	7 180	17 91	9 154	11 5	1 16	6 51	5 69	0 25
8 121	4 111	15 88	9 191	13 76	3 8	2 191	11 12	0 43	1 94	19 156	14 193	18 1	10 4	7 165	6 197	16 22	17 108	12 198	5 16
6 99	10 17	0 10	19 76	16 46	2 86	4 171	11 152	8 68	18 9	17 82	14 60	7 56	3 198	13 55	5 196	15 23	9 31	12 49	1 142
8 104	12 85	6 131	2 26	19 174	1 106	10 36	15 122	0 44	11 51	5 102	16 157	9 153	13 156	17 86	14 182	4 45	3 41	18 172	7 186
16 188	1 192	14 44	17 192	3 64	15 195	11 170	4 112	2 133	19 93	10 124	7 170	12 15	18 115	6 193	5 51	13 141	9 87	0 131	8 121
18 26	15 104	11 60	10 194	1 66	19 101	8 68	14 80	5 30	7 141	16 125	0 192	12 142	6 190	13 81	9 101	4 45	17 140	3 130	2 154
15 38	11 67	16 90	17 189	8 30	5 17	19 86	7 107	9 47	18 50	13 102	10 9	4 80	14 197	0 116	3 189	1 77	2 48	12 198	6 44
18 72	11 67	1 65	0 6	13 103	5 131	9 2	2 87	7 168	3 159	4 104	17 59	15 44	12 24	10 8	19 51	16 128	8 26	6 138	14 146
0 58	1 19	7 7	3 112	6 9	16 4	12 35	14 22	15 23	11 127	18 117	5 105	9 186	17 27	19 162	10 194	4 21	2 160	13 188	8 13
7 62	10 107	18 14	3 141	15 127	0 114	12 88	5 150	11 99	8 129	19 154	2 186	17 104	6 180	9 39	16 136	1 163	4 146	13 188	14 31
10 102	15 76	14 43	4 195	9 11	13 142	17 24	0 74	3 184	1 185	7 148	11 167	16 129	6 108	19 81	2 73	5 108	12 61	8 55	18 75
2 7	1 61	16 111	10 41	11 179	3 69	14 49	12 55	8 173	18 177	19 173	4 95	0 176	17 198	9 23	6 28	15 47	13 154	5 53	7 32
6 86	3 60	11 18	10 10	14 78	1 122	15 152	17 127	18 103	16 200	0 117	7 14	13 64	5 98	9 174	8 86	19 54	4 52	2 10	12 154
9 82	5 181	16 49	0 50	7 139	18 152	12 98	2 193	15 9	4 83	1 174	19 73	3 119	14 184	13 103	6 33	10 120	11 68	17 99	8 62
7 104	6 34	10 65	4 92	9 56	19 64	0 14	16 196	8 145	5 141	18 113	1 113	11 197	15 19	2 33	14 33	13 129	17 171	3 2	12 69
9 188	10 88	19 169	8 2	6 91	0 78	2 57	13 56	14 127	7 176	1 47	11 115	4 21	5 7	16 63	15 94	3 38	12 153	18 21	17 27
19 54	15 132	1 88	7 104	8 106	0 21	16 173	4 78	17 84	6 185	12 114	13 78	11 33	5 130	14 91	18 46	3 8	10 19	9 65	2 13
