50	10
4 106	7 133	5 185	8 100	0 167	2 34	3 93	9 54	1 63	6 133
5 121	8 191	6 124	0 24	1 139	7 135	4 151	9 180	3 153	2 4
1 103	3 20	2 191	8 186	7 46	5 187	0 108	9 63	6 139	4 95
4 92	0 73	8 148	9 119	5 139	3 136	2 26	1 67	7 110	6 82
2 82	0 171	9 132	1 191	3 22	5 64	6 81	8 126	4 102	7 141
1 112	2 51	7 88	4 90	9 198	5 145	6 84	0 106	8 63	3 89
1 146	3 197	6 56	9 100	8 103	7 89	5 9	0 136	4 25	2 160
1 58	6 76	9 134	0 60	4 194	7 151	3 109	8 10	2 69	5 194
7 120	9 137	6 109	4 186	1 158	2 80	0 174	5 148	8 175	3 109
3 44	6 37	5 104	9 109	8 90	4 145	1 52	7 6	0 123	2 76
5 98	2 178	7 161	6 198	0 124	1 96	3 29	4 78	9 41	8 174
3 32	1 131	4 115	5 152	7 175	2 148	8 153	9 198	6 181	0 193
4 62	8 39	3 176	0 78	5 41	1 174	9 182	2 81	6 192	7 4
3 42	7 173	4 111	8 186	9 160	2 153	0 48	6 30	5 173	1 40
1 167	6 136	2 139	0 182	7 189	8 27	9 60	5 131	3 137	4 176
9 191	4 151	1 23	2 68	7 99	0 88	8 192	6 28	5 182	3 148
8 53	2 19	3 119	4 86	1 79	9 100	7 47	6 192	0 162	5 13
4 44	5 71	1 7	8 86	2 134	9 62	0 94	7 114	3 23	6 45
9 80	6 186	5 11	3 4	1 43	4 5	7 22	0 101	2 95	8 167
9 163	0 145	6 160	2 108	3 78	1 112	4 59	7 9	8 138	5 104
3 99	7 94	5 155	9 98	0 64	4 192	2 22	1 107	8 34	6 135
5 123	6 6	0 121	4 27	8 29	7 64	1 28	9 136	2 9	3 112
9 194	0 126	8 17	4 121	2 4	5 16	7 24	1 115	3 90	6 11
4 91	9 114	2 187	0 165	5 182	3 47	8 18	6 186	1 90	7 97
2 71	6 126	3 178	9 123	7 64	0 139	4 167	5 186	8 103	1 165
1 82	4 109	2 142	8 53	3 90	9 10	0 126	6 2	5 157	7 62
7 183	6 58	9 98	2 101	3 116	1 156	0 33	8 187	4 72	5 60
3 70	6 87	1 170	2 137	9 155	7 74	5 157	8 106	4 124	0 176
9 41	1 36	0 7	4 160	5 160	6 48	7 199	3 172	8 153	2 17
1 182	5 77	2 155	6 189	4 166	9 100	8 66	7 11	0 130	3 200
2 155	0 25	5 180	1 117	4 133	8 48	3 159	9 185	7 105	6 148
5 62	6 141	8 150	0 156	9 125	7 132	3 83	1 157	2 155	4 30
7 103	8 34	0 122	4 38	9 87	6 140	5 180	3 192	1 199	2 43
6 59	2 115	5 109	9 106	3 187	1 68	8 107	0 158	4 8	7 168
8 6	7 80	4 50	6 10	1 70	0 2	9 197	2 5	5 61	3 115
2 12	8 182	5 120	6 87	7 72	0 67	4 69	3 24	1 163	9 65
9 155	3 159	1 80	0 174	4 23	5 13	2 128	8 54	6 80	7 51
6 131	3 70	0 5	2 78	8 133	1 159	5 37	4 27	9 37	7 151
5 96	7 21	1 33	9 21	4 175	2 198	8 178	6 66	0 167	3 194
1 79	4 107	6 157	7 72	3 162	0 49	9 123	2 106	8 128	5 34
4 103	0 183	3 53	1 113	2 164	8 109	6 62	5 12	9 66	7 43
2 43	1 85	4 90	7 180	3 47	8 181	6 65	5 102	0 158	9 171
8 74	0 63	3 187	1 159	7 65	4 186	9 5	5 32	6 114	2 118
6 46	4 16	0 32	2 200	8 138	3 116	7 108	9 153	1 110	5 165
4 112	8 177	7 60	0 87	5 40	6 107	3 197	2 59	9 160	1 85
5 14	8 186	2 152	0 91	9 19	1 162	3 31	6 60	4 42	7 80
1 155	0 111	3 35	8 117	5 154	7 171	9 125	4 59	6 187	2 3
5 99	4 41	7 141	8 91	3 55	9 123	0 176	1 71	6 118	2 119
9 16	8 48	4 115	6 151	3 120	7 102	2 66	5 173	1 33	0 143
0 162	3 153	2 67	9 182	8 161	6 119	5 198	7 37	4 55	1 117
