30	10
6 40	8 76	3 66	0 75	1 70	9 10	7 83	5 40	2 44	4 67
5 72	3 35	6 96	8 15	1 6	4 60	9 58	2 52	0 56	7 7
6 45	7 77	5 99	0 77	8 82	1 74	9 99	3 4	4 55	2 40
8 49	4 55	6 30	7 24	0 70	5 46	1 48	9 56	2 95	3 68
0 54	4 23	8 48	3 36	5 6	1 1	2 2	7 48	9 9	6 60
6 11	4 3	7 42	2 14	3 30	0 35	5 65	1 36	8 65	9 19
3 70	6 8	4 82	2 90	7 17	0 85	9 86	1 3	5 92	8 26
3 88	1 75	8 16	2 18	5 10	0 14	4 98	6 38	7 41	9 58
7 36	5 63	0 34	6 9	1 25	2 73	4 59	8 68	9 90	3 52
4 73	2 40	3 78	6 16	9 40	7 21	1 95	8 27	0 58	5 4
1 18	2 23	6 50	7 96	8 58	0 35	9 66	3 31	5 38	4 17
0 89	4 93	9 1	8 52	7 92	5 6	3 86	6 74	1 82	2 52
4 68	2 87	1 80	8 55	0 47	3 53	6 3	9 80	7 24	5 72
8 99	4 43	5 32	0 68	1 58	3 82	7 11	2 19	6 80	9 31
2 83	1 21	0 63	6 10	9 21	7 27	5 69	8 7	4 34	3 92
0 33	8 69	7 63	9 32	3 35	2 78	6 50	5 89	4 85	1 44
6 56	4 98	9 20	0 95	2 86	1 77	3 78	7 27	5 64	8 11
8 1	3 32	9 70	1 81	4 17	0 21	5 55	2 17	7 11	6 12
5 65	3 51	9 4	6 56	1 73	4 88	7 34	2 12	8 49	0 47
9 42	6 24	2 87	0 86	3 50	5 71	8 11	7 35	4 78	1 97
0 33	6 22	1 74	7 55	5 28	2 1	9 33	8 57	4 41	3 9
7 89	8 85	5 2	6 73	1 88	3 96	9 17	0 82	2 45	4 30
7 40	5 54	8 50	9 93	1 42	2 26	4 72	3 79	6 31	0 59
3 64	8 79	1 93	5 28	9 28	7 39	0 95	6 51	4 58	2 7
6 65	1 22	4 55	7 91	5 18	9 33	2 23	0 3	3 46	8 87
8 1	5 62	4 28	1 90	3 19	9 55	6 71	7 95	2 27	0 85
8 14	6 35	5 58	2 89	3 92	0 24	9 44	7 90	4 7	1 76
6 99	0 83	9 30	4 25	7 13	1 99	8 80	2 87	3 39	5 99
4 10	3 2	7 21	0 74	6 38	1 93	9 53	8 69	2 5	5 62
0 31	8 12	4 89	9 16	1 23	3 12	5 60	7 79	6 47	2 32
