90	10
6 183	3 131	0 56	1 168	9 16	5 66	4 148	8 54	2 181	7 151
2 72	1 165	6 136	9 190	7 69	3 153	0 64	8 89	5 13	4 16
0 108	9 186	2 128	4 101	5 76	7 172	6 44	3 97	8 11	1 55
5 129	9 175	8 181	6 18	0 53	4 59	7 74	3 180	2 168	1 37
8 41	9 171	5 108	7 174	2 138	0 94	4 88	3 81	6 34	1 15
6 167	8 177	7 101	4 61	0 115	1 123	5 199	9 67	2 18	3 94
3 77	7 48	6 137	9 190	1 72	5 76	2 139	8 117	4 87	0 153
9 57	7 109	5 112	0 81	8 148	4 34	2 74	6 123	3 35	1 43
6 160	7 138	8 72	0 83	5 34	9 127	1 60	3 49	2 39	4 89
0 198	7 15	3 170	2 56	4 78	8 142	1 120	6 20	5 151	9 3
4 10	0 62	2 102	6 117	5 17	9 20	8 68	1 39	3 81	7 133
4 162	2 59	8 197	1 129	6 164	9 150	3 83	5 79	7 33	0 89
6 5	5 78	2 63	3 79	4 118	9 197	1 19	8 64	0 198	7 102
7 93	2 127	3 161	4 13	9 13	1 187	0 128	8 126	5 60	6 136
3 192	1 57	4 122	7 177	6 103	8 3	2 200	5 158	9 131	0 181
1 102	4 188	9 148	2 55	7 113	8 99	6 142	3 107	0 64	5 77
1 148	3 175	0 25	9 113	4 152	2 18	8 135	6 200	5 174	7 54
7 18	8 153	3 20	6 154	0 150	5 87	4 163	9 56	2 182	1 105
2 152	3 163	9 137	7 90	5 55	1 76	8 11	6 142	0 163	4 22
8 197	1 172	9 103	6 59	2 52	5 81	3 104	0 49	7 194	4 6
4 93	1 40	0 195	9 193	6 108	2 66	8 149	3 82	7 163	5 151
9 85	3 57	5 178	1 120	0 102	6 88	4 78	7 47	2 109	8 144
4 101	3 124	7 34	6 92	2 2	5 46	1 138	0 188	9 94	8 200
6 51	1 189	4 101	0 171	8 183	2 154	5 33	3 106	9 100	7 133
3 170	2 135	1 189	7 95	9 6	6 86	8 91	4 153	0 17	5 199
8 182	0 107	4 90	5 82	3 84	9 197	7 139	6 84	1 193	2 136
0 44	1 134	2 107	8 57	5 114	9 67	7 139	4 50	3 88	6 126
4 75	3 193	7 153	1 52	8 163	2 128	9 21	0 12	6 109	5 176
1 29	0 87	5 178	6 84	7 101	2 166	3 46	9 148	8 22	4 175
5 16	4 50	6 121	1 103	2 89	7 77	9 106	8 192	0 192	3 28
4 172	9 10	1 60	7 184	6 131	0 51	2 87	5 153	8 15	3 173
3 165	5 116	8 32	0 104	1 114	4 173	6 35	7 125	2 66	9 174
3 162	7 59	2 199	5 62	4 140	8 85	1 32	0 131	6 32	9 84
3 135	0 48	1 109	5 124	8 183	7 33	4 83	9 161	2 95	6 126
6 155	3 57	2 169	7 104	9 93	5 174	4 143	0 129	8 113	1 106
3 32	1 104	5 199	6 130	2 7	4 183	8 126	0 99	7 200	9 97
1 120	2 51	9 82	8 184	3 117	5 184	7 80	6 114	4 139	0 19
5 77	3 63	1 186	8 195	9 148	6 192	7 77	2 158	4 20	0 129
3 162	4 51	6 103	0 93	8 140	7 9	1 47	5 7	2 198	9 27
8 104	6 189	4 186	0 51	7 130	3 47	9 48	5 184	2 103	1 106
7 138	8 125	4 115	5 16	1 150	6 194	3 90	9 190	0 107	2 164
4 152	7 38	5 63	8 96	0 70	6 103	1 50	9 94	3 38	2 12
1 98	3 144	9 2	7 103	8 103	5 5	2 42	4 184	0 144	6 28
6 144	5 184	9 58	2 155	7 57	0 168	8 143	3 51	1 179	4 93
7 132	1 164	4 123	8 199	2 132	9 54	6 41	5 36	3 101	0 47
6 32	3 197	8 24	4 144	1 91	2 67	7 84	5 199	0 50	9 184
9 128	3 49	7 58	6 81	5 57	0 2	8 188	2 63	1 11	4 124
9 7	6 74	4 155	3 4	5 145	8 178	2 42	7 191	1 20	0 99
1 145	3 196	7 97	4 79	8 133	9 169	0 134	5 156	2 113	6 95
3 151	5 93	0 101	6 59	1 5	8 107	9 182	4 84	7 121	2 129
1 107	2 162	8 33	9 145	4 50	7 185	3 152	5 147	0 15	6 35
0 25	4 137	8 85	2 162	6 138	7 51	3 144	1 187	9 62	5 29
4 77	2 86	6 107	8 96	5 72	1 28	7 85	0 99	9 190	3 14
0 174	1 21	5 200	2 40	9 78	8 133	6 103	3 196	4 135	7 48
9 135	4 141	3 198	0 65	8 35	6 54	1 71	7 39	5 91	2 60
3 143	1 119	0 131	8 72	5 195	4 189	9 98	6 120	2 191	7 35
2 2	3 162	4 53	5 73	0 87	8 124	7 20	6 104	9 60	1 103
5 55	9 1	0 171	2 127	4 129	3 125	6 113	7 188	8 85	1 180
4 62	3 64	1 21	9 197	6 160	8 79	5 158	0 87	7 180	2 8
1 195	4 85	8 84	6 166	5 169	7 67	2 169	3 90	0 40	9 77
8 181	1 56	9 19	7 121	5 174	4 38	3 185	0 100	2 75	6 180
6 95	5 3	4 41	0 131	9 143	8 8	2 155	3 145	1 175	7 135
3 132	4 143	1 162	7 195	6 142	8 147	9 141	5 120	0 76	2 176
6 179	3 125	8 172	5 187	7 141	2 27	0 78	9 176	1 108	4 106
8 31	7 39	3 98	1 64	4 62	5 142	2 27	0 70	9 51	6 63
6 65	5 7	9 159	0 51	8 181	7 11	3 151	2 41	1 33	4 112
5 5	4 69	1 21	0 164	7 15	6 47	3 44	2 40	9 71	8 158
4 108	5 58	0 24	2 126	8 198	1 76	3 55	9 29	6 25	7 32
5 79	2 138	3 146	7 177	9 166	6 63	8 166	4 136	0 30	1 110
3 164	5 169	0 6	4 55	2 84	1 92	8 142	9 93	6 122	7 157
8 141	4 47	1 111	0 10	7 172	9 16	5 10	6 171	2 49	3 122
7 160	1 21	2 191	0 97	6 31	8 41	5 177	9 74	3 111	4 49
0 172	7 15	2 23	5 97	6 80	8 60	4 188	9 80	1 74	3 64
1 162	2 20	6 143	9 112	5 189	4 56	0 183	8 45	3 163	7 84
9 19	1 51	3 96	4 146	0 131	6 193	7 28	5 23	2 96	8 96
0 129	4 117	5 102	2 95	1 98	8 199	3 199	7 36	6 47	9 196
9 81	0 127	8 4	4 107	5 42	7 18	2 134	3 116	1 80	6 125
7 98	8 61	9 143	3 169	1 89	0 41	2 90	5 114	6 114	4 195
1 184	6 175	4 126	7 189	8 85	0 172	3 1	2 71	9 121	5 47
3 20	1 178	7 98	5 59	2 115	6 52	0 165	9 89	4 33	8 164
0 56	5 124	8 99	3 49	9 132	1 74	4 68	7 57	2 52	6 125
8 157	2 32	7 194	1 52	9 20	0 48	6 107	4 43	3 97	5 93
8 69	0 13	3 37	4 138	9 160	7 54	1 181	5 170	2 20	6 69
8 171	5 1	6 52	3 194	9 133	7 3	0 13	2 77	4 175	1 82
0 37	9 128	2 92	7 79	5 87	8 35	6 193	3 4	1 184	4 190
8 79	1 14	9 194	4 68	0 77	2 178	6 44	3 37	7 29	5 18
6 37	8 25	3 72	4 194	2 187	1 13	0 179	9 83	5 148	7 101
7 90	3 90	2 83	1 5	5 72	6 192	0 21	4 128	9 15	8 71
9 147	2 143	8 142	4 180	6 6	5 187	7 156	3 18	1 188	0 2
0 193	9 121	7 49	1 13	6 165	5 126	8 20	2 199	4 105	3 12
