40	15
2 28	1 95	9 85	14 92	11 58	8 48	3 37	10 46	13 90	5 98	4 14	0 64	6 38	7 71	12 64
14 35	11 15	9 62	1 95	13 23	12 28	6 39	5 96	2 20	10 74	0 28	8 35	4 38	3 82	7 16
11 94	10 23	2 45	12 3	6 42	0 59	3 35	8 78	13 80	1 3	9 74	5 98	4 8	14 86	7 85
13 12	4 63	5 51	7 73	8 9	1 57	10 90	2 94	14 8	6 80	0 23	12 96	3 43	11 82	9 25
9 18	0 66	14 71	1 59	5 20	3 11	10 15	6 12	7 87	11 38	4 8	2 68	8 81	13 85	12 2
5 28	4 80	7 64	9 97	13 5	6 51	8 21	10 59	2 9	1 80	14 80	3 72	12 65	11 8	0 70
2 99	7 38	6 13	12 13	0 11	3 10	4 62	10 34	14 1	1 37	13 6	5 95	11 20	8 75	9 18
3 34	9 60	2 57	12 9	13 19	1 66	10 78	8 34	5 7	7 40	6 50	4 47	14 50	0 71	11 85
13 3	10 32	2 55	0 77	5 21	12 59	14 54	3 76	1 63	8 44	6 96	4 52	9 96	11 17	7 30
9 83	8 99	11 43	2 30	14 72	5 52	6 31	13 86	4 21	1 54	0 57	12 18	10 17	3 58	7 70
8 4	3 6	13 72	12 17	7 70	11 64	9 12	5 56	1 3	10 37	0 53	4 92	2 97	14 27	6 8
10 31	11 22	5 66	0 32	12 5	2 73	7 78	3 53	13 59	14 97	1 28	8 76	6 51	9 2	4 15
2 17	9 30	7 15	6 28	14 71	10 46	4 23	13 48	12 20	3 72	0 79	5 26	11 73	1 54	8 52
12 62	14 64	0 79	4 65	3 43	11 48	13 48	8 40	9 87	7 3	1 82	6 81	5 19	10 19	2 35
14 45	0 96	11 41	3 69	8 4	13 99	9 6	7 51	12 31	6 27	10 69	2 13	1 51	5 30	4 16
13 17	1 37	14 15	0 56	6 54	10 95	4 53	12 67	3 59	7 41	8 60	9 5	2 49	11 68	5 15
12 64	11 32	14 21	0 62	7 70	1 18	8 36	13 81	3 46	5 48	9 54	4 27	2 26	10 66	6 3
9 17	0 95	8 72	10 75	3 99	11 39	4 51	7 96	13 64	6 97	14 62	12 56	5 16	2 48	1 53
0 91	14 92	10 63	8 97	7 69	3 61	12 11	11 86	6 22	2 70	13 57	1 76	5 69	4 59	9 62
13 91	7 83	8 17	6 70	2 43	4 83	12 55	14 26	1 95	11 49	9 25	3 97	10 18	0 24	5 78
13 98	10 87	6 53	14 86	9 10	0 31	3 36	8 81	5 20	2 15	1 5	12 55	4 5	11 75	7 13
7 89	2 65	6 88	11 26	10 17	0 70	1 63	4 53	9 74	14 39	5 1	8 16	3 37	12 73	13 60
12 76	2 93	0 7	11 28	6 43	8 28	7 93	4 87	1 29	5 78	10 69	9 17	14 98	13 70	3 8
12 30	3 10	5 69	11 53	8 27	6 30	13 64	0 53	4 40	7 96	1 14	2 58	9 2	14 68	10 80
5 66	0 51	10 5	3 45	4 67	7 6	6 69	2 62	9 27	12 31	1 17	11 32	14 67	8 20	13 81
13 23	9 64	2 1	12 54	6 76	7 42	4 32	11 82	3 79	8 91	10 26	5 55	1 13	0 27	14 49
9 88	6 44	8 62	5 45	11 56	10 7	12 67	4 81	3 43	0 59	1 90	14 43	13 27	7 86	2 66
6 27	7 25	2 34	11 89	1 32	14 61	10 75	5 62	13 84	12 46	8 2	3 95	0 62	4 82	9 83
7 82	6 98	8 45	1 14	11 14	3 40	10 56	4 31	13 79	9 79	14 36	5 34	0 70	2 33	12 83
0 63	1 50	8 53	13 48	5 28	2 98	9 71	3 88	4 82	6 21	10 59	11 26	14 52	12 81	7 87
8 40	12 67	9 28	2 86	7 89	11 38	5 51	10 15	4 78	13 89	1 12	0 36	14 41	6 2	3 64
12 20	13 29	1 51	6 21	9 50	4 27	2 73	14 70	11 3	0 54	5 60	10 22	7 39	8 33	3 7
7 41	13 97	14 6	4 82	12 21	8 37	9 10	5 18	11 51	0 41	1 2	3 49	10 64	6 8	2 58
6 93	7 55	8 89	4 85	2 55	5 19	1 32	10 84	14 66	0 48	3 45	11 8	12 47	13 66	9 42
5 35	13 56	12 67	14 69	8 91	1 97	10 2	2 52	0 90	9 52	3 59	7 23	4 92	11 47	6 20
9 16	13 14	5 13	6 96	7 42	3 31	4 37	1 56	0 10	14 2	12 68	11 4	8 42	2 85	10 76
5 62	12 86	4 23	3 33	13 83	11 76	14 16	0 53	2 9	7 47	8 35	10 18	1 25	9 84	6 49
13 55	7 32	3 71	9 19	12 83	0 4	11 39	4 92	2 31	8 42	14 32	5 45	6 5	1 79	10 52
4 98	11 66	14 95	6 75	1 99	0 99	8 69	2 90	5 48	10 78	13 16	3 11	12 21	9 85	7 20
0 9	13 63	5 85	9 70	14 72	10 3	6 37	3 42	7 96	4 59	2 85	1 92	11 24	8 34	12 13
