70	5
0 140	4 81	3 161	2 18	1 35
2 114	3 97	0 85	1 186	4 185
1 188	3 5	2 67	4 63	0 108
2 14	0 113	4 61	3 179	1 20
0 108	2 166	3 31	4 42	1 189
3 47	1 51	2 147	0 100	4 53
0 67	1 160	4 7	3 147	2 53
1 32	3 196	0 82	4 116	2 72
4 193	0 145	2 75	1 52	3 191
3 145	0 140	2 128	1 198	4 13
3 77	0 195	2 58	4 104	1 87
2 150	1 1	0 23	4 200	3 57
0 188	2 45	1 14	4 99	3 105
3 102	2 90	0 195	1 173	4 143
4 159	3 189	1 64	2 21	0 193
1 124	4 46	2 182	0 120	3 85
4 132	3 41	0 28	2 73	1 128
4 126	0 25	1 19	3 73	2 58
1 66	4 26	2 20	3 193	0 142
0 160	4 2	1 3	3 98	2 36
1 68	3 147	0 70	2 10	4 34
2 148	1 92	4 11	0 88	3 128
4 51	2 57	3 194	1 20	0 94
4 45	3 67	1 169	2 122	0 24
2 13	3 122	4 185	1 104	0 144
4 89	2 44	3 28	0 14	1 55
4 190	1 73	3 130	2 97	0 12
2 61	4 16	1 76	3 152	0 30
1 17	2 91	0 90	4 200	3 11
4 185	3 7	1 172	2 179	0 8
4 148	2 195	1 166	0 113	3 166
1 71	4 49	0 66	2 14	3 156
0 47	1 45	4 118	2 154	3 63
3 158	0 71	4 160	2 197	1 193
4 5	0 97	1 162	3 181	2 126
2 24	4 196	3 150	0 160	1 50
1 21	2 193	3 157	4 129	0 33
1 35	0 133	2 164	4 15	3 68
4 48	3 15	0 157	2 140	1 42
4 37	1 171	2 120	3 101	0 113
2 35	1 172	3 174	0 186	4 2
4 129	3 157	2 8	0 88	1 16
2 113	0 110	3 105	1 107	4 155
2 4	4 3	3 187	0 110	1 75
2 77	0 180	3 126	4 146	1 49
4 52	0 121	2 76	1 56	3 177
4 3	2 128	3 121	1 137	0 188
0 174	3 66	2 159	4 184	1 152
2 46	1 142	3 45	0 70	4 98
4 77	2 80	0 173	1 167	3 166
3 161	0 87	4 66	1 159	2 122
0 173	3 102	2 99	1 83	4 174
3 159	0 180	2 68	4 82	1 50
2 42	0 170	3 106	4 131	1 23
1 51	0 147	3 4	4 178	2 67
0 8	3 120	2 118	4 97	1 169
4 134	3 79	1 146	0 200	2 28
2 51	1 159	4 106	3 180	0 4
1 178	4 13	0 18	2 145	3 122
1 10	0 42	3 77	2 164	4 150
4 82	3 145	2 47	1 113	0 103
3 88	1 20	0 130	4 165	2 47
2 54	4 108	0 8	3 59	1 192
1 20	4 140	0 189	2 54	3 120
2 195	1 134	3 191	0 13	4 28
1 155	4 187	2 113	3 159	0 101
1 43	4 79	3 152	2 70	0 101
3 66	0 75	1 7	4 94	2 55
3 13	2 187	4 165	1 21	0 108
3 29	2 60	1 188	4 97	0 141
