70	15
2 83	8 92	3 80	11 9	12 3	13 84	7 49	0 19	6 1	14 60	1 54	10 57	5 90	4 79	9 6
11 91	0 66	14 40	10 54	4 46	6 99	1 36	12 68	3 94	7 30	5 3	9 72	2 96	8 65	13 30
8 74	13 33	10 15	6 39	11 84	0 75	5 44	4 45	2 85	3 70	7 72	14 13	9 24	1 44	12 8
4 30	7 89	13 43	3 75	2 59	10 43	14 19	11 64	9 93	0 44	8 91	6 87	1 40	12 65	5 40
10 3	1 2	5 91	11 11	6 81	7 83	14 11	2 69	13 53	4 59	0 72	3 61	12 84	9 87	8 62
6 17	2 56	10 44	7 89	3 83	0 73	9 58	11 82	5 13	14 73	8 98	1 56	13 18	4 2	12 33
0 91	8 58	6 36	9 3	10 2	7 22	14 71	5 92	12 73	1 95	13 29	2 42	3 11	11 29	4 16
2 70	10 42	0 6	5 73	9 21	3 2	11 17	6 34	4 7	13 84	14 69	8 50	7 17	12 63	1 74
4 42	5 39	10 12	1 48	9 33	8 76	3 66	11 56	6 78	2 88	13 96	12 35	7 98	0 33	14 16
8 45	11 92	3 7	13 90	6 44	4 51	10 60	7 99	2 35	12 38	0 62	14 8	1 41	5 13	9 60
4 64	8 14	1 22	12 8	3 48	2 25	7 50	6 9	11 87	10 85	9 26	13 24	0 51	14 9	5 12
2 91	6 77	7 98	1 95	14 53	13 96	8 4	10 8	5 7	0 26	11 46	9 93	3 10	4 6	12 36
7 71	2 6	9 96	1 21	5 94	11 10	14 58	4 68	12 54	8 5	13 19	10 42	6 28	3 21	0 32
0 42	3 14	2 95	11 91	8 36	5 83	6 77	9 65	12 67	10 68	14 77	7 6	13 50	1 40	4 28
2 72	14 56	6 70	1 20	10 16	8 20	5 96	4 12	3 43	0 25	7 29	13 10	9 52	12 26	11 85
9 13	13 56	6 20	4 20	0 2	11 17	8 99	3 27	12 85	7 14	10 91	14 82	5 82	1 52	2 6
9 21	6 42	8 43	7 40	2 83	13 99	3 53	14 20	10 13	1 52	12 92	11 19	4 52	5 71	0 36
10 73	12 49	13 74	1 39	8 61	5 37	9 15	2 66	3 40	14 56	0 55	11 98	4 44	6 23	7 76
10 12	6 82	4 76	0 42	11 79	9 33	14 87	12 79	7 93	2 81	3 78	1 72	8 21	13 58	5 89
14 29	6 91	7 87	5 70	9 2	3 67	13 5	11 53	4 10	1 62	2 74	12 45	10 95	8 95	0 78
2 3	1 38	14 85	7 56	6 61	4 90	5 92	8 97	3 72	13 48	10 20	11 28	0 84	9 34	12 19
6 24	9 25	5 44	4 56	1 6	0 11	2 87	8 7	14 15	12 69	11 49	13 43	3 3	7 90	10 83
10 71	0 16	8 87	6 98	1 76	4 80	2 11	9 33	12 2	3 56	13 8	14 86	11 1	7 96	5 10
6 59	3 32	12 63	4 17	13 50	14 52	2 86	0 43	8 76	9 27	5 2	10 42	1 51	11 87	7 75
