15	10
8 43	5 163	2 6	3 145	0 133	7 124	1 152	9 177	6 133	4 182
0 121	3 187	2 76	5 133	6 78	9 174	7 77	1 106	8 151	4 153
0 15	1 39	9 112	8 93	4 39	5 21	7 125	3 57	6 32	2 8
0 58	7 153	4 125	8 39	5 33	3 16	1 117	2 151	6 152	9 171
0 45	8 80	2 167	3 142	5 153	9 37	4 96	1 106	7 131	6 41
4 170	8 54	7 2	2 183	5 88	0 131	9 122	6 44	1 133	3 191
1 67	7 96	6 197	5 119	0 114	8 168	9 74	3 12	2 1	4 102
3 62	4 190	2 131	5 33	1 117	8 35	0 32	7 55	9 11	6 160
9 109	0 143	5 186	7 52	4 156	2 191	1 129	8 154	6 188	3 23
3 27	8 86	5 171	6 163	4 159	9 81	0 122	2 115	1 18	7 53
0 64	1 165	4 78	3 34	5 182	7 155	2 145	9 144	8 162	6 179
9 158	4 104	1 99	7 131	8 159	3 129	0 10	2 80	6 192	5 65
0 182	7 71	3 193	5 178	6 86	2 109	8 5	9 115	1 1	4 192
9 88	0 192	8 60	1 10	3 106	2 83	4 198	5 2	7 56	6 149
7 192	6 35	1 1	2 200	3 45	9 182	8 80	5 94	4 75	0 193
