90	15
2 194	5 175	6 170	11 160	4 81	14 146	9 110	0 149	12 91	8 27	10 37	7 130	13 64	1 71	3 23
4 167	11 104	2 143	9 198	3 168	8 139	5 37	12 99	7 158	14 80	6 104	0 46	10 8	1 156	13 136
11 75	9 114	8 43	2 1	1 93	13 65	0 94	7 45	12 70	3 32	14 138	5 139	4 54	6 81	10 11
12 148	14 168	5 154	10 79	2 186	6 127	9 124	11 98	3 143	0 156	1 120	4 141	8 137	13 64	7 34
12 81	4 70	11 50	10 121	5 43	1 172	9 68	2 169	14 20	0 103	13 191	8 13	3 103	7 66	6 126
14 141	2 30	9 107	13 1	8 173	10 57	5 122	11 101	3 99	4 36	7 77	6 119	12 97	0 88	1 39
12 56	0 171	4 120	3 101	9 92	11 85	5 163	14 91	2 182	6 137	7 122	10 191	8 18	1 76	13 137
10 164	12 191	14 50	13 73	0 132	11 120	8 57	3 32	6 161	2 152	4 169	1 72	5 198	7 150	9 73
4 50	6 40	7 168	11 36	13 9	5 9	14 48	2 58	9 152	8 143	10 156	3 141	0 150	1 137	12 124
10 32	1 77	12 193	11 15	13 11	7 148	14 109	0 130	8 76	9 149	3 156	2 181	5 187	4 137	6 84
13 120	10 6	9 83	8 18	1 90	0 22	2 87	6 60	4 4	5 181	7 3	14 13	11 11	12 85	3 158
10 109	1 169	7 155	3 62	2 155	6 30	13 84	8 62	4 89	5 135	14 60	11 59	12 164	0 65	9 13
2 176	12 157	3 186	13 136	8 33	11 145	1 74	9 141	10 181	14 165	7 28	5 19	4 140	0 73	6 190
11 10	14 47	8 116	6 177	13 126	10 146	4 3	5 195	3 23	1 22	0 136	9 4	2 14	12 47	7 171
1 62	9 112	0 122	12 38	10 104	13 176	3 97	2 127	6 48	5 11	11 197	8 28	14 166	4 37	7 92
11 13	10 199	14 194	8 44	0 20	2 198	5 183	12 110	4 9	13 133	7 40	6 76	9 59	3 11	1 144
4 184	5 32	10 17	6 131	2 171	9 85	1 42	11 7	13 171	8 105	12 49	7 133	3 69	0 6	14 151
7 181	2 185	1 36	14 60	12 113	3 160	11 40	6 119	4 36	10 172	5 2	9 119	0 77	13 39	8 2
10 29	11 120	3 84	12 51	8 142	5 104	7 55	0 102	9 88	2 138	13 71	6 134	4 136	1 155	14 21
10 127	8 129	1 95	5 81	0 109	2 193	13 162	9 82	12 163	7 57	3 137	4 197	11 22	14 30	6 77
