100	15
6 152	13 196	2 116	3 45	0 134	12 186	7 121	9 36	1 145	5 188	4 25	14 171	10 115	8 132	11 181
11 136	5 42	4 120	12 169	0 196	8 43	13 184	6 18	14 162	2 52	10 190	1 66	9 56	3 4	7 88
11 2	12 74	14 180	13 48	9 126	8 83	1 74	0 144	2 159	6 18	3 197	7 43	10 40	5 29	4 129
7 152	4 38	14 68	2 3	12 130	6 142	8 12	0 91	13 185	3 116	5 126	10 143	1 139	9 56	11 167
8 144	1 160	9 92	12 120	10 43	5 35	0 147	4 95	2 152	13 191	6 122	7 169	14 176	3 51	11 176
10 118	14 66	4 92	13 178	9 117	1 192	6 183	5 38	2 24	3 184	8 123	12 108	0 32	7 37	11 157
13 6	5 21	1 68	12 117	6 25	7 75	4 157	10 80	11 2	8 37	2 96	14 17	0 72	9 157	3 147
3 108	11 57	8 182	2 119	10 11	14 43	5 87	7 23	6 169	0 157	4 154	13 110	1 146	9 72	12 183
12 127	7 128	11 33	3 143	6 17	10 128	9 123	13 80	1 114	5 152	0 159	8 127	14 200	2 190	4 91
3 170	1 125	8 4	0 153	7 46	6 119	10 41	5 88	12 191	9 65	4 196	2 173	13 56	14 51	11 48
4 132	11 149	12 94	8 94	5 2	2 65	0 154	6 39	9 23	7 193	10 51	1 164	3 77	13 23	14 99
5 34	3 1	8 131	7 3	13 162	14 97	2 50	4 93	12 130	11 24	0 91	10 148	1 24	6 172	9 140
2 44	4 31	13 31	8 91	6 188	10 179	12 34	9 122	11 7	5 61	7 131	14 111	1 165	3 160	0 160
14 145	2 83	13 192	1 68	3 61	5 25	12 3	6 130	7 71	4 37	8 90	9 20	10 28	0 89	11 138
1 45	13 145	5 165	6 57	0 61	14 135	10 103	3 72	9 84	12 197	2 120	8 110	4 14	11 184	7 14
5 199	3 23	10 64	9 172	0 30	7 87	2 34	11 179	8 23	13 81	4 189	6 135	12 49	1 194	14 24
1 4	6 76	11 7	5 77	12 91	8 111	2 9	0 112	4 156	7 129	9 38	10 89	13 121	14 67	3 69
2 130	13 62	5 181	8 30	0 93	6 6	10 57	7 59	12 196	9 89	11 117	4 46	14 194	3 125	1 10
9 103	10 184	14 27	13 68	6 70	12 91	7 27	4 115	1 113	0 94	3 143	2 190	8 46	5 60	11 71
8 102	9 40	11 54	0 7	5 3	10 55	7 195	1 98	3 173	14 126	12 20	2 109	6 58	13 94	4 93
12 78	4 103	10 67	2 166	8 130	11 98	0 39	7 107	3 45	13 123	5 123	9 172	14 115	1 189	6 90
0 65	7 87	3 162	8 32	6 50	10 53	4 194	2 86	12 162	9 55	1 12	14 70	13 184	11 156	5 194
12 137	11 127	1 168	7 54	0 18	3 42	6 75	8 2	9 117	5 139	13 157	2 134	14 19	4 194	10 60
5 66	2 199	8 136	10 154	13 133	7 103	1 103	6 74	9 29	3 28	4 83	14 11	12 8	0 112	11 190
6 70	1 170	2 122	10 124	9 112	4 80	7 124	3 32	14 47	0 184	13 195	11 60	5 90	8 14	12 171
7 129	8 145	1 36	3 136	6 45	5 153	11 19	12 46	13 146	2 69	14 199	10 121	0 161	9 51	4 187
10 159	1 24	4 145	8 77	13 15	0 163	7 133	11 50	12 192	14 84	6 172	2 11	5 133	9 138	3 129
7 172	12 116	0 193	1 103	3 138	2 149	5 103	6 33	8 17	11 156	10 128	9 64	13 108	14 96	4 128
3 86	5 50	2 76	7 138	10 95	14 195	6 67	8 146	1 74	0 151	11 61	9 165	12 188	13 5	4 174
3 60	5 150	8 93	12 38	4 113	7 11	2 104	9 195	10 150	13 67	14 37	6 189	0 100	1 174	11 146
11 90	3 160	13 3	8 60	5 146	2 40	10 165	1 141	12 194	0 82	7 32	9 172	4 4	6 59	14 180
0 195	8 151	13 123	10 77	3 23	9 19	7 173	5 132	14 154	4 131	11 158	1 116	12 181	6 3	2 133
11 107	4 153	1 101	13 145	5 14	0 66	2 49	9 123	7 92	12 15	14 153	10 24	8 29	3 64	6 189
12 139	3 115	2 171	10 20	7 172	0 175	1 76	5 90	11 28	9 40	8 157	14 82	13 154	6 167	4 110
10 173	6 3	11 133	3 150	5 191	2 148	7 141	14 147	8 64	0 82	9 8	13 80	1 38	4 28	12 24
14 59	2 108	9 99	8 11	10 177	13 84	4 197	3 109	1 113	12 17	6 104	0 135	7 192	11 158	5 61
1 43	0 171	3 76	6 112	12 45	13 24	2 118	11 55	7 101	4 63	8 68	14 81	9 67	5 10	10 173
