30	15
9 15	13 2	2 57	5 92	1 5	0 76	10 87	6 71	3 91	7 7	14 85	11 64	8 32	12 44	4 83
1 37	12 27	9 47	14 74	2 89	5 91	3 86	0 71	8 74	4 83	10 28	13 6	6 23	11 32	7 93
11 73	1 10	6 62	5 42	13 1	14 2	2 61	4 50	3 69	9 40	7 11	12 27	0 95	10 73	8 26
7 2	1 67	6 80	11 19	5 83	12 55	3 76	14 9	13 64	0 67	9 8	8 32	10 26	2 86	4 11
2 66	1 7	0 43	6 97	9 65	7 27	13 6	3 86	14 80	8 53	12 15	4 95	11 90	10 9	5 61
4 46	9 23	0 98	10 78	6 69	1 12	14 88	8 49	2 56	5 14	11 34	12 4	7 42	13 75	3 28
5 98	3 59	1 52	4 93	7 78	14 10	9 68	11 11	0 31	2 83	12 65	10 7	6 40	13 85	8 60
12 87	8 99	0 98	9 56	10 89	11 28	7 74	5 58	4 89	1 56	2 66	6 29	3 96	14 96	13 37
6 4	8 89	12 89	13 73	0 37	1 38	9 1	14 71	10 80	3 2	7 44	5 22	11 2	2 36	4 17
4 91	11 30	1 71	13 8	6 39	14 16	2 15	5 93	9 82	10 81	3 2	12 50	8 84	7 13	0 16
8 63	10 59	9 50	5 36	7 29	2 75	6 70	12 79	13 22	14 34	0 55	3 36	11 69	4 34	1 77
1 62	9 17	7 34	11 13	0 57	6 42	13 39	10 39	5 53	8 50	4 19	12 52	14 10	3 50	2 32
13 41	11 92	5 78	4 83	7 60	9 29	14 31	3 60	0 96	8 18	6 72	2 53	10 9	1 54	12 26
12 5	5 38	0 95	11 42	2 66	4 39	8 68	3 46	14 95	9 3	13 73	7 14	1 3	10 46	6 48
4 49	10 53	2 77	7 39	3 89	5 80	1 1	6 61	8 12	9 45	13 64	12 98	14 44	11 62	0 7
7 89	3 56	13 45	1 19	10 54	6 28	2 81	5 17	0 89	12 81	14 66	4 64	8 93	9 26	11 62
7 47	11 4	8 60	13 21	2 63	5 2	1 57	14 34	10 83	12 30	9 68	0 5	3 94	6 44	4 38
2 29	4 6	7 43	1 28	9 80	13 96	0 42	8 61	14 41	10 90	11 12	3 89	12 3	5 12	6 82
14 23	2 76	10 24	3 19	13 81	7 71	5 4	4 12	1 18	11 70	0 71	12 69	9 73	8 1	6 94
12 70	2 24	3 98	10 49	4 48	6 89	7 88	1 62	11 69	8 83	9 36	13 53	14 43	0 32	5 21
8 22	3 76	5 7	0 92	7 41	4 72	9 9	2 57	12 58	11 32	1 57	14 40	6 50	13 77	10 67
5 53	12 42	7 59	3 12	13 90	4 68	9 63	11 36	10 55	14 86	6 14	0 85	8 18	2 33	1 72
3 40	14 49	9 75	1 79	13 78	11 52	5 30	10 13	8 92	0 33	4 9	2 59	7 24	12 77	6 54
7 75	0 68	9 75	5 82	10 45	14 66	13 91	2 6	12 85	11 41	1 71	8 62	4 47	3 59	6 42
4 89	2 66	1 97	0 72	12 49	14 96	5 34	8 33	3 37	6 56	9 47	7 95	10 8	11 8	13 98
11 74	6 31	9 57	3 83	7 25	10 43	14 5	12 24	13 72	2 13	0 80	1 6	5 68	8 82	4 34
13 97	7 35	10 83	8 80	14 25	1 75	3 33	11 40	5 20	4 1	2 86	6 2	0 87	12 53	9 46
9 11	13 46	6 83	11 69	4 39	8 13	14 26	0 87	1 24	3 76	5 66	7 70	10 9	2 69	12 98
5 64	3 3	11 71	9 93	10 25	12 64	14 68	6 32	13 26	4 91	7 5	8 89	2 71	1 95	0 94
8 82	9 45	14 82	10 98	7 44	6 22	13 64	12 17	5 35	0 89	1 99	4 81	2 41	11 33	3 48
