70	10
1 112	3 171	4 10	8 195	9 3	2 161	6 16	0 54	5 172	7 135
0 31	7 33	8 24	4 73	5 6	1 161	2 150	9 200	3 186	6 133
0 62	1 78	6 43	7 199	4 2	8 74	9 126	5 35	3 155	2 72
3 32	5 55	9 199	6 129	7 25	0 15	4 132	2 34	1 165	8 28
8 39	1 166	3 23	9 167	2 119	7 77	4 151	5 168	0 185	6 129
5 24	4 54	7 111	8 70	0 135	9 169	1 172	3 54	6 3	2 87
2 116	7 46	8 105	3 166	1 158	6 153	5 175	9 102	0 187	4 112
3 34	7 190	9 157	6 71	0 25	1 54	8 75	5 145	4 47	2 131
6 94	3 24	8 148	9 141	7 60	5 179	0 17	2 78	4 169	1 109
4 120	5 40	1 127	2 87	8 19	6 131	7 155	3 168	9 22	0 35
8 168	6 11	2 5	7 191	9 55	5 56	1 98	4 93	0 87	3 15
7 83	4 171	5 60	3 196	0 19	6 15	9 59	2 32	1 26	8 176
9 182	0 109	2 40	3 135	6 28	4 196	1 84	7 192	8 110	5 118
6 68	5 80	4 148	8 168	7 167	3 4	0 176	1 45	2 22	9 90
4 133	6 95	5 144	0 6	7 134	3 120	9 22	1 87	8 123	2 19
7 180	8 55	3 29	9 118	6 193	0 53	5 192	4 135	1 59	2 99
2 51	4 28	0 91	9 111	6 31	5 118	8 59	7 145	1 197	3 155
4 154	6 102	7 92	3 90	1 29	8 80	0 115	5 114	9 19	2 93
4 138	7 194	9 92	6 91	1 3	0 121	3 176	2 66	5 122	8 51
4 120	0 73	6 116	9 33	2 151	7 198	5 94	8 190	3 108	1 176
5 37	6 180	4 145	7 181	2 175	3 113	8 96	0 159	1 153	9 153
0 7	7 175	8 195	4 103	2 66	3 10	6 6	1 122	9 113	5 28
7 161	9 196	3 75	5 177	6 5	1 114	0 99	8 4	2 74	4 173
0 137	8 19	4 43	1 39	3 99	5 149	6 39	9 64	7 27	2 141
2 70	9 185	4 145	5 114	8 9	1 70	6 1	0 154	7 25	3 104
9 16	2 121	4 141	7 134	1 156	3 2	8 120	6 122	5 73	0 78
8 52	7 41	4 197	9 37	3 176	5 186	2 115	1 102	0 123	6 146
6 12	1 172	0 151	7 127	3 144	5 200	4 146	8 180	9 24	2 100
8 41	9 85	1 63	3 91	6 114	7 10	2 23	0 194	4 162	5 60
6 107	0 163	9 130	1 104	5 200	4 62	7 89	8 27	2 24	3 117
5 53	3 175	1 200	4 191	7 26	0 61	8 48	9 173	2 191	6 63
1 156	2 37	4 78	6 45	8 130	0 100	5 128	7 122	3 93	9 149
2 187	3 58	7 157	4 101	0 11	5 62	1 61	8 110	9 45	6 27
2 118	7 12	0 46	6 187	8 56	5 102	9 76	1 104	3 26	4 155
3 61	4 101	6 95	1 187	8 172	7 5	0 169	9 4	2 173	5 46
5 126	3 32	2 198	4 41	7 16	0 131	8 52	9 161	1 16	6 158
8 44	7 26	4 149	5 143	3 192	0 37	9 176	1 124	2 39	6 159
3 79	0 62	4 126	2 26	9 87	7 171	5 175	8 111	1 172	6 12
1 38	5 90	7 113	6 193	3 135	9 154	2 81	4 134	8 122	0 158
0 198	9 181	1 187	6 32	8 46	4 181	2 28	5 134	3 94	7 99
7 128	6 150	3 98	9 38	5 30	4 50	2 86	0 148	1 70	8 138
0 6	3 29	2 108	9 166	8 18	5 131	7 89	1 100	6 45	4 36
6 69	2 153	8 179	5 28	9 52	1 65	3 132	7 144	4 51	0 105
7 105	6 77	2 64	4 8	5 120	9 176	0 98	1 193	3 24	8 170
2 56	7 65	3 98	5 105	0 48	6 95	8 87	4 167	1 192	9 42
2 72	1 167	3 1	0 133	8 188	4 199	7 109	9 151	5 96	6 175
4 118	5 170	8 195	6 75	3 170	7 143	0 126	2 141	1 156	9 167
3 94	6 78	7 14	0 3	5 22	2 64	1 25	8 11	4 51	9 118
6 3	7 175	9 96	4 24	8 188	2 172	5 179	0 120	1 33	3 62
6 14	8 189	5 126	9 158	1 122	3 176	2 65	0 64	4 47	7 86
4 112	9 185	7 64	3 196	8 140	6 67	0 102	2 37	1 125	5 90
9 64	0 54	5 35	7 155	6 19	8 115	1 150	3 56	2 132	4 199
3 149	0 155	2 195	1 102	4 5	9 139	5 139	7 20	6 54	8 162
0 74	1 152	6 101	4 95	5 18	7 16	2 65	8 97	3 38	9 31
6 98	0 131	7 115	2 8	4 126	1 116	3 102	5 103	9 90	8 35
1 173	0 51	6 55	8 129	2 80	7 132	9 50	5 186	3 188	4 27
3 194	7 42	9 54	4 29	6 183	2 7	0 122	1 51	8 67	5 14
7 101	8 117	6 26	2 97	9 140	4 114	5 153	1 179	0 8	3 100
7 157	5 104	8 190	0 53	6 80	3 58	1 141	2 63	4 120	9 91
2 190	0 177	7 16	9 32	3 26	1 133	6 88	5 4	8 182	4 67
3 123	7 7	5 189	4 37	2 35	9 122	8 145	0 104	6 24	1 193
1 26	9 175	6 199	7 14	2 41	4 29	5 61	0 191	8 71	3 148
9 106	4 54	1 29	3 120	7 91	0 131	2 200	8 97	6 55	5 50
7 149	0 128	5 49	3 49	8 179	9 62	1 99	6 119	2 190	4 86
0 167	1 25	2 18	5 137	7 112	3 27	4 49	9 80	8 181	6 171
1 114	8 191	0 162	4 84	5 180	9 118	3 70	2 43	7 84	6 40
9 172	1 20	4 149	6 122	8 49	0 75	2 165	7 181	5 195	3 28
2 42	5 182	4 167	9 121	7 92	0 144	1 133	6 154	8 8	3 176
5 23	2 71	6 135	0 100	9 37	4 118	8 97	3 187	7 99	1 106
6 64	7 168	1 165	8 31	3 51	0 3	5 165	9 176	2 72	4 11
