30	5
0 186	4 21	3 176	2 193	1 177
1 68	3 33	0 92	4 129	2 81
3 180	0 16	4 101	2 13	1 140
1 62	0 112	2 20	3 131	4 105
4 169	2 76	0 156	3 122	1 9
2 14	1 42	3 199	0 128	4 147
3 45	0 192	4 150	1 38	2 84
4 18	2 67	1 56	0 89	3 64
3 62	0 160	1 91	4 67	2 16
1 151	4 112	0 19	3 91	2 91
4 177	2 99	1 35	0 72	3 100
0 11	2 38	3 83	4 180	1 137
2 150	0 49	3 189	1 159	4 128
4 167	1 148	2 133	0 40	3 37
3 184	1 125	0 149	4 72	2 102
0 12	1 18	4 192	3 193	2 37
2 173	1 173	0 38	3 179	4 130
4 40	2 80	0 178	1 18	3 88
0 25	4 185	2 14	3 15	1 117
2 155	1 181	4 23	0 53	3 181
2 141	4 97	1 25	0 47	3 150
1 170	0 58	2 176	4 144	3 131
0 52	4 33	2 156	3 187	1 72
4 61	1 145	2 110	3 192	0 175
4 8	2 124	1 105	0 4	3 50
4 114	2 160	0 171	3 61	1 87
4 83	2 40	0 8	1 53	3 49
0 114	4 19	1 142	3 72	2 43
1 112	3 170	2 131	4 188	0 103
0 44	3 135	4 190	1 10	2 23
