50	5
4 102	3 81	1 63	2 75	0 173
4 99	0 170	3 23	1 181	2 115
1 126	4 181	2 38	0 100	3 195
1 110	3 93	0 129	2 155	4 60
1 142	3 83	2 143	4 46	0 2
1 109	4 114	3 111	0 88	2 38
3 176	2 153	0 37	4 199	1 104
0 120	1 53	4 42	3 17	2 128
1 169	0 7	4 187	2 72	3 30
4 68	1 110	2 116	3 154	0 40
3 112	4 8	0 179	2 138	1 77
3 170	4 85	0 67	1 197	2 89
2 33	1 34	4 111	0 143	3 128
0 184	4 179	1 18	3 58	2 49
1 86	3 120	2 39	0 84	4 31
1 124	2 196	0 41	3 166	4 57
2 147	4 11	3 98	0 1	1 33
0 45	4 121	2 155	3 78	1 96
1 71	4 38	3 114	2 112	0 191
2 137	4 23	0 21	3 51	1 78
1 171	3 108	0 34	4 195	2 21
3 88	4 23	2 156	1 125	0 200
1 182	2 115	4 144	3 2	0 18
2 151	1 122	4 47	3 25	0 99
4 143	0 144	1 66	2 92	3 199
4 67	0 185	2 84	1 47	3 63
2 96	4 45	1 119	0 57	3 21
0 21	4 2	3 79	1 137	2 39
0 58	1 53	4 82	2 34	3 132
0 68	4 192	3 17	1 13	2 111
0 58	1 13	4 191	3 122	2 19
3 126	1 88	4 124	0 147	2 121
1 116	4 37	0 94	2 165	3 140
0 102	4 189	2 30	3 58	1 121
1 137	0 16	3 31	2 111	4 123
0 186	3 194	2 109	4 199	1 83
2 41	4 122	3 156	1 18	0 85
2 136	0 175	1 149	4 60	3 92
1 27	3 49	0 142	2 143	4 86
1 37	2 153	0 97	3 126	4 147
4 26	2 131	1 132	0 24	3 1
3 101	0 148	4 19	2 39	1 79
0 152	1 5	3 42	2 178	4 2
3 65	2 105	4 1	0 39	1 60
3 178	2 41	0 5	1 103	4 16
4 123	1 2	0 102	3 158	2 29
1 2	3 130	2 49	0 91	4 23
3 52	2 25	4 47	1 22	0 103
3 169	2 197	4 177	1 45	0 141
1 123	2 3	4 120	3 185	0 66
