20	70
58 21	11 70	15 87	12 60	46 72	64 22	65 48	66 90	54 37	56 46	69 18	26 45	13 63	10 21	34 80	4 11	49 2	60 51	27 17	17 26	24 26	55 8	37 93	62 53	21 94	40 71	48 80	18 40	0 48	50 84	7 54	51 97	1 56	28 35	67 38	42 54	5 5	8 32	3 94	29 48	20 53	23 31	44 78	57 12	68 36	19 43	14 87	31 70	39 27	59 44	9 81	41 89	16 65	35 43	32 26	2 65	63 4	36 78	43 98	30 18	47 16	52 24	53 14	33 31	22 2	25 34	61 30	6 57	38 90	45 25
11 92	25 16	61 53	17 43	27 55	26 28	38 21	12 31	64 38	46 2	13 19	34 29	3 16	36 12	40 22	54 8	19 32	57 19	42 52	69 18	59 96	21 39	6 13	1 6	56 53	62 58	51 96	66 42	31 14	29 67	41 43	23 74	35 70	67 33	28 95	18 15	49 59	16 13	2 42	9 27	53 49	63 79	68 37	45 36	60 1	33 80	50 69	24 37	30 45	20 8	8 64	0 15	43 14	58 20	5 23	15 58	32 13	48 88	55 58	39 60	22 76	52 95	44 1	10 38	14 71	65 70	37 5	7 29	47 86	4 37
49 34	8 31	30 12	28 66	50 17	38 96	3 8	25 15	40 19	23 81	20 81	6 65	36 63	27 83	1 89	16 36	4 48	32 70	21 80	18 85	5 93	59 91	22 51	11 26	63 63	57 25	15 2	58 84	7 74	26 42	60 11	45 27	48 32	66 40	61 5	54 96	2 54	52 65	17 64	55 62	12 22	19 60	53 52	24 23	51 81	34 67	31 3	69 80	14 26	65 76	0 75	56 13	29 74	39 72	9 27	47 46	37 12	68 25	42 13	35 70	33 55	46 12	13 19	44 27	43 51	67 55	62 58	41 65	64 42	10 70
42 31	4 75	26 33	67 3	41 64	10 88	12 42	45 49	52 48	59 55	53 41	22 89	47 33	62 5	64 72	24 31	65 33	29 84	36 94	11 23	50 18	25 64	8 83	15 87	58 6	37 29	14 31	34 28	17 10	30 5	57 84	56 80	69 99	21 51	7 19	6 99	44 95	23 91	39 15	60 75	43 23	63 41	46 13	18 40	0 93	32 80	27 14	49 46	31 23	2 79	33 30	28 21	48 44	51 18	55 86	61 43	16 26	20 37	19 94	38 28	3 57	68 64	40 37	35 80	54 38	9 1	1 60	66 19	5 11	13 64
26 79	20 71	47 72	51 47	38 57	57 10	49 2	68 69	25 39	14 67	60 23	9 36	69 31	23 15	29 9	64 65	16 36	17 78	36 57	58 4	0 97	44 66	32 88	3 55	21 67	31 55	59 66	52 17	28 91	22 57	37 3	39 54	5 13	54 31	40 12	30 73	66 45	7 48	53 13	35 37	18 23	48 87	56 55	1 42	19 36	42 96	33 47	62 77	15 76	24 81	50 40	61 57	10 18	6 97	43 29	8 29	67 29	34 61	11 77	65 73	41 95	55 11	12 30	4 59	13 36	27 39	46 54	45 41	2 24	63 54
6 14	48 50	51 7	68 2	28 5	47 75	14 23	32 63	38 3	22 30	21 34	0 10	62 52	33 21	44 1	35 32	50 84	2 98	43 69	53 22	24 40	20 74	9 52	66 69	49 87	12 44	11 38	5 91	37 62	26 28	41 26	36 52	17 22	64 93	59 67	27 15	65 41	39 52	16 1	52 11	61 46	57 81	31 17	54 84	45 36	58 5	1 75	40 3	67 60	29 48	63 2	23 98	10 92	8 84	7 55	60 69	25 97	13 46	15 23	55 73	69 49	3 81	4 51	19 95	42 45	46 75	34 66	30 25	18 96	56 86
67 11	59 80	69 1	3 74	35 57	51 43	23 67	5 58	13 51	44 88	7 70	42 44	25 74	57 18	38 57	63 19	22 94	58 85	66 72	12 26	41 91	15 56	19 40	36 38	46 22	54 47	2 81	14 85	27 99	10 48	6 32	16 18	33 78	18 82	62 70	50 99	37 79	32 53	48 10	17 14	65 48	11 11	39 26	61 53	0 2	64 76	43 58	9 68	56 5	28 64	30 10	40 47	29 12	4 92	47 62	8 24	60 21	45 89	68 78	52 25	34 12	49 50	55 58	26 20	53 97	20 41	21 45	24 96	31 51	1 88
58 60	37 68	45 89	50 34	15 15	10 5	32 78	12 68	23 46	57 67	16 48	41 83	13 5	26 67	19 52	25 65	59 76	31 95	55 58	65 24	43 89	14 2	66 65	42 73	28 10	9 80	54 66	34 93	29 63	46 51	20 15	68 13	40 43	35 5	51 11	53 23	7 74	49 42	64 13	52 9	36 61	63 5	2 37	0 88	6 44	21 32	61 48	5 65	62 53	3 29	4 53	18 37	24 63	30 30	60 30	38 52	67 38	39 9	69 46	27 93	48 65	44 17	47 90	56 19	1 39	33 37	11 28	22 82	17 93	8 64
69 22	8 76	45 9	18 8	32 25	14 46	6 86	43 19	37 67	13 44	36 47	20 33	39 74	61 47	53 24	30 50	58 1	42 91	41 5	22 40	46 3	47 18	11 4	59 78	16 48	48 83	51 9	17 99	63 80	40 61	35 73	15 26	44 49	3 90	10 15	31 39	9 37	54 34	50 56	67 64	23 30	19 10	24 81	7 14	12 73	4 54	64 12	55 28	49 83	1 49	62 19	60 91	52 31	27 96	68 13	26 14	25 33	28 53	38 69	65 37	5 98	29 88	2 23	56 86	57 88	0 72	33 71	34 50	21 36	66 41
37 94	57 98	17 77	54 42	36 85	6 42	14 28	60 28	4 52	30 93	45 48	5 33	15 24	65 30	1 73	24 24	38 34	23 61	39 68	2 81	21 25	10 98	50 16	19 79	27 10	62 22	22 22	31 8	48 9	16 60	52 62	41 18	51 86	67 39	9 98	32 47	42 47	29 2	49 46	11 68	68 55	55 50	34 10	56 36	43 98	64 44	58 36	33 6	59 48	26 97	61 74	44 24	0 78	18 65	63 79	3 89	69 55	28 54	35 11	7 2	20 22	12 29	25 41	40 72	13 76	53 47	46 13	8 81	66 63	47 69
32 98	56 19	34 81	22 51	58 98	44 6	20 71	13 11	30 97	3 40	25 46	40 1	67 91	45 27	62 66	46 82	47 36	15 47	14 53	35 53	28 59	57 74	64 54	29 88	53 31	43 8	36 15	5 64	42 27	4 66	65 99	21 77	6 77	11 65	37 45	2 18	17 78	23 30	50 61	1 44	59 90	0 30	55 15	27 59	60 81	19 56	63 42	24 52	12 99	68 20	48 83	61 82	7 54	52 29	8 38	41 53	9 39	69 77	66 34	51 52	18 88	38 14	26 44	49 8	31 86	39 80	10 73	16 79	33 71	54 15
