80	10
2 78	3 47	7 82	8 41	9 11	4 61	1 67	0 4	6 94	5 75
6 32	2 98	7 73	8 35	3 93	9 61	1 40	4 81	0 28	5 67
6 23	8 46	2 67	0 90	9 76	4 78	5 96	3 19	7 31	1 92
0 43	1 24	6 34	2 79	7 50	3 84	5 8	9 99	4 41	8 12
0 98	5 53	9 50	2 33	4 25	3 37	7 89	8 62	6 59	1 68
3 14	8 57	2 13	9 78	5 83	4 90	7 33	0 18	6 76	1 76
8 99	2 88	6 76	1 2	4 73	5 65	3 34	0 78	7 43	9 99
0 55	7 53	2 70	3 53	6 25	1 11	8 51	9 88	4 31	5 19
8 70	7 47	9 99	6 94	3 84	4 31	0 49	1 75	5 19	2 19
3 81	5 59	6 79	8 56	1 51	2 53	9 35	4 38	0 51	7 97
9 13	1 6	6 99	7 72	4 38	8 64	3 75	2 32	5 57	0 87
4 59	6 4	8 95	7 71	3 73	9 48	0 31	1 40	5 50	2 78
0 13	9 73	8 62	2 36	6 48	3 3	5 89	4 44	7 95	1 8
0 61	2 13	3 59	9 8	8 77	5 51	6 80	1 73	7 72	4 79
2 39	9 37	6 58	4 37	0 99	5 66	3 40	8 78	1 87	7 38
5 79	7 34	9 48	3 41	1 83	6 29	2 43	8 22	0 71	4 68
3 76	4 69	7 75	1 83	2 86	6 94	5 83	9 38	0 9	8 38
7 7	8 98	9 9	2 44	1 51	0 4	3 52	5 64	4 87	6 59
0 18	8 54	7 10	5 16	1 34	2 63	4 50	9 19	6 17	3 41
3 36	0 54	4 51	7 87	2 62	5 82	8 22	9 47	1 90	6 32
6 35	5 93	2 7	3 87	0 63	8 89	9 55	7 64	4 94	1 82
0 26	1 63	6 33	4 32	9 42	5 32	2 88	7 42	3 45	8 74
0 41	4 17	1 84	9 37	3 99	8 31	2 6	7 77	6 6	5 6
4 59	2 38	9 33	6 45	7 6	0 46	5 11	3 2	1 21	8 33
7 2	3 60	8 92	1 85	9 92	4 81	2 90	0 3	6 38	5 10
2 59	3 72	8 64	9 6	6 4	1 82	4 32	7 11	5 27	0 7
4 76	9 93	0 84	1 60	5 92	3 91	2 16	6 57	7 59	8 21
9 40	2 5	7 16	0 52	1 96	4 39	6 54	3 87	8 22	5 49
7 71	2 99	6 43	3 2	1 75	0 76	8 10	5 66	9 71	4 85
7 91	6 49	4 27	3 16	1 94	9 91	5 74	2 14	0 77	8 31
5 88	0 94	4 70	8 44	9 76	1 43	7 8	6 35	3 19	2 35
2 90	4 95	1 65	6 96	9 98	3 27	8 84	5 2	7 34	0 22
8 17	9 89	6 75	5 68	2 86	4 25	3 43	0 27	7 12	1 79
7 76	2 19	9 70	6 15	3 97	5 81	0 14	1 2	4 25	8 6
7 49	0 86	2 29	8 6	6 74	1 64	9 24	5 66	3 30	4 87
3 46	7 4	8 59	2 83	1 29	5 88	6 47	9 61	4 99	0 90
9 73	7 62	6 24	8 48	4 14	1 83	5 61	3 14	0 44	2 35
3 73	2 4	7 18	5 27	4 9	0 93	8 41	1 45	9 1	6 4
0 32	7 12	8 9	5 66	1 29	2 60	3 44	6 92	9 5	4 64
0 72	3 69	4 79	6 30	1 18	8 65	7 41	5 90	9 74	2 96
2 94	7 13	6 3	4 31	1 70	8 96	0 37	9 49	3 1	5 24
5 97	1 21	8 72	6 50	0 66	3 20	9 96	2 30	7 67	4 23
2 86	0 89	5 99	6 18	4 51	1 26	9 18	8 75	3 19	7 65
0 6	5 82	4 86	9 60	7 81	1 44	6 83	3 78	2 47	8 59
2 37	7 90	9 20	1 46	6 20	3 71	0 5	8 61	4 87	5 18
5 15	2 87	8 7	0 84	6 98	9 43	3 68	1 38	4 40	7 72
1 22	0 39	2 68	8 77	7 76	4 24	9 6	5 31	6 40	3 32
4 30	8 37	0 43	9 61	2 94	5 9	7 33	1 82	6 53	3 3
0 81	9 51	6 40	2 19	8 30	1 15	7 45	4 37	5 16	3 5
8 79	3 23	5 89	9 46	0 31	4 83	6 2	2 23	7 81	1 47
6 63	7 1	4 35	2 25	0 49	1 75	8 9	9 68	5 3	3 4
3 50	0 53	9 73	7 31	8 93	2 48	6 64	5 15	1 70	4 85
1 62	9 19	6 84	3 30	2 84	0 52	7 94	5 27	8 95	4 89
0 23	7 75	8 52	3 38	4 20	2 51	6 27	9 74	5 28	1 9
2 3	6 42	9 29	4 35	0 53	7 19	8 67	5 74	3 81	1 87
0 73	8 72	2 26	9 28	4 47	6 19	1 22	7 20	5 34	3 19
