15	70
47 6	51 86	24 76	68 80	67 96	16 61	1 86	37 72	9 22	48 57	52 54	56 22	38 3	39 28	61 27	57 89	5 52	53 80	42 37	54 79	69 23	20 53	60 57	45 31	62 84	27 81	58 36	23 89	40 54	29 96	59 56	7 35	0 36	30 5	25 67	15 47	26 99	46 1	66 25	50 73	17 31	35 77	6 42	3 75	36 31	63 69	44 61	14 47	19 87	22 27	49 12	21 55	31 51	8 3	34 86	65 96	32 77	13 26	18 67	11 10	41 80	43 81	55 46	64 42	28 24	12 99	10 83	4 48	2 82	33 34
10 96	48 56	22 26	3 4	43 81	25 26	38 93	16 27	26 98	21 16	12 92	19 43	67 10	5 11	34 21	64 35	20 21	6 96	52 73	36 8	65 9	30 33	8 85	7 45	33 59	13 95	53 85	28 29	32 7	23 4	37 64	68 84	27 56	56 11	40 41	59 98	69 9	18 16	61 44	55 99	57 51	24 38	45 24	0 69	31 63	47 35	63 85	2 73	11 86	42 49	54 50	46 7	14 59	35 76	29 38	44 67	9 85	1 24	15 71	49 58	58 22	50 77	60 87	51 84	4 77	39 51	17 68	41 84	62 66	66 93
39 2	40 55	11 78	3 10	47 40	57 90	61 92	19 82	23 92	38 57	56 65	5 80	0 60	27 50	29 9	21 70	12 36	42 40	31 58	43 6	50 44	55 71	37 27	58 24	53 81	68 90	4 58	28 84	65 95	41 63	10 5	67 20	13 82	17 38	60 32	59 57	18 90	26 53	36 72	22 94	46 20	51 60	15 53	44 87	16 80	64 88	48 55	54 88	20 32	63 1	52 34	62 82	35 19	45 88	14 34	34 98	24 72	30 8	25 85	2 27	8 28	1 60	49 92	69 56	9 44	6 48	33 13	66 3	32 88	7 45
38 24	33 74	64 53	46 44	51 7	7 64	13 92	0 58	54 52	28 2	41 93	24 5	30 80	66 83	45 15	19 28	2 63	58 19	49 66	14 44	1 1	61 69	27 92	31 94	9 7	50 53	22 53	10 22	67 78	26 47	8 52	69 19	18 46	21 43	34 38	16 2	12 57	5 72	52 87	53 40	37 97	63 42	23 38	56 54	65 77	17 81	42 79	40 52	3 58	57 88	62 4	59 64	36 56	11 52	15 1	29 78	55 75	43 80	32 63	25 60	68 93	35 74	48 79	20 71	60 75	4 66	6 99	47 5	39 76	44 21
30 64	1 65	50 60	7 19	56 94	24 31	29 68	35 84	31 84	12 58	13 8	2 81	62 89	10 41	19 17	18 39	25 24	28 24	9 92	53 83	15 46	63 82	14 33	36 93	54 51	20 53	64 83	60 56	68 17	55 31	37 34	22 99	8 92	43 53	47 63	4 51	39 59	41 35	49 87	11 47	34 78	27 3	45 18	57 70	59 89	58 91	40 97	21 38	46 71	42 3	69 26	6 79	16 9	32 45	66 96	23 33	38 62	52 2	33 51	17 39	67 76	3 2	51 1	61 89	48 82	0 3	44 38	65 95	5 90	26 99
49 69	50 29	69 1	29 70	59 94	31 61	5 48	61 40	0 8	58 91	43 83	32 1	12 29	20 4	18 34	13 48	37 11	53 92	30 50	1 3	45 24	7 79	19 12	33 21	24 12	67 72	10 26	8 89	11 47	6 22	35 62	40 7	52 96	27 19	4 18	9 41	44 45	2 68	68 61	48 83	34 79	22 18	66 10	41 16	28 9	14 87	51 35	26 59	3 80	56 41	25 85	23 12	62 87	64 66	42 29	21 38	39 32	47 38	36 55	60 5	16 78	15 15	54 24	65 81	57 20	55 56	38 76	17 9	46 65	63 27
20 8	44 15	50 99	49 39	39 63	25 44	32 64	19 21	3 45	52 48	64 30	42 95	67 42	47 9	0 70	11 65	16 76	60 54	30 48	6 51	31 90	56 21	68 63	45 59	21 49	66 11	37 22	2 55	18 11	14 80	46 30	4 16	38 6	15 25	55 86	59 76	48 68	24 30	17 95	22 21	58 30	33 88	63 37	57 3	27 58	13 96	54 64	29 98	8 32	69 63	36 60	7 97	5 10	53 50	12 71	34 74	1 87	26 10	43 46	51 73	10 31	23 50	62 69	65 76	41 55	28 30	9 2	61 18	40 29	35 95
9 11	23 20	31 62	30 30	33 6	12 22	35 38	53 98	62 15	42 71	37 76	39 53	15 15	24 33	21 32	16 96	58 38	0 28	38 37	11 29	36 99	46 35	10 10	65 64	40 34	44 19	51 34	54 68	13 59	32 50	48 24	29 63	63 6	1 88	18 33	52 4	69 98	7 90	6 39	64 46	34 52	59 34	41 48	2 17	14 34	17 89	50 72	60 45	49 77	4 63	25 77	5 54	45 78	68 22	66 69	43 38	26 81	8 80	47 26	27 77	57 97	22 67	56 69	19 18	67 51	3 72	28 47	55 54	20 1	61 72
28 22	41 46	25 69	53 24	68 50	10 40	57 31	21 32	36 95	35 57	13 63	17 43	4 99	5 65	31 88	18 57	7 58	15 65	44 28	27 93	16 38	49 72	43 5	29 13	12 34	3 95	56 42	61 2	19 49	6 3	0 57	59 21	54 21	66 51	58 92	37 35	55 72	8 91	2 54	62 68	64 70	20 15	34 63	30 84	39 95	26 13	32 78	48 97	45 34	23 94	50 95	63 35	14 1	33 76	38 51	11 73	51 12	1 33	22 11	69 97	65 14	40 25	60 19	24 3	47 3	9 27	52 38	46 9	67 5	42 61
36 1	51 87	26 30	19 50	47 38	49 8	43 57	13 43	28 65	67 14	38 46	63 67	20 63	8 84	50 68	60 66	27 69	0 72	48 45	18 67	44 1	12 46	29 20	58 89	31 89	39 54	14 94	59 28	45 92	10 39	5 81	54 37	62 19	30 93	57 63	32 89	15 70	24 8	55 72	2 12	21 65	17 96	33 73	52 49	35 61	11 2	16 68	25 85	40 31	9 39	37 12	53 80	65 14	41 98	3 64	69 52	4 2	6 1	23 69	22 11	66 60	34 92	42 65	64 21	7 58	46 68	68 2	61 31	56 58	1 98
64 54	32 8	27 90	5 54	54 54	12 47	49 20	14 13	18 61	69 86	6 49	20 76	24 39	33 16	7 67	28 2	50 33	59 73	57 71	56 93	37 3	44 86	34 94	36 18	58 52	38 84	19 84	67 13	1 1	16 81	25 28	8 67	0 87	68 70	43 73	46 46	35 52	4 72	53 47	51 5	40 44	10 87	41 90	13 67	9 17	47 55	21 11	48 43	23 66	26 55	55 76	39 8	61 76	52 10	22 69	65 33	63 33	2 38	29 55	62 8	66 29	15 6	45 71	31 97	3 65	30 73	17 55	60 57	42 28	11 99
18 21	65 69	36 45	39 79	28 50	33 58	59 73	34 71	55 34	31 78	57 97	62 35	54 49	44 89	13 58	25 26	19 9	53 95	40 2	29 25	4 83	41 7	60 83	15 65	21 8	16 51	22 61	5 54	47 99	9 31	17 1	20 87	52 30	50 87	7 77	38 52	30 94	48 17	10 18	12 21	2 7	42 89	58 55	8 52	1 89	63 38	37 71	56 76	26 56	11 8	64 51	35 83	6 52	24 69	32 39	69 78	61 2	49 73	14 11	51 89	27 87	68 68	45 19	23 48	46 21	3 78	67 87	43 56	0 14	66 46
61 6	52 3	4 1	69 46	62 47	9 32	27 96	38 72	11 35	0 50	58 61	43 39	51 32	41 54	2 98	14 23	31 95	45 88	35 19	54 94	8 99	53 17	7 74	44 37	59 75	12 4	36 61	67 2	65 29	32 21	17 89	34 39	55 68	63 73	3 86	23 38	13 74	40 92	1 35	16 78	64 17	15 26	28 34	39 78	24 64	26 13	21 53	47 26	20 28	57 36	30 22	5 38	56 31	25 95	19 37	10 23	37 94	46 76	22 67	66 81	48 83	49 81	33 18	6 16	42 68	29 6	68 46	60 10	18 98	50 9
2 67	21 67	30 53	40 49	13 51	23 28	27 99	42 75	14 55	45 63	16 66	29 88	19 81	48 7	5 17	41 61	50 6	1 44	33 35	67 50	6 97	43 16	68 81	10 5	34 15	64 49	35 68	12 79	52 33	32 59	31 29	60 34	54 29	18 94	28 81	65 61	51 72	22 53	25 32	55 4	17 32	7 94	36 33	15 86	3 12	62 53	58 55	24 67	9 64	53 11	47 90	49 85	66 42	56 63	8 57	38 99	11 12	46 72	37 37	63 83	20 48	26 76	61 92	39 65	44 60	59 57	4 24	69 54	57 77	0 51
22 87	24 69	6 99	67 18	4 41	10 55	50 89	60 57	47 78	62 47	63 56	18 75	9 38	0 65	42 75	37 33	51 21	30 45	56 69	58 76	26 9	52 31	39 74	17 29	15 79	55 71	2 30	68 12	28 93	11 92	32 75	8 77	1 70	5 17	14 77	59 58	48 60	49 2	54 6	34 40	27 36	45 16	7 79	25 75	57 56	12 18	21 76	65 52	64 52	46 41	20 36	33 27	31 74	35 16	53 71	69 84	29 35	3 5	13 42	16 24	19 79	66 7	36 74	43 29	44 70	41 75	38 32	23 98	40 66	61 24
