20	70
45 73	44 7	60 61	52 52	59 78	46 96	53 17	20 1	31 35	25 81	47 5	33 33	41 5	23 72	10 80	40 47	6 84	56 40	16 85	58 92	57 40	9 72	15 5	69 23	22 24	61 33	0 14	67 13	65 51	63 17	19 38	35 15	34 77	51 79	1 47	39 31	3 79	18 11	2 35	32 91	66 50	29 27	14 22	62 30	42 24	37 54	54 37	50 80	64 42	21 41	13 16	11 35	7 16	28 9	30 61	38 9	49 39	68 92	26 59	36 84	8 23	4 57	24 36	48 71	17 93	27 9	12 44	55 75	5 88	43 82
43 90	69 4	49 87	68 77	58 28	6 23	10 60	61 52	1 66	54 30	24 27	59 26	13 90	12 7	22 5	16 79	34 59	9 83	17 97	37 52	5 58	55 2	4 33	18 99	8 39	32 20	48 79	66 48	15 50	20 19	39 71	21 43	7 17	47 80	35 94	11 33	63 68	51 84	42 37	29 27	41 22	44 1	57 5	19 68	50 85	60 82	62 52	56 5	31 82	3 20	30 99	0 82	2 55	33 10	46 57	36 97	40 59	23 40	52 72	53 78	28 81	27 79	25 16	64 34	65 93	14 76	38 25	26 65	67 70	45 37
30 20	67 7	10 79	40 84	61 4	24 35	62 41	2 89	9 8	66 97	8 81	13 72	56 33	50 78	53 1	21 99	63 72	59 72	3 67	5 57	26 89	27 40	42 61	36 88	20 11	15 84	38 90	31 6	34 71	6 77	35 88	23 78	12 71	57 80	28 77	52 22	47 59	64 75	69 49	46 19	17 39	33 84	65 13	43 48	68 26	54 89	22 47	7 50	18 60	11 78	51 55	1 40	19 16	45 69	48 10	49 59	58 64	0 96	44 56	32 42	14 73	39 54	60 91	41 80	25 63	29 98	37 77	4 22	55 14	16 92
50 14	66 77	3 79	58 65	56 87	42 92	63 57	26 60	2 38	33 25	34 17	25 8	10 30	23 33	52 81	67 87	49 68	41 85	14 98	60 47	69 98	21 93	9 50	22 59	40 98	44 16	6 71	18 74	15 80	43 95	38 84	30 60	48 14	12 14	37 20	17 99	61 56	45 77	65 75	62 75	57 93	68 50	16 10	0 40	55 55	5 80	27 62	11 4	53 95	19 22	64 72	24 56	8 44	47 41	29 80	39 26	7 47	13 81	28 99	54 99	35 86	46 4	31 55	36 8	4 93	59 93	20 12	32 45	1 42	51 40
33 91	48 68	53 16	31 18	47 74	3 92	56 84	39 75	35 61	24 74	7 93	64 46	41 21	44 65	57 45	62 30	43 70	49 38	14 95	52 15	29 38	42 14	30 40	40 53	36 62	65 98	4 59	0 50	13 67	11 60	38 61	63 60	23 77	51 61	10 57	55 47	46 93	61 26	37 69	68 5	19 86	18 66	58 20	8 86	15 77	1 13	27 20	9 80	17 45	69 49	25 98	45 73	60 52	54 64	67 70	59 26	20 41	34 44	12 45	21 78	22 99	66 44	2 93	26 79	50 63	16 27	5 75	32 52	28 89	6 66
27 76	25 52	10 59	12 60	57 96	51 74	19 60	69 10	13 1	39 25	66 17	38 51	18 60	30 97	35 61	2 20	29 75	4 44	31 67	53 91	56 79	9 48	48 97	23 68	14 33	46 63	7 68	22 96	15 62	11 29	54 3	37 18	32 79	41 22	67 36	64 5	5 17	43 21	36 78	0 14	26 70	60 15	24 48	8 25	21 32	40 36	47 20	45 92	42 40	17 89	62 57	49 55	34 75	59 84	55 72	1 35	63 40	16 63	20 64	3 3	50 91	44 74	52 10	58 23	61 13	68 26	6 48	65 69	33 24	28 67
3 16	67 82	17 52	18 7	32 24	25 41	47 59	0 29	14 62	60 35	61 92	26 36	37 97	12 60	7 47	24 95	48 27	40 29	28 83	54 83	13 40	65 25	1 56	52 49	31 93	19 34	57 37	11 71	42 53	4 21	27 19	23 66	59 23	63 4	21 66	20 95	10 23	33 19	5 88	39 9	56 88	55 18	16 70	53 42	64 64	41 4	62 69	68 74	34 98	49 70	45 51	36 67	15 30	6 14	29 29	51 9	22 81	35 26	38 20	8 92	43 83	44 41	30 87	46 56	2 47	9 3	69 35	66 14	58 59	50 47
13 61	41 92	44 81	7 91	39 69	42 65	14 12	8 23	49 98	46 4	64 70	66 51	38 17	32 60	12 30	25 33	54 55	24 88	53 84	34 86	62 43	2 73	18 57	51 27	40 36	56 15	45 1	68 93	47 44	6 30	43 42	33 52	67 17	50 39	15 61	61 67	16 42	59 20	10 76	0 89	28 85	9 66	69 94	17 39	23 46	20 55	22 33	55 57	30 64	21 77	36 78	48 56	11 16	19 35	29 32	35 71	52 39	31 60	3 7	5 88	60 72	37 44	65 74	26 27	57 20	1 72	4 67	27 84	58 49	63 89
35 5	19 39	13 19	54 22	48 57	8 95	17 80	52 24	55 80	58 38	1 8	6 21	24 20	16 66	34 82	38 71	33 41	68 16	9 33	31 28	46 39	37 57	62 84	5 59	43 31	66 32	28 39	65 15	0 36	57 66	59 38	41 31	69 51	42 91	10 14	29 49	39 50	15 97	40 68	26 10	51 30	2 42	21 17	25 1	3 73	49 73	36 70	27 64	56 40	22 29	64 76	12 12	47 76	14 46	4 6	44 35	32 27	63 73	23 21	30 31	53 38	11 87	61 85	60 76	18 9	20 17	45 80	7 79	50 57	67 42
12 60	28 7	27 61	18 18	23 86	15 59	2 15	52 56	7 11	21 23	50 75	61 22	14 79	62 40	51 30	38 89	17 76	11 10	55 51	65 61	29 88	63 7	40 48	6 86	31 19	45 93	30 88	67 37	24 72	64 32	5 26	32 88	20 55	58 97	13 47	16 80	48 35	4 32	57 11	33 75	44 63	19 53	25 20	43 8	9 37	3 55	41 69	42 28	39 40	69 78	46 87	8 93	53 93	36 42	49 68	37 45	26 96	1 98	56 74	59 99	34 39	68 55	60 34	22 35	0 97	47 3	10 79	66 70	35 22	54 49
37 62	44 10	11 28	25 70	29 1	40 19	43 46	57 39	6 30	9 4	22 78	60 16	26 31	4 94	1 48	50 39	59 38	69 70	18 50	38 51	10 56	53 49	14 46	30 81	32 56	65 55	13 11	5 47	47 10	3 94	20 99	54 70	8 84	21 27	17 97	7 6	63 40	49 75	23 85	27 98	24 16	2 38	56 90	16 40	64 55	67 83	51 87	33 3	46 71	0 26	12 34	52 69	41 88	28 8	48 58	55 11	34 73	61 94	36 88	31 36	66 42	62 45	35 45	39 73	15 18	68 18	42 82	45 80	19 86	58 88
