50	5
3 16	4 75	2 99	0 62	1 17
0 7	1 33	3 15	4 97	2 62
1 80	2 69	4 68	3 36	0 83
3 51	4 20	2 68	1 8	0 64
3 70	4 18	2 70	1 16	0 64
1 70	3 44	2 15	0 93	4 52
0 48	1 99	2 4	3 42	4 69
1 26	2 56	0 7	3 25	4 53
2 73	0 18	3 1	4 73	1 15
2 73	3 20	4 36	0 83	1 25
2 39	1 30	3 16	0 43	4 12
4 23	3 78	2 14	1 11	0 52
2 60	3 11	4 83	0 23	1 23
3 40	0 91	4 18	2 59	1 1
4 55	0 89	1 22	2 53	3 29
0 73	1 88	3 95	4 30	2 9
1 18	2 88	0 31	3 33	4 6
0 89	3 49	2 81	4 8	1 87
1 15	2 53	3 27	4 62	0 51
3 85	1 10	4 20	0 4	2 6
2 75	0 82	4 5	1 94	3 72
0 56	4 46	2 76	3 44	1 25
4 47	1 86	2 39	0 73	3 22
3 30	4 55	0 77	2 97	1 7
4 50	0 53	2 49	3 79	1 31
1 33	2 39	4 95	0 95	3 71
3 81	4 1	0 10	2 62	1 48
4 30	0 21	3 81	2 28	1 81
1 64	3 6	2 34	0 8	4 74
2 76	0 34	4 89	3 25	1 59
4 72	0 99	2 41	1 89	3 44
2 14	0 90	3 7	4 98	1 62
0 35	3 24	2 26	4 5	1 34
2 90	1 72	0 30	4 23	3 18
2 90	1 68	3 78	4 26	0 4
3 67	1 56	0 4	4 8	2 23
4 44	3 53	1 59	0 32	2 92
2 6	1 35	4 25	0 19	3 94
1 9	4 3	0 27	2 61	3 60
0 93	2 85	3 29	1 63	4 29
0 90	3 85	2 21	4 95	1 13
2 9	3 3	0 1	4 66	1 85
0 83	2 65	1 81	4 12	3 17
1 55	2 75	0 26	3 27	4 23
0 77	4 93	2 94	1 24	3 50
3 67	4 68	0 54	1 19	2 85
1 65	2 15	0 70	4 36	3 55
1 96	2 71	0 11	3 56	4 36
1 87	3 71	2 90	0 73	4 42
3 65	2 93	0 62	4 14	1 88
