60	5
0 29	4 44	2 50	3 68	1 7
4 92	1 53	3 57	0 68	2 18
4 3	3 80	0 26	1 35	2 64
2 89	1 22	3 63	4 42	0 35
3 93	4 39	0 36	2 82	1 28
1 9	3 83	0 30	4 99	2 60
3 35	1 30	0 99	2 83	4 92
4 69	2 79	1 1	3 21	0 94
1 64	3 8	4 46	2 22	0 14
4 35	0 38	3 45	2 76	1 97
4 45	3 94	2 54	0 15	1 57
1 50	4 10	3 78	2 5	0 54
3 89	0 49	1 32	4 20	2 26
4 66	0 94	1 84	3 44	2 42
3 6	4 37	0 78	1 64	2 46
3 1	2 87	0 3	1 92	4 85
3 65	1 3	4 52	2 45	0 94
4 37	1 69	3 34	0 1	2 19
2 63	1 66	4 72	3 29	0 72
1 22	0 95	3 21	4 39	2 88
1 8	2 42	4 85	3 37	0 90
2 74	4 3	1 32	3 96	0 53
4 12	3 76	0 36	1 66	2 41
1 66	3 99	4 6	0 17	2 40
0 85	2 7	3 31	4 8	1 63
3 99	0 6	4 19	1 97	2 66
4 54	1 53	2 49	3 84	0 48
0 4	1 91	3 24	2 22	4 86
4 64	3 3	0 4	1 23	2 82
0 20	2 9	3 24	1 41	4 43
2 91	4 4	3 99	0 19	1 90
3 74	1 35	0 62	2 44	4 62
1 78	2 92	3 30	4 43	0 46
1 96	0 51	4 59	3 17	2 2
2 65	4 66	3 48	1 71	0 51
0 6	2 46	3 37	1 77	4 75
1 65	0 19	2 35	3 23	4 98
1 94	4 23	2 66	0 77	3 80
3 47	4 91	2 65	1 87	0 27
4 41	0 90	2 14	1 44	3 36
4 83	1 88	0 18	2 51	3 74
2 5	0 48	4 39	1 97	3 80
3 38	4 39	2 91	1 97	0 60
3 8	1 5	0 30	2 70	4 20
2 90	1 19	3 86	4 74	0 8
4 2	2 49	0 10	1 19	3 72
3 67	1 81	4 7	0 55	2 5
2 68	3 60	1 22	4 52	0 48
2 79	3 32	4 66	0 61	1 28
2 96	3 47	1 15	4 62	0 16
0 46	1 44	3 16	2 82	4 91
4 92	2 50	0 3	3 40	1 5
3 99	0 62	4 97	2 31	1 1
1 23	3 71	2 67	4 45	0 23
4 31	1 2	3 30	0 63	2 42
1 57	3 11	4 30	0 15	2 30
2 70	1 25	4 58	0 41	3 19
2 38	1 15	3 71	0 58	4 87
1 79	0 85	4 46	3 81	2 22
1 38	3 84	0 18	4 94	2 79
