30	10
5 29	7 93	0 64	2 97	9 115	6 54	3 79	1 112	4 150	8 9
8 140	5 158	7 154	6 24	0 91	3 3	9 136	2 122	4 107	1 185
8 177	4 65	6 152	1 199	9 14	5 16	7 11	0 170	2 10	3 99
5 97	8 56	7 38	3 65	1 8	9 46	4 93	2 93	0 109	6 81
1 71	8 59	5 193	7 81	0 11	4 65	2 7	6 50	9 73	3 108
9 158	0 96	8 18	4 64	6 193	3 10	5 191	2 74	7 10	1 117
2 192	7 159	5 52	4 117	1 104	9 139	3 60	8 200	6 127	0 46
2 20	3 190	1 58	0 132	6 30	8 76	9 44	7 160	4 77	5 147
9 53	4 120	0 66	1 123	6 52	8 156	5 195	2 34	3 168	7 12
3 67	1 62	7 154	0 138	8 143	6 44	2 73	5 77	4 66	9 190
7 200	3 104	8 101	6 137	0 115	5 49	2 156	1 103	9 9	4 40
8 184	3 90	6 164	0 56	1 78	7 77	2 34	4 124	5 186	9 28
2 44	1 70	4 10	8 42	9 153	3 31	7 164	6 32	5 108	0 2
4 92	0 40	2 67	3 58	7 26	9 153	8 187	6 155	5 36	1 54
6 12	1 138	4 95	5 195	2 75	8 9	9 54	0 56	7 187	3 54
5 172	6 28	7 174	2 146	8 59	9 41	1 120	3 120	4 65	0 41
1 187	7 56	8 83	4 98	6 154	5 32	3 62	2 70	0 128	9 123
2 58	6 20	9 22	1 27	3 97	0 87	7 116	8 179	5 128	4 182
9 90	4 80	5 64	6 1	7 161	1 183	3 167	8 168	0 10	2 169
2 147	7 97	4 189	9 196	8 9	1 115	3 93	5 94	0 189	6 99
0 122	8 105	6 54	5 43	4 138	2 74	1 117	9 124	7 73	3 160
1 140	4 184	5 116	8 99	9 160	0 100	2 31	6 3	3 32	7 127
4 153	2 65	3 133	8 73	1 188	5 82	9 70	0 53	6 136	7 176
4 102	6 124	5 17	8 94	2 82	0 32	1 40	7 42	9 190	3 23
1 129	3 112	6 167	8 43	5 128	2 74	0 79	7 63	9 108	4 62
9 69	4 192	1 177	8 7	3 36	0 138	7 8	2 60	5 108	6 28
5 9	1 49	8 91	2 171	3 108	9 15	4 173	6 151	7 137	0 4
0 96	3 190	6 140	9 129	8 73	7 44	1 56	2 186	5 21	4 198
1 3	5 193	9 123	7 91	0 138	4 191	3 131	6 106	8 141	2 18
9 175	7 158	8 83	6 32	1 111	0 161	5 65	2 27	4 53	3 3
