15	70
17 3	54 75	44 87	12 96	67 76	64 9	40 75	15 79	22 52	58 71	62 86	63 42	66 69	6 85	23 69	24 70	28 63	20 52	4 35	8 87	68 74	50 24	43 74	9 83	0 12	1 89	48 13	35 4	45 9	14 24	57 73	30 98	16 30	42 20	46 49	13 93	18 73	47 9	56 4	41 99	34 58	32 70	33 95	3 55	27 81	55 11	26 60	51 10	61 14	36 36	29 19	19 73	52 52	25 55	60 65	37 53	38 24	39 70	2 99	31 36	69 31	59 7	49 25	5 28	11 26	53 20	10 72	65 20	21 98	7 73
5 75	15 47	19 91	40 7	29 23	48 1	36 80	23 35	22 90	0 6	60 91	43 81	20 58	2 56	63 88	1 87	55 67	39 85	44 46	67 84	64 33	38 53	18 42	65 36	69 44	13 92	25 4	4 20	32 45	49 32	14 85	10 5	3 26	68 57	12 93	50 76	31 54	6 3	58 29	16 67	17 34	62 55	27 11	54 52	42 23	53 22	9 58	7 45	37 76	11 60	30 13	8 23	51 65	46 12	47 20	61 55	21 98	24 77	26 2	34 89	33 6	59 93	66 8	41 89	57 32	45 43	56 4	35 62	52 48	28 11
31 13	48 72	1 67	7 60	29 84	56 41	22 11	11 22	52 39	2 56	60 13	57 54	26 86	18 40	65 44	62 13	0 57	24 84	64 1	45 59	36 11	49 37	12 12	37 96	16 18	30 82	21 12	63 91	25 93	35 96	10 30	28 43	8 47	54 93	44 47	20 39	58 72	59 97	6 47	32 26	33 79	38 75	69 86	51 41	40 18	19 31	27 46	15 55	13 70	43 30	42 35	14 52	23 24	61 8	9 43	5 1	41 90	3 82	34 84	53 89	67 8	55 25	68 52	47 47	46 36	4 53	50 54	17 66	66 98	39 30
22 68	62 34	35 71	19 63	68 34	13 33	15 43	14 22	23 77	57 61	16 6	6 3	64 18	63 71	61 7	49 40	10 76	29 97	43 26	33 90	69 46	45 74	20 8	7 36	53 56	32 40	39 97	46 99	18 49	60 85	44 46	30 35	2 65	67 65	8 22	24 33	58 99	0 67	55 90	12 40	37 84	65 17	4 60	34 60	9 82	31 39	51 10	5 71	59 78	17 54	38 1	50 59	3 7	42 54	25 26	27 32	56 66	11 16	52 61	48 25	41 77	21 5	40 77	36 66	28 7	47 2	54 64	1 30	66 40	26 84
28 83	49 18	37 49	14 83	53 35	9 93	67 29	11 49	3 47	7 19	8 51	34 6	65 85	27 93	13 68	52 18	51 78	69 39	59 87	47 81	39 94	22 81	32 19	6 8	60 17	66 93	30 9	57 91	26 44	0 17	16 62	19 36	12 63	4 40	35 50	36 7	48 37	10 27	45 79	50 73	43 53	46 93	33 6	20 99	38 76	1 13	63 99	5 88	64 66	58 87	2 6	55 40	44 22	21 22	68 5	17 23	54 47	40 51	62 2	25 49	23 30	56 42	24 71	42 52	41 76	61 77	15 94	31 4	18 79	29 73
0 93	6 67	62 74	68 47	44 37	50 78	33 3	15 68	37 19	46 71	51 90	60 29	2 21	28 87	49 73	30 93	59 7	19 16	56 34	10 29	3 72	63 97	42 56	67 86	31 5	39 49	27 98	66 95	20 73	38 60	17 33	24 35	41 30	7 13	29 23	8 67	13 71	9 76	34 70	45 34	35 97	32 69	48 97	11 27	21 6	16 35	47 12	23 19	53 5	18 67	5 85	55 83	54 80	69 69	57 63	58 40	22 90	26 82	61 19	65 72	43 76	1 97	64 79	25 56	4 50	12 85	36 14	52 9	40 89	14 71
42 47	51 69	40 98	12 12	22 85	62 50	67 69	56 28	19 73	7 66	43 49	57 29	59 53	35 75	8 41	32 88	58 9	46 61	64 93	45 17	10 32	13 43	39 24	17 55	20 32	24 6	37 48	66 75	25 18	63 31	49 95	11 33	2 1	47 63	14 56	60 81	61 92	16 9	9 93	69 52	55 14	41 46	65 1	48 57	5 14	30 56	6 30	38 87	52 37	34 71	21 15	54 10	1 58	44 38	15 44	31 69	23 70	33 13	36 82	26 22	18 55	0 17	4 94	27 58	68 24	3 44	53 68	50 25	28 93	29 91
6 66	51 56	19 85	42 75	61 15	44 59	22 49	45 69	64 10	69 70	2 69	56 67	40 80	35 94	47 53	57 52	25 59	37 40	14 98	8 89	17 26	28 12	68 11	13 7	58 31	27 74	15 79	24 23	65 88	1 4	62 26	10 66	67 30	59 84	55 35	16 39	29 99	30 50	49 24	4 19	63 38	46 42	34 15	60 90	66 87	33 25	41 11	50 99	20 98	32 92	3 52	52 14	26 26	39 28	36 28	31 54	54 50	43 73	18 31	48 61	11 16	38 80	9 53	12 72	5 68	0 83	53 25	21 10	7 12	23 86
66 88	29 69	55 48	33 35	16 56	63 42	53 98	6 84	49 81	31 83	57 8	17 46	15 37	12 94	60 86	7 63	47 93	38 26	54 38	37 38	19 16	10 26	61 98	14 36	18 70	9 54	56 22	8 28	43 33	39 51	2 64	67 72	32 81	26 79	44 6	58 9	21 21	1 6	50 60	52 7	28 30	40 21	46 51	64 25	62 65	35 18	22 48	20 20	5 44	25 90	36 87	27 9	11 98	69 96	4 87	41 95	45 51	30 42	24 41	0 24	48 28	3 82	51 72	13 22	68 57	59 23	23 53	65 36	42 99	34 94
67 13	10 96	21 93	15 18	16 57	0 72	38 40	36 13	4 95	37 6	20 28	60 94	30 11	39 48	63 57	65 48	55 72	8 38	47 80	1 62	40 45	9 13	14 72	17 86	52 90	61 44	48 36	45 18	23 22	57 69	32 98	25 61	34 21	3 70	6 2	59 71	51 98	31 79	58 36	49 80	26 80	28 64	41 6	46 67	7 10	22 78	18 1	56 99	2 92	68 95	69 98	19 39	44 49	53 16	54 98	50 10	24 6	62 1	33 68	13 10	35 71	64 20	43 66	27 1	29 55	12 32	11 66	42 86	66 76	5 85
29 40	7 57	11 4	8 73	54 58	0 84	3 1	69 51	32 24	48 44	55 49	6 15	12 92	30 57	57 52	52 32	4 3	13 78	5 38	62 36	20 9	51 36	27 5	59 63	38 15	47 40	25 65	35 23	49 47	42 38	45 63	63 41	60 41	66 29	58 16	19 4	18 41	65 30	15 22	37 1	44 43	56 29	64 80	40 22	28 1	21 36	36 29	23 83	41 83	33 97	1 5	9 43	2 9	53 92	68 43	43 60	46 77	17 66	22 2	31 12	26 81	16 6	61 11	24 84	39 80	50 66	34 84	14 81	10 80	67 13
