90	15
4 96	8 7	1 12	11 93	13 56	12 83	3 69	9 96	2 40	6 25	0 37	10 29	7 97	5 57	14 75
1 6	7 68	12 55	11 46	0 7	13 76	2 17	4 78	6 40	10 16	8 70	14 99	3 71	9 61	5 92
3 37	12 63	4 1	13 83	14 26	1 81	10 31	0 10	5 41	7 43	2 32	9 46	8 14	11 90	6 30
10 98	8 94	9 53	13 32	12 82	3 67	4 38	2 66	14 83	0 4	5 16	6 23	11 35	1 77	7 86
9 83	4 23	7 85	14 5	5 47	10 61	2 52	1 45	0 63	3 66	6 60	11 23	8 11	13 71	12 18
14 87	0 7	5 67	12 71	13 29	9 33	11 69	6 28	8 12	7 24	10 39	1 92	3 62	2 82	4 76
8 28	11 84	13 17	9 9	6 69	2 21	12 72	1 1	5 2	7 40	14 16	10 1	0 68	3 28	4 20
3 32	12 43	1 96	4 36	10 20	2 5	13 13	11 32	8 41	6 79	5 85	9 30	14 96	0 42	7 11
12 65	8 36	1 57	14 71	13 9	9 65	6 92	2 47	4 58	0 60	11 44	5 93	3 34	7 98	10 78
10 9	3 28	4 12	6 32	1 55	2 37	9 17	0 94	5 40	7 13	13 9	11 94	14 57	12 8	8 10
6 3	14 78	8 36	11 20	9 40	1 53	7 34	0 33	13 59	2 45	10 31	5 67	12 62	3 35	4 14
0 75	14 94	8 99	11 25	10 64	5 67	13 3	2 11	3 20	7 63	4 54	6 76	1 42	12 45	9 93
3 2	7 70	8 12	4 12	2 34	6 9	12 76	1 12	10 32	11 58	14 81	9 9	13 50	5 93	0 77
2 58	14 30	0 74	6 48	11 65	1 16	13 39	5 87	3 38	10 57	4 2	7 28	12 44	9 33	8 61
5 84	0 44	14 73	12 37	13 35	11 10	1 85	2 18	4 36	3 36	8 51	6 29	10 8	7 58	9 16
6 44	14 34	8 16	11 3	0 49	7 26	3 75	5 75	13 70	12 64	2 28	4 86	10 39	1 23	9 84
10 85	1 96	13 54	5 12	7 5	6 37	2 22	0 80	4 61	9 45	14 92	3 48	11 15	12 28	8 38
2 39	0 69	7 50	3 46	1 33	4 43	12 77	6 72	11 14	13 45	9 10	10 30	8 44	14 13	5 66
1 82	12 22	2 88	0 96	14 78	5 6	7 5	11 42	8 94	13 13	4 71	6 73	3 16	10 20	9 46
6 92	8 94	1 2	12 85	14 6	7 42	0 76	3 4	4 30	2 9	13 45	10 16	5 39	11 86	9 96
6 14	14 88	7 55	12 49	13 29	9 95	8 1	5 43	1 99	4 71	0 98	3 12	11 23	2 68	10 96
8 74	13 29	10 80	4 69	12 43	1 34	9 78	0 69	14 27	7 5	2 94	3 88	6 22	5 78	11 43
9 17	12 72	7 80	11 88	8 33	1 52	2 81	3 80	6 51	5 33	13 4	4 49	10 39	0 52	14 32
13 82	10 96	0 97	12 91	1 70	14 31	6 21	11 30	5 43	4 25	2 74	9 52	3 24	8 16	7 33
13 46	11 73	9 84	0 67	3 9	5 39	7 19	1 80	8 18	4 30	14 59	12 54	6 68	10 81	2 10
