80	5
0 165	2 106	3 55	1 179	4 199
2 91	4 181	3 82	0 126	1 194
2 166	4 9	0 67	3 43	1 26
3 1	0 125	1 17	4 147	2 58
4 133	1 31	3 78	2 17	0 59
2 63	4 22	3 103	1 54	0 9
1 29	2 124	3 192	0 141	4 13
4 50	2 110	1 132	3 82	0 193
4 58	0 26	1 95	3 83	2 179
3 34	1 22	0 88	4 96	2 108
4 88	3 48	1 152	2 88	0 57
1 155	3 120	0 77	4 61	2 80
1 199	2 44	3 37	4 63	0 122
2 181	1 143	0 166	4 88	3 13
2 4	3 91	0 171	4 162	1 43
4 196	0 92	1 13	2 198	3 123
1 184	2 95	0 94	4 91	3 29
0 49	3 136	1 33	2 129	4 143
3 14	2 14	0 140	1 167	4 167
3 6	0 95	4 99	1 77	2 163
1 188	0 82	4 86	3 113	2 49
0 108	1 200	2 63	4 151	3 63
2 192	4 10	1 165	0 28	3 192
0 180	4 166	2 156	1 88	3 190
0 38	2 14	1 72	4 105	3 152
3 98	4 122	0 99	1 91	2 81
1 161	2 17	4 76	3 176	0 70
4 145	1 104	0 134	2 24	3 141
1 5	0 89	3 89	4 145	2 199
4 165	0 192	2 95	1 18	3 69
3 113	0 45	1 84	4 108	2 197
3 31	4 79	1 134	2 179	0 20
4 23	1 132	2 92	3 120	0 117
3 18	2 87	1 194	0 92	4 157
0 153	3 43	4 174	1 98	2 18
0 198	4 26	2 147	1 151	3 80
1 112	0 186	4 173	3 51	2 25
3 78	4 30	1 159	2 175	0 129
4 109	3 121	0 29	1 74	2 108
4 86	3 28	0 32	2 171	1 154
1 171	0 79	4 51	2 83	3 40
3 98	2 64	4 121	1 4	0 200
1 90	0 68	3 97	4 105	2 148
1 4	4 58	2 164	0 12	3 59
1 95	2 119	3 139	4 187	0 143
2 172	3 186	4 148	0 148	1 76
3 10	1 155	0 76	2 199	4 85
1 13	4 46	3 48	0 111	2 106
2 169	1 54	3 156	0 12	4 62
4 60	2 166	3 145	0 80	1 176
3 115	0 132	2 120	4 144	1 112
4 84	2 17	1 3	0 123	3 14
2 101	0 106	1 42	3 104	4 55
3 155	0 200	2 76	1 105	4 63
1 128	3 192	4 36	0 179	2 72
3 122	4 130	1 164	2 36	0 92
3 139	2 39	4 28	1 148	0 105
1 38	2 34	0 150	4 38	3 148
4 72	2 138	1 71	3 125	0 111
1 140	2 127	4 10	0 100	3 15
4 102	3 147	2 198	0 200	1 189
2 153	3 146	4 192	0 90	1 129
2 122	1 133	3 17	0 144	4 23
3 168	4 41	2 36	0 11	1 43
1 23	3 89	0 153	2 84	4 107
2 74	4 96	0 28	3 167	1 155
3 2	4 45	2 200	0 88	1 5
0 111	3 92	2 115	1 172	4 8
0 108	3 130	2 140	4 150	1 156
3 138	1 169	0 163	4 187	2 74
4 46	2 133	1 13	0 46	3 74
0 87	1 129	4 150	3 94	2 195
2 150	3 69	0 164	1 26	4 99
4 129	1 115	0 161	3 145	2 169
4 85	3 177	0 174	2 185	1 54
1 69	3 6	2 77	4 21	0 101
0 119	1 130	4 166	3 67	2 71
2 16	3 61	1 197	0 82	4 136
1 59	0 24	2 148	4 80	3 157
0 88	3 15	2 138	4 88	1 25
