100	10
2 102	1 65	0 170	9 11	8 107	4 86	7 142	5 185	3 87	6 2
6 128	9 142	1 40	4 184	2 92	8 34	7 96	5 34	3 38	0 142
4 51	8 10	3 92	9 34	5 143	7 90	0 50	1 113	6 37	2 184
7 91	5 166	2 80	4 104	6 199	0 116	9 33	1 85	8 157	3 137
7 122	4 131	3 37	5 165	0 127	2 110	8 27	1 73	6 139	9 106
0 102	6 86	3 68	2 108	5 149	4 171	8 25	1 70	7 78	9 81
5 70	1 142	9 149	2 101	8 170	6 161	4 144	7 164	0 149	3 131
7 188	9 5	1 29	0 91	6 23	2 17	5 189	8 187	3 19	4 192
2 92	8 137	7 12	4 98	5 28	0 102	9 7	6 161	3 52	1 184
3 40	8 8	9 138	7 44	2 16	0 165	5 162	1 25	4 26	6 19
4 38	8 154	3 186	5 140	0 104	6 21	1 158	2 147	7 65	9 33
4 44	0 90	3 79	5 105	2 194	6 74	9 5	7 134	1 178	8 6
9 174	8 190	1 83	7 111	3 180	5 14	6 124	4 53	2 104	0 21
2 154	8 115	0 33	3 131	4 110	7 194	9 158	6 74	5 153	1 143
6 38	0 10	1 123	8 47	2 158	9 114	4 167	5 161	7 135	3 150
4 34	5 98	0 192	3 79	8 99	6 91	7 86	1 194	9 120	2 88
4 167	3 30	5 173	1 50	7 50	8 185	0 33	6 157	9 7	2 184
9 129	4 113	6 175	0 72	2 118	3 142	8 180	7 11	1 59	5 109
6 169	3 60	4 72	5 24	2 187	7 196	1 148	8 134	0 5	9 61
9 39	4 88	2 197	0 72	7 122	6 77	8 132	5 187	1 59	3 143
2 13	5 43	8 169	4 8	1 150	7 76	3 65	6 198	9 191	0 198
9 120	6 108	0 49	2 90	7 92	1 195	4 72	8 165	3 102	5 145
5 126	6 150	0 52	1 125	8 175	3 8	9 17	4 23	2 77	7 40
9 50	5 68	4 36	1 128	8 179	6 51	2 20	7 122	3 46	0 25
3 48	6 44	1 25	4 31	9 64	2 171	0 35	5 192	7 119	8 113
4 52	2 187	9 123	1 120	8 193	5 93	3 99	0 134	7 136	6 163
1 35	3 20	2 101	7 192	8 48	4 200	6 112	0 108	9 118	5 90
3 145	4 111	7 18	2 185	0 132	9 150	6 114	5 43	8 137	1 175
4 114	9 114	5 49	2 168	7 30	3 104	1 104	6 182	8 145	0 50
6 75	7 91	8 186	1 194	9 126	0 128	5 200	2 72	4 49	3 43
1 72	9 18	8 171	5 186	2 164	7 66	4 169	6 176	3 111	0 38
5 65	4 85	2 16	6 79	8 196	9 83	7 181	1 63	3 38	0 142
9 21	2 171	4 34	7 52	8 142	1 118	3 58	0 149	5 171	6 167
2 144	0 142	5 54	4 106	1 81	8 53	9 162	3 16	7 90	6 74
8 145	2 122	0 53	9 192	6 37	5 8	3 122	4 198	7 20	1 150
1 195	4 62	3 77	8 18	2 58	0 196	9 19	7 85	6 50	5 152
7 116	1 174	3 176	5 121	6 49	4 83	0 69	2 40	9 156	8 77
6 195	5 161	9 146	8 43	0 36	3 6	2 90	1 98	4 187	7 177
1 130	7 100	3 92	2 43	8 168	4 152	5 52	0 3	9 167	6 95
3 175	8 159	9 6	7 199	5 69	2 126	6 35	4 18	0 90	1 47
8 132	4 189	0 22	2 97	7 187	5 140	9 158	6 12	3 160	1 77
5 14	4 11	8 46	0 147	2 91	1 17	7 68	3 180	6 57	9 133
8 151	3 24	2 67	4 175	1 6	0 124	7 141	6 117	5 40	9 191
7 104	1 148	5 129	2 75	8 149	6 123	3 28	0 25	9 70	4 50
8 57	6 155	0 152	2 52	3 57	1 95	7 85	5 78	4 118	9 59
4 177	0 128	9 195	3 193	7 186	8 99	5 35	6 177	1 29	2 178
7 197	1 179	0 107	9 129	3 98	2 152	5 163	4 6	6 124	8 43
8 59	3 6	0 150	5 12	2 6	1 64	7 104	4 191	6 74	9 182
2 34	9 192	7 151	3 144	8 85	6 125	5 184	4 117	0 135	1 197
5 22	0 62	2 19	1 33	4 182	7 112	8 133	9 177	3 28	6 197
7 10	8 53	1 34	4 76	5 38	9 190	0 190	2 16	6 97	3 51
4 6	3 94	1 10	7 80	5 166	9 88	8 155	0 65	2 190	6 124
0 167	4 111	6 200	5 5	8 86	1 189	2 108	9 69	7 45	3 91
2 57	4 142	6 176	7 59	0 171	3 136	1 72	5 96	8 52	9 107
2 120	9 95	7 71	8 35	4 125	0 80	1 164	5 33	3 15	6 79
9 43	1 188	4 119	5 47	8 72	0 155	6 82	3 50	2 167	7 158
5 60	6 2	4 78	3 65	1 112	9 24	7 173	0 80	8 190	2 195
0 101	7 101	2 41	4 69	6 194	8 66	5 189	1 61	9 42	3 72
2 139	6 184	0 89	9 157	4 177	1 170	8 11	5 137	7 34	3 199
6 53	9 132	3 36	7 54	2 40	4 129	1 187	0 162	5 37	8 127
0 143	6 133	8 11	4 38	5 13	2 3	1 170	7 79	3 40	9 111
2 68	8 56	9 188	3 162	1 47	5 78	6 110	4 116	0 75	7 52
3 38	4 134	0 128	6 181	2 150	8 168	5 114	7 88	1 113	9 7
3 25	6 51	0 173	1 137	2 107	8 82	4 22	9 149	5 9	7 182
7 80	4 29	5 165	9 90	6 99	8 140	3 136	2 47	0 133	1 62
9 3	6 10	5 1	4 135	2 186	7 92	8 72	1 133	0 193	3 139
9 51	7 77	6 67	2 102	3 95	1 41	8 24	0 137	5 49	4 49
9 52	2 185	7 187	5 12	0 101	4 199	1 184	3 37	8 47	6 109
0 127	6 180	2 162	3 17	7 146	8 156	4 62	1 90	5 184	9 177
0 131	8 89	3 111	1 130	2 114	7 48	6 159	4 60	5 20	9 32
2 159	3 100	5 104	6 127	0 97	9 87	1 37	8 55	7 165	4 135
4 93	9 140	0 13	5 170	7 120	2 69	3 133	8 24	6 152	1 151
6 45	2 200	7 144	4 91	0 37	3 188	9 87	8 41	5 49	1 43
6 150	0 37	8 78	9 119	2 27	1 197	3 186	5 195	7 34	4 134
4 159	1 40	9 8	2 80	3 123	7 51	0 144	5 71	6 157	8 128
0 16	4 127	1 178	8 99	5 35	7 59	6 102	2 156	9 76	3 34
4 178	8 85	3 118	0 131	1 197	9 171	7 106	2 14	5 114	6 60
7 121	2 56	6 47	4 145	1 53	8 117	0 83	9 50	5 85	3 121
0 165	5 97	2 26	1 92	7 83	4 150	8 103	3 87	9 105	6 11
4 26	5 26	1 41	0 55	8 125	6 142	7 97	2 86	3 157	9 126
4 77	2 94	6 78	8 8	5 56	0 106	3 14	9 18	7 182	1 135
7 180	2 112	0 175	8 113	5 2	3 44	9 122	4 83	1 9	6 156
5 12	2 10	0 141	8 155	9 164	7 10	4 72	3 151	1 61	6 74
1 73	2 51	6 67	9 191	5 87	8 36	0 67	3 146	4 171	7 79
8 55	5 151	7 111	4 169	1 157	6 43	9 4	0 83	2 182	3 131
8 161	5 187	9 101	7 37	1 18	6 150	4 111	2 38	3 13	0 152
0 157	3 192	5 142	8 5	1 39	6 9	7 102	2 92	4 45	9 91
3 160	6 60	7 188	5 48	0 32	4 105	8 145	9 55	2 124	1 130
2 88	6 147	9 195	8 118	4 144	1 180	5 20	3 47	7 27	0 159
6 145	5 46	4 65	9 92	3 189	7 119	0 7	8 135	2 200	1 87
6 65	0 155	5 190	4 199	3 60	7 47	1 160	8 80	9 35	2 145
0 72	8 50	5 21	9 124	7 56	3 22	1 149	6 141	4 163	2 146
0 109	3 113	5 87	2 52	8 37	7 14	6 24	1 63	9 118	4 22
7 117	4 19	5 181	8 30	6 113	9 11	2 120	0 108	1 182	3 100
6 30	9 43	0 57	3 73	8 76	7 67	1 31	2 141	5 77	4 91
0 107	8 69	6 143	9 150	3 113	1 39	4 43	7 46	5 88	2 7
3 95	8 15	0 179	6 65	4 176	9 92	2 171	7 6	5 131	1 122
1 165	8 195	7 67	9 100	2 27	5 156	4 101	0 51	3 105	6 174
6 180	5 75	2 27	1 156	3 130	7 93	8 1	9 82	0 200	4 54
8 46	3 165	7 147	0 136	6 160	5 191	9 89	4 128	1 3	2 89
