40	70
52 1	42 93	11 14	57 90	40 79	37 15	28 38	56 54	17 1	19 30	25 25	68 86	0 53	2 50	22 51	69 7	1 53	15 17	62 10	48 33	61 54	38 43	33 67	64 22	8 82	51 80	3 36	32 55	5 99	31 55	53 87	34 92	16 98	26 9	35 8	30 33	10 55	46 96	50 15	44 56	21 57	67 12	66 20	18 88	27 99	23 20	45 61	54 72	13 5	39 13	7 59	63 32	6 64	59 27	4 57	55 98	58 20	60 90	20 91	65 48	29 86	41 77	24 3	9 72	43 63	12 61	47 14	14 16	49 67	36 89
20 20	1 61	33 58	52 51	45 98	54 7	3 80	25 35	29 43	34 89	6 1	63 51	56 82	69 1	11 44	58 70	8 16	40 82	15 35	60 77	43 15	7 80	50 22	0 14	65 3	35 98	17 71	12 22	28 90	13 46	46 82	27 80	68 91	59 63	30 2	47 91	66 15	22 20	24 91	42 53	21 63	61 2	36 55	31 67	62 6	23 21	2 68	4 36	19 56	32 70	37 22	39 38	18 26	14 96	41 50	51 34	53 76	16 84	64 46	49 38	44 56	57 10	5 84	10 22	55 68	38 47	26 34	67 53	9 96	48 23
27 45	15 41	69 26	68 51	46 53	8 25	50 45	22 34	28 42	67 10	44 24	61 21	32 57	1 38	12 52	57 83	54 52	60 77	23 3	43 33	55 63	5 64	21 83	65 82	51 66	26 93	52 36	18 70	31 47	19 44	10 90	48 92	53 30	64 84	36 92	63 9	17 60	20 77	49 89	40 47	16 44	66 64	13 30	6 79	59 35	58 63	38 79	4 32	7 89	42 12	35 73	47 66	3 64	56 22	14 74	25 93	29 62	9 42	2 62	41 74	30 40	33 34	24 66	62 56	45 3	11 3	0 32	37 65	34 55	39 70
61 33	42 64	35 10	24 65	48 99	41 71	23 87	56 76	43 6	54 21	27 27	16 2	11 8	8 92	39 60	46 25	3 9	14 31	58 25	0 42	45 49	51 77	69 52	66 48	63 36	9 4	34 71	25 39	18 7	67 76	17 79	37 70	52 69	30 79	10 93	4 96	7 85	60 13	57 56	6 93	22 99	62 21	44 15	20 49	31 29	19 52	32 84	26 52	49 31	55 55	5 78	13 81	28 22	15 7	68 6	50 86	47 33	40 53	53 94	29 29	21 77	38 72	65 86	33 60	59 33	2 48	36 99	1 31	64 40	12 45
63 7	65 3	31 6	18 39	57 73	38 10	23 10	53 14	36 36	39 41	24 87	35 44	56 20	43 94	68 88	1 37	21 70	17 89	20 59	32 5	25 36	49 26	7 85	45 3	48 52	41 3	34 47	19 8	62 91	44 2	22 81	11 89	47 43	0 83	6 16	66 9	60 55	40 88	10 97	28 58	59 73	15 22	54 50	5 43	69 65	12 69	37 48	58 92	14 48	46 12	9 16	64 84	42 14	52 92	8 4	55 58	4 70	30 50	27 91	29 79	33 99	50 68	3 38	16 17	2 66	26 41	61 83	67 46	13 79	51 23
17 56	45 14	32 96	58 68	21 13	35 30	1 68	43 81	37 92	9 11	2 12	51 40	57 19	23 55	11 82	61 59	28 59	69 44	47 94	55 16	59 15	60 56	63 57	20 84	4 36	3 10	67 23	27 63	62 12	38 64	5 37	34 45	54 16	65 74	49 9	53 11	66 70	12 47	52 87	29 5	15 92	48 81	16 39	36 50	8 52	19 73	14 53	6 83	39 71	25 36	10 19	31 83	30 42	56 92	33 46	44 85	13 45	46 56	22 78	24 78	40 8	18 89	41 89	7 57	26 7	42 12	50 95	64 84	0 69	68 72
21 84	33 42	57 21	48 21	26 95	18 33	15 75	34 35	0 41	38 23	24 75	50 55	44 41	43 38	32 80	61 4	55 9	10 34	9 19	42 20	40 60	11 36	4 25	67 99	27 2	51 7	20 6	17 9	47 44	41 33	7 4	37 4	16 33	59 80	45 52	63 61	13 69	31 43	65 80	29 18	3 97	64 35	6 99	23 78	35 71	53 27	54 78	25 15	46 84	36 17	56 83	1 28	49 31	60 86	69 70	39 81	66 46	52 58	12 6	5 33	62 91	14 62	30 52	22 91	8 94	58 51	28 64	19 12	2 93	68 51
60 28	62 98	4 95	45 67	47 91	37 69	39 85	66 4	46 19	42 43	8 31	35 41	31 68	61 78	44 16	29 66	38 40	26 91	12 27	10 25	9 83	22 57	49 74	48 65	0 97	43 63	54 79	53 55	6 26	7 43	41 33	50 77	18 74	52 2	65 1	17 32	64 94	25 57	2 48	20 63	21 24	58 11	36 68	68 95	30 22	13 87	40 90	32 62	67 39	19 66	57 40	11 39	59 80	3 14	55 57	14 28	15 80	5 64	34 37	27 85	16 20	28 38	63 41	24 30	69 58	23 83	56 68	51 46	1 71	33 15
42 16	56 25	26 34	8 17	47 98	12 3	50 90	22 6	64 7	43 1	17 11	66 9	49 28	35 54	44 14	36 91	4 82	29 91	38 32	32 36	27 23	31 52	25 76	11 6	48 46	10 54	59 45	19 76	53 9	13 35	3 35	55 80	69 84	61 64	62 64	57 59	24 69	63 44	46 27	34 65	2 25	45 88	67 9	68 37	0 90	65 92	5 13	9 52	33 62	15 38	37 58	23 92	39 76	40 25	21 18	41 40	60 96	18 37	30 25	20 74	16 51	6 80	54 26	52 68	7 60	1 11	28 4	58 57	14 35	51 46
53 44	1 94	29 49	45 98	41 9	18 96	52 25	22 74	8 52	15 16	48 75	59 64	46 27	62 6	56 58	12 8	47 12	25 48	32 1	66 32	57 19	65 3	2 51	35 26	40 17	54 96	68 24	19 36	58 90	17 96	34 3	0 48	39 7	9 31	5 38	21 27	11 18	4 17	7 75	60 21	49 80	50 82	23 25	69 16	3 87	33 39	42 63	44 22	13 31	24 4	63 59	28 6	6 84	26 8	37 27	36 72	38 34	61 59	14 46	43 30	16 68	51 57	10 81	31 32	64 59	20 82	55 40	30 10	67 83	27 20
59 42	10 59	31 3	8 10	23 16	3 16	65 40	62 42	36 70	29 25	25 44	12 61	11 75	69 92	9 52	24 91	67 39	42 39	18 23	14 58	38 12	22 67	6 8	49 6	50 98	41 12	0 30	43 93	37 44	44 27	64 94	47 21	39 88	34 60	56 15	26 29	61 89	20 54	66 56	53 52	60 26	63 86	52 23	57 82	15 49	16 51	4 80	58 31	32 89	30 34	68 75	13 69	19 29	55 69	17 95	33 8	45 70	48 73	51 90	28 16	1 98	54 21	2 1	21 81	35 38	27 49	46 98	40 37	5 49	7 51
