30	100
31 92	15 88	33 46	90 40	66 2	99 66	46 76	3 33	92 54	91 5	44 30	81 85	58 59	11 7	49 22	42 57	5 52	72 29	43 94	22 50	93 66	71 96	9 36	1 47	6 31	29 26	28 36	34 54	32 59	86 5	63 59	21 83	25 95	79 19	39 98	68 97	45 56	85 24	54 35	30 3	0 86	48 4	20 34	19 20	23 71	97 29	35 61	59 9	4 68	88 33	89 91	53 8	14 92	61 37	80 43	41 46	77 15	55 6	18 90	69 70	40 5	56 31	37 32	50 27	2 91	62 28	51 66	57 1	16 80	95 43	24 42	36 49	84 52	38 12	67 16	52 63	87 37	94 50	74 15	60 29	47 37	65 12	78 55	64 59	27 5	8 34	82 58	83 4	96 96	7 49	73 7	17 41	10 43	76 34	26 12	13 84	75 30	98 50	12 92	70 88
21 9	42 12	97 47	6 52	83 39	37 45	31 3	96 42	89 10	98 22	2 5	8 53	99 54	40 24	44 85	48 67	77 74	65 71	30 27	18 92	34 88	51 87	29 7	57 55	84 80	9 3	94 72	49 18	71 28	46 86	67 2	66 66	90 82	88 42	95 39	19 81	32 57	81 35	16 32	7 64	0 23	62 1	64 99	91 44	72 6	35 56	61 99	43 95	74 56	70 7	13 52	93 91	54 93	86 67	17 14	76 2	4 44	58 77	38 60	25 71	55 14	85 30	36 86	68 66	12 11	14 71	45 36	22 58	20 85	23 81	24 49	10 29	39 54	73 64	69 20	80 74	52 87	82 34	5 1	79 76	60 95	33 45	28 3	41 4	26 82	11 40	50 69	63 28	87 48	3 87	15 52	53 94	1 37	59 21	47 81	78 60	27 71	92 47	56 29	75 77
63 50	83 20	51 13	99 31	80 42	57 45	56 70	12 18	27 55	6 49	41 83	8 69	5 38	52 52	55 74	94 79	26 20	24 45	46 53	75 98	85 82	23 78	87 22	21 88	78 96	17 31	73 19	32 48	44 5	25 10	68 91	18 15	39 82	42 64	9 97	91 49	82 45	77 16	37 99	66 84	34 79	36 4	70 92	22 31	20 27	89 4	33 59	29 15	49 2	11 87	95 43	54 68	90 17	3 63	86 62	72 8	15 88	61 82	31 84	40 64	38 50	28 40	0 27	16 47	47 54	71 97	4 13	48 2	53 84	64 93	65 83	96 71	45 28	81 51	97 15	88 89	92 29	69 10	43 14	19 87	74 11	93 1	1 79	59 95	62 85	2 67	7 90	50 96	79 48	14 55	60 4	76 58	84 12	58 16	35 39	98 70	10 5	30 12	13 75	67 44
59 38	31 36	93 3	86 30	47 14	56 13	54 2	97 63	64 61	87 31	34 70	16 76	33 81	83 54	75 19	26 65	39 54	78 26	50 72	6 56	73 16	4 98	66 24	58 79	38 13	3 8	81 46	11 68	98 40	21 69	35 98	71 27	24 14	51 1	70 33	63 7	14 93	94 55	52 3	5 21	2 8	60 11	8 37	88 38	22 65	46 46	90 83	1 90	53 53	72 73	99 77	55 56	68 34	48 96	17 86	30 87	62 28	41 20	20 98	65 96	37 87	36 8	19 84	92 24	61 48	77 11	18 73	82 72	13 4	69 94	42 56	91 93	67 47	45 95	9 1	25 83	49 22	12 1	23 68	79 22	76 25	10 61	29 61	85 29	89 41	15 57	57 6	95 84	44 5	0 3	7 50	43 75	27 25	28 98	80 48	40 23	96 90	84 79	74 83	32 14
91 79	65 16	8 16	94 46	31 41	30 77	70 7	80 80	92 52	73 37	47 3	6 49	5 70	54 97	49 11	42 52	3 59	77 1	19 2	51 88	52 98	95 43	78 26	26 18	2 83	60 62	96 86	0 21	15 12	28 68	61 84	37 96	74 3	27 68	84 72	41 92	13 23	33 60	16 16	83 72	48 90	23 33	63 2	4 76	11 80	22 85	7 82	39 65	12 29	24 68	98 79	58 67	72 31	44 35	18 30	32 35	20 13	56 45	64 94	88 4	53 85	25 48	89 37	87 12	99 63	50 96	29 76	93 97	46 21	43 43	17 73	55 51	14 58	45 63	81 24	36 59	38 95	90 60	67 44	21 43	97 21	76 73	69 32	68 21	62 8	79 15	66 81	86 60	35 38	9 43	57 33	71 98	10 28	34 42	82 44	40 20	75 37	85 23	1 58	59 33
3 96	14 83	28 58	78 23	26 66	9 69	76 85	47 14	2 65	8 23	58 79	73 28	34 87	57 3	31 85	63 85	94 19	35 62	99 17	46 47	59 38	11 44	98 54	62 42	50 15	17 14	19 31	87 2	71 67	24 37	65 70	25 82	36 16	69 69	1 74	30 36	23 38	5 77	32 49	37 15	13 41	33 46	15 48	92 53	49 16	6 74	96 24	29 79	16 49	95 40	10 78	12 15	74 93	81 66	42 59	7 52	53 7	83 54	85 35	75 77	91 17	67 76	93 54	60 20	88 60	66 51	79 15	4 23	22 74	56 23	68 11	0 35	97 7	45 75	55 86	80 59	84 56	39 72	72 8	82 61	41 83	90 89	44 2	40 25	89 25	51 19	18 49	70 80	20 61	27 98	64 9	86 2	54 12	43 31	77 19	61 92	48 98	21 4	38 99	52 16
87 18	64 73	54 93	39 60	22 37	51 74	79 97	36 22	44 1	56 88	6 96	19 66	8 41	59 26	82 23	96 48	80 72	25 23	4 63	69 98	84 77	47 47	5 51	41 35	18 4	77 12	0 41	93 28	70 55	85 63	90 97	49 2	66 20	38 94	61 23	67 12	24 63	63 62	31 45	57 53	76 48	26 17	35 63	20 40	89 18	21 46	46 72	68 37	16 77	15 19	83 68	14 91	3 72	91 11	75 71	92 80	12 3	34 60	53 27	7 38	97 7	17 72	2 43	10 67	55 99	28 67	1 8	40 34	99 43	65 80	95 73	73 53	13 18	72 52	33 88	32 51	45 3	98 8	11 83	78 58	71 70	52 26	23 2	37 23	58 82	43 79	62 1	42 94	60 71	74 10	88 89	48 49	30 94	50 62	81 34	27 93	86 54	29 54	9 12	94 18
59 89	11 19	62 20	13 54	49 44	34 10	41 22	39 93	64 37	58 18	45 88	25 7	37 47	28 17	86 76	56 49	57 56	90 79	99 41	67 72	23 63	51 99	54 72	88 32	75 76	93 9	3 42	30 86	20 89	18 71	42 45	6 73	26 50	1 30	83 16	19 23	4 98	15 77	55 10	53 43	44 29	48 59	27 61	2 98	66 54	97 48	8 68	12 22	68 31	81 58	79 44	73 76	65 62	24 45	87 72	91 5	43 11	46 29	47 5	82 53	0 7	50 34	84 7	70 43	21 65	22 65	33 72	85 17	31 25	29 46	38 71	92 9	95 26	10 19	72 62	74 29	40 69	94 72	76 18	14 52	60 66	63 26	80 37	61 1	9 2	16 95	35 29	89 75	7 33	32 42	52 32	77 42	17 54	71 15	78 70	98 15	69 99	5 75	36 49	96 19
84 94	25 91	30 93	82 17	19 31	14 72	63 28	17 84	85 96	61 98	40 54	44 70	16 34	83 81	42 83	43 67	9 5	46 25	1 21	98 6	3 53	26 72	59 29	38 23	51 59	86 14	23 56	15 89	8 61	50 29	49 14	54 11	71 29	78 71	41 23	65 68	67 60	45 67	13 60	12 99	10 14	55 36	48 84	79 53	32 91	36 98	29 13	4 8	94 92	69 81	6 89	81 61	73 30	91 21	75 96	99 10	22 18	35 35	60 91	0 99	88 88	95 79	90 48	93 30	58 46	52 12	24 39	39 7	89 71	5 11	28 90	37 42	57 42	11 96	70 65	33 37	20 73	68 3	66 91	18 44	97 47	74 39	27 40	21 5	56 91	47 45	92 47	34 62	72 7	76 69	62 53	77 22	53 44	87 53	80 62	2 52	7 8	64 13	31 48	96 14
65 60	58 46	55 78	86 58	3 41	74 36	47 93	23 52	11 60	98 7	5 18	81 61	43 22	61 64	53 33	88 14	99 91	84 63	76 98	22 74	87 52	38 42	12 53	8 6	15 59	78 28	7 49	4 6	29 81	1 10	69 72	49 15	0 2	13 81	26 75	16 97	71 67	30 70	24 67	66 81	28 76	42 89	19 11	45 88	17 92	70 79	6 2	82 87	36 83	35 96	31 32	59 43	63 34	79 51	62 5	56 33	94 9	37 81	54 50	97 72	64 15	80 34	50 52	73 42	67 77	20 22	83 74	51 14	72 62	44 86	93 89	96 27	27 24	48 59	14 65	75 97	85 80	2 94	90 10	40 56	34 62	95 17	57 37	91 95	25 10	52 30	10 8	60 27	77 70	46 60	89 54	32 72	68 23	33 25	92 98	9 7	39 13	21 31	41 79	18 18
69 7	81 87	77 21	30 33	97 99	17 47	28 59	47 69	18 35	48 59	84 26	13 84	74 29	8 62	92 67	82 20	85 20	26 46	20 78	90 7	71 33	27 42	51 10	31 22	19 2	73 90	23 76	64 77	76 97	67 64	5 39	49 53	9 2	60 18	63 94	88 34	11 84	36 50	89 1	56 50	58 89	57 41	65 19	68 92	33 65	44 22	98 80	1 52	80 80	21 90	55 54	95 63	40 55	52 12	72 18	54 42	96 18	6 44	62 46	86 84	46 89	99 42	35 88	39 85	93 23	29 33	38 80	75 89	4 92	94 45	91 98	12 26	22 10	15 30	53 77	10 73	14 81	25 37	7 98	45 34	2 36	59 35	41 85	37 77	66 36	32 97	83 68	43 71	70 55	24 52	79 66	61 64	42 55	0 33	78 68	16 69	50 24	3 26	87 52	34 67
