100	5
1 10	3 45	2 53	4 95	0 54
1 89	4 79	2 21	3 99	0 43
1 36	2 27	4 19	3 11	0 71
0 86	4 53	3 17	2 52	1 96
3 42	2 54	1 56	4 43	0 87
0 95	1 79	4 85	3 97	2 38
4 8	2 23	1 92	3 2	0 92
3 27	4 27	0 35	2 22	1 18
3 8	4 72	2 61	1 53	0 97
4 26	2 98	0 61	1 75	3 62
0 88	4 24	3 60	2 34	1 48
4 76	2 54	3 22	0 28	1 3
3 3	0 13	4 67	1 60	2 7
4 89	1 11	3 37	0 63	2 29
4 24	3 81	2 23	1 44	0 10
2 85	1 96	0 1	3 92	4 71
3 83	2 65	0 86	1 13	4 50
1 57	0 45	3 48	2 48	4 27
1 63	2 90	3 59	4 3	0 72
2 73	4 18	1 48	3 62	0 39
2 83	4 37	1 79	3 98	0 64
2 80	4 97	3 8	0 7	1 29
1 38	3 74	4 66	0 8	2 39
1 24	2 3	3 57	0 3	4 48
3 31	4 97	0 75	2 7	1 61
0 74	3 25	4 97	1 94	2 38
2 98	1 63	4 98	0 48	3 42
0 59	2 20	3 37	4 13	1 99
3 69	0 80	1 34	2 88	4 74
3 6	4 79	1 91	2 49	0 48
1 47	4 69	0 79	3 27	2 25
1 59	2 85	3 84	4 78	0 99
0 15	4 91	2 62	3 84	1 76
3 38	4 72	1 74	0 91	2 98
3 39	2 97	0 59	1 38	4 72
1 75	2 11	0 35	4 4	3 70
3 11	1 16	2 38	0 85	4 63
3 94	4 24	2 6	1 63	0 46
2 94	1 37	3 45	4 50	0 40
3 69	2 6	1 9	0 26	4 74
4 47	0 76	2 51	1 64	3 30
4 22	1 60	2 68	0 91	3 25
2 29	4 11	1 25	0 11	3 51
3 99	1 38	0 3	4 91	2 7
1 52	4 36	0 48	2 23	3 24
2 76	4 26	1 41	0 4	3 20
4 13	0 94	2 18	3 78	1 9
2 68	4 69	3 53	1 4	0 26
4 40	2 28	3 32	0 7	1 39
3 16	1 82	0 11	2 88	4 21
0 57	3 48	4 34	1 4	2 52
3 38	0 86	2 42	1 32	4 78
2 23	3 14	4 38	1 57	0 48
2 44	4 24	0 16	3 77	1 64
3 22	4 47	0 25	2 15	1 66
3 73	4 16	1 18	2 92	0 83
0 94	3 48	1 99	2 67	4 89
4 89	3 79	1 81	0 85	2 69
0 50	4 66	2 89	3 38	1 89
4 17	3 61	0 76	2 82	1 42
4 87	3 62	2 21	0 69	1 42
0 11	1 70	3 63	2 69	4 9
0 23	3 90	1 98	2 11	4 87
1 5	4 31	2 22	0 88	3 19
1 90	3 29	2 68	4 73	0 11
0 66	3 4	1 16	2 92	4 61
0 51	3 54	2 56	1 63	4 98
0 7	2 76	3 37	1 91	4 18
2 23	0 30	3 48	1 66	4 34
4 64	0 49	1 54	2 26	3 17
1 36	3 53	0 78	4 73	2 31
4 80	2 60	1 5	0 57	3 28
2 91	0 70	4 3	1 66	3 99
3 38	4 29	1 37	0 27	2 22
1 56	2 90	4 62	0 62	3 21
3 32	0 55	1 90	4 81	2 96
4 16	2 86	3 13	1 68	0 56
4 67	2 79	1 26	0 52	3 13
1 11	0 60	4 20	2 40	3 67
2 49	1 17	4 83	0 38	3 55
3 91	4 79	0 27	2 74	1 40
4 6	1 70	3 26	0 45	2 95
3 54	4 78	0 92	1 69	2 59
3 62	0 73	1 19	2 63	4 37
0 63	2 1	4 31	3 64	1 3
3 99	2 40	1 16	4 84	0 45
2 27	0 85	4 48	1 67	3 11
1 55	3 23	2 22	0 4	4 88
3 95	2 1	4 39	1 44	0 72
3 92	4 54	1 42	0 5	2 88
4 69	3 36	0 64	1 64	2 24
0 96	4 20	3 16	1 1	2 16
4 47	3 91	2 3	1 96	0 64
3 77	1 33	0 59	2 60	4 16
3 38	1 47	0 54	4 11	2 93
3 86	4 15	0 1	2 33	1 53
3 21	0 85	1 33	4 91	2 90
4 62	2 25	3 80	1 58	0 83
0 88	4 69	3 18	1 57	2 85
3 3	0 45	2 88	1 26	4 12
