50	15
11 157	10 195	8 99	1 27	3 127	9 130	0 36	4 23	13 1	12 51	2 41	6 94	5 91	14 185	7 28
9 175	8 117	0 54	10 97	11 183	7 109	12 111	13 40	14 192	3 58	1 88	2 82	5 164	4 18	6 67
3 184	14 21	12 184	2 35	1 22	11 95	13 136	8 5	6 38	0 31	10 190	9 124	7 70	4 116	5 32
1 46	0 141	8 199	13 190	4 10	2 24	12 193	6 116	9 78	14 28	10 191	7 110	5 80	3 197	11 83
14 116	9 8	5 157	12 161	0 100	11 34	6 30	13 182	3 165	2 96	10 162	7 157	4 154	1 145	8 63
2 197	10 98	13 95	9 13	12 39	4 3	3 168	6 142	8 120	1 117	14 80	0 69	5 146	11 149	7 87
4 188	9 153	10 142	3 41	11 69	0 39	5 197	2 14	7 143	14 25	1 74	13 84	6 191	8 192	12 69
11 115	8 46	9 44	10 73	1 72	6 128	0 25	7 122	13 33	4 27	2 91	12 179	14 43	3 197	5 197
8 173	3 139	6 59	11 167	2 114	10 113	12 129	0 51	7 1	14 54	5 106	13 121	9 42	1 143	4 156
11 172	9 100	2 51	3 136	12 63	7 111	5 67	0 193	14 109	4 18	1 151	6 109	10 149	8 74	13 160
3 194	12 161	0 117	8 107	2 147	7 37	6 47	4 147	11 20	9 10	13 116	1 137	5 191	10 53	14 91
0 84	11 42	3 160	5 5	2 37	9 69	12 28	13 196	4 3	7 101	14 84	1 68	6 199	10 165	8 128
4 139	2 49	11 190	7 24	10 77	12 138	3 198	13 93	5 54	14 111	0 6	1 145	8 137	6 180	9 41
13 193	3 37	6 70	12 58	7 15	9 180	10 86	2 125	4 119	8 32	5 179	1 143	14 115	11 94	0 17
3 155	14 93	6 144	12 9	7 7	1 169	4 23	11 2	5 116	8 141	9 58	13 155	10 108	2 30	0 34
4 77	3 119	0 185	14 187	8 27	11 63	10 108	7 117	5 14	1 48	12 8	6 109	2 26	13 138	9 178
6 67	1 195	3 200	0 125	4 150	12 195	7 172	9 141	13 33	11 80	5 76	14 75	2 59	8 28	10 100
7 145	10 2	1 199	6 44	12 6	9 32	8 145	5 80	3 178	2 122	13 133	4 191	11 19	0 148	14 66
2 55	6 74	13 10	5 1	0 93	12 113	8 120	3 104	11 17	9 176	7 141	14 200	1 169	10 45	4 100
5 123	14 112	12 165	4 47	6 188	10 187	11 168	2 52	1 40	3 167	9 162	8 168	0 3	13 172	7 21
12 61	3 163	2 168	5 154	9 20	4 6	0 133	8 171	14 63	10 21	11 172	13 72	6 143	7 68	1 65
7 38	14 20	9 34	11 116	1 112	2 143	12 90	8 108	5 15	0 171	3 97	4 23	10 84	13 161	6 185
5 166	8 88	0 101	4 23	2 183	14 56	10 79	6 41	9 138	3 137	7 17	13 51	1 25	11 189	12 30
9 142	0 14	5 143	12 54	8 111	13 50	3 6	14 191	1 61	4 2	2 171	11 198	7 105	10 138	6 91
2 113	6 151	10 187	5 39	11 69	8 161	4 94	13 15	0 107	1 122	14 76	3 6	9 166	7 127	12 39
4 143	6 122	12 12	2 73	3 123	8 82	1 33	10 135	0 136	11 65	14 130	13 169	9 65	7 173	5 128
6 42	0 105	4 39	11 5	1 129	7 43	12 146	9 4	10 13	13 104	14 35	8 62	3 56	5 170	2 13
