40	10
7 66	9 107	3 139	0 151	6 68	1 147	5 137	8 167	2 175	4 17
8 47	5 181	7 182	9 68	0 72	6 44	1 101	2 182	4 136	3 111
2 117	9 144	5 86	4 68	8 40	0 51	7 192	3 101	6 130	1 63
6 190	3 170	9 11	0 105	7 62	1 74	4 13	8 95	5 29	2 28
0 45	4 182	9 73	5 23	1 76	7 162	3 47	2 91	8 128	6 165
3 48	7 145	8 73	1 54	5 140	2 87	9 4	6 14	0 40	4 105
3 68	7 83	8 170	2 130	9 137	6 180	0 27	4 27	1 134	5 73
5 118	2 193	3 35	6 120	4 91	8 68	0 24	9 183	7 134	1 31
6 25	7 135	1 36	0 71	8 40	5 194	2 58	9 98	4 108	3 167
7 88	1 141	2 101	6 100	4 197	9 85	8 120	3 186	0 195	5 160
7 170	8 178	1 155	4 58	0 175	2 110	5 176	6 194	3 59	9 135
6 145	4 186	2 4	5 140	0 173	1 179	7 50	8 57	9 198	3 24
0 21	8 36	1 156	3 147	9 104	5 95	7 12	6 109	2 69	4 117
1 48	6 188	5 200	8 185	4 64	9 140	2 52	3 45	0 16	7 1
4 10	9 45	0 97	6 12	1 127	8 180	5 169	3 99	7 200	2 148
1 42	5 59	3 141	7 184	4 39	9 151	2 51	6 186	0 118	8 89
5 135	9 183	1 13	7 70	3 45	4 181	8 40	0 30	2 93	6 188
7 107	9 41	8 67	4 7	0 73	2 37	6 169	5 157	1 126	3 61
8 181	1 141	0 133	6 167	7 174	5 167	9 12	3 11	4 65	2 132
0 138	6 166	8 96	9 140	7 192	4 59	2 43	3 164	1 135	5 150
7 121	3 183	0 151	9 59	4 130	2 79	1 169	8 77	5 138	6 6
5 72	6 112	9 136	4 154	2 128	0 162	8 163	7 183	3 87	1 43
1 95	5 124	7 135	3 89	6 53	9 46	2 167	0 35	4 182	8 144
2 55	7 158	6 54	4 111	1 67	3 1	0 97	5 73	8 96	9 7
1 157	9 37	3 169	4 114	8 15	6 104	0 94	7 26	2 28	5 68
4 7	8 118	9 186	2 163	0 105	3 73	7 194	5 164	1 105	6 98
8 82	3 1	7 57	6 109	5 3	9 192	2 15	0 142	4 57	1 65
9 80	4 184	6 151	2 22	0 141	5 194	7 119	1 150	8 164	3 120
5 112	8 97	2 140	6 131	0 65	4 95	1 61	7 131	3 19	9 42
8 41	3 67	6 65	9 20	1 79	4 159	0 37	5 85	7 89	2 58
6 81	3 104	8 137	2 30	0 27	5 115	9 31	4 156	1 139	7 152
7 24	1 196	4 190	0 95	6 16	5 89	3 139	2 45	9 70	8 22
7 113	1 109	2 196	0 195	9 163	5 29	3 100	4 167	8 156	6 143
1 5	0 98	2 114	4 106	5 100	3 175	6 173	8 97	9 91	7 126
6 113	9 147	3 194	4 83	7 131	8 128	0 20	2 71	1 16	5 164
5 190	8 49	1 117	0 163	3 96	4 106	9 56	6 71	2 66	7 75
3 85	7 200	4 191	0 126	5 122	1 28	2 30	6 33	8 36	9 25
2 155	7 15	9 22	5 62	4 10	0 49	1 67	3 160	6 98	8 17
0 199	9 40	6 191	3 48	4 41	8 117	2 109	7 145	5 75	1 58
1 137	0 39	6 191	3 10	2 20	8 43	9 108	4 162	7 126	5 64
