70	5
1 7	0 173	2 82	3 59	4 162
0 86	1 180	2 174	3 29	4 63
1 2	3 170	0 151	4 120	2 98
1 99	4 20	3 28	0 126	2 192
2 9	1 106	4 132	0 129	3 111
3 76	2 140	0 55	1 16	4 61
1 158	3 157	0 179	4 120	2 32
2 188	3 60	1 149	4 126	0 57
0 19	1 87	2 193	3 126	4 31
1 8	0 117	3 88	2 143	4 197
0 6	2 177	4 83	1 124	3 189
3 43	0 4	2 54	1 42	4 14
1 191	4 92	0 54	2 87	3 179
4 36	2 60	3 160	1 192	0 188
1 153	0 114	3 94	4 56	2 194
1 8	2 121	4 110	0 49	3 103
2 28	4 84	1 173	3 53	0 37
3 20	4 34	0 58	2 40	1 186
3 22	1 100	0 162	4 123	2 144
4 132	1 108	0 156	2 82	3 185
1 157	2 19	4 107	3 106	0 41
0 101	1 4	2 107	3 76	4 48
0 155	4 29	2 76	1 112	3 101
0 49	3 118	4 52	1 118	2 139
3 90	4 179	2 23	0 58	1 28
2 86	0 106	4 35	3 92	1 170
4 95	3 171	0 81	2 77	1 193
1 22	2 41	0 21	3 145	4 54
4 197	1 79	2 58	3 40	0 21
2 10	3 126	0 62	4 97	1 131
3 141	0 71	2 76	1 142	4 190
2 186	3 36	4 68	1 147	0 162
1 141	2 179	3 147	4 200	0 132
0 91	3 33	1 47	4 19	2 139
1 45	3 49	2 133	0 190	4 16
2 18	0 73	3 98	4 128	1 170
1 117	4 18	2 75	0 182	3 38
1 96	0 67	2 105	4 32	3 132
2 80	4 79	3 199	0 12	1 27
4 63	0 166	2 122	3 75	1 6
4 10	1 137	3 173	0 67	2 101
0 123	2 71	3 152	4 132	1 127
4 50	1 62	2 183	0 149	3 19
1 177	2 43	4 155	3 152	0 177
4 185	0 36	3 115	2 186	1 135
3 79	1 87	2 181	0 192	4 48
2 26	3 136	0 197	4 151	1 117
0 153	2 176	3 50	1 40	4 67
1 154	0 117	2 196	4 146	3 48
2 188	4 172	0 143	1 36	3 51
4 125	1 122	3 66	2 76	0 82
2 138	1 33	0 16	4 35	3 153
0 37	1 80	4 35	2 18	3 98
0 97	2 96	3 114	4 174	1 181
4 154	0 32	2 170	1 48	3 178
0 63	1 180	2 136	4 191	3 45
3 26	1 109	0 64	2 13	4 115
1 197	2 6	4 200	3 61	0 66
2 108	1 13	4 174	3 18	0 179
3 165	4 164	0 81	2 55	1 45
4 57	2 33	1 49	3 155	0 196
1 57	3 89	4 86	0 106	2 19
0 4	3 88	1 46	2 184	4 51
1 3	4 146	3 9	2 87	0 1
4 128	3 58	0 8	1 183	2 8
2 60	3 100	4 99	0 77	1 121
0 38	1 104	3 55	4 80	2 90
1 102	0 162	3 92	2 105	4 69
0 3	1 120	3 184	4 184	2 32
3 168	4 117	2 42	0 180	1 146
